Scots	East Frisian Low Saxon	probability
ˈʌu̯	ˈɔ_l	1.0
ˈɛː	ˈeː_ɡ	1.0
ˈøː	k_ˈɑʊ̯	1.0
ˈoː	-	1.0
ˈiː_r	ɐ	1.0
ˈe_d	ˈoː_d̥	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈɪ_k	1.0
ʧ	k	1.0
ʍ	v	1.0
ɛ	n	1.0
ə_n	n	1.0
ə	ɐ	1.0
ŋ	ŋ	1.0
ç	χ	1.0
w_ˈɪ	v	1.0
v	-	1.0
r_n	ɐ_n	1.0
pʰ	p	1.0
n_d	n_n	1.0
m	m	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
e	ɐ_ɣ̊	1.0
b	b	1.0
l	l	0.96
n	n	0.938
t	t	0.843
w	v	0.833
ɡ	ɡ	0.797
ʃ	s_k	0.782
k	k	0.763
p	p	0.736
θ	d	0.713
x	ɣ̊	0.615
j	j	0.613
r	ɐ	0.587
i	ɣ̊	0.573
ˈəi̯	ˈiː	0.563
ˈe	ˈæɪ̯	0.549
ˈʌ	ˈʊ	0.544
ð	-	0.543
ˈo	ˈoː	0.525
ˈɪ	ˈɪ	0.507
ˈuː	ˈɑːʊ̯	0.503
z	z̥	0.5
z	-	0.5
ˈuː	ˈuː	0.497
d	d	0.473
ˈa	ˈɑ	0.471
ˈɛ	-	0.459
ð	d	0.457
s	z	0.457
ˈʌ	-	0.456
ˈø	ˈɑʊ̯	0.456
ˈɑː	ˈɑ	0.45
s	s	0.444
ˈu	ˈuː	0.442
d	d̥	0.439
ˈa	-	0.429
i	ɑɪ̯	0.427
ˈu	-	0.421
j	-	0.387
x	χ	0.385
ˈø	-	0.363
r	r	0.359
ˈiː	ˈøː	0.355
ˈeː	ˈɑː	0.355
θ	d̥	0.287
ˈo	ˈɔ	0.275
p	p_n	0.264
ˈəi̯	-	0.25
ˈeː	ˈɔː	0.248
ˈɛ	ˈɛ	0.237
k	k_n	0.237
ˈe	ˈɒː	0.235
ˈi	-	0.219
ʃ	k	0.218
ˈiː	ˈɛːɪ̯	0.215
ˈɑː	-	0.208
ˈi	ˈoː	0.208
ɡ	ɣ̊	0.203
ˈo	-	0.2
ˈɪ	-	0.198
ˈi	ˈɒː	0.186
ˈø	ˈœːy̯	0.181
ˈɛ	ˈeː	0.171
w	w	0.167
ˈiː	ˈæɪ̯	0.165
ˈiː	ˈiː	0.153
ˈi	ˈœy̯	0.151
ˈɑː	ˈɑ_l	0.14
ˈi	ˈæɪ̯	0.139
ˈɑː	l	0.137
ˈu	ˈuːu̯	0.137
ˈeː	-	0.136
ˈɛ	s	0.132
ˈeː	ˈɒː_n	0.131
ˈeː	n	0.131
ˈəi̯	ˈuː	0.128
ˈe	-	0.124
ˈiː	ˈæːɪ̯	0.111
t	t_n	0.101
ˈa	ˈɒː	0.1
s	z̥	0.1
ˈɪ	ˈœ	0.099
ˈe	ˈɑ	0.093
d	d_n	0.088
ˈɪ	ˈʏ	0.085
ˈɑː	o	0.065
ˈi	ˈɑʊ̯	0.064
n	n_n	0.062
ˈəi̯	ˈiːi̯	0.058
t	ˈæɪ̯_t	0.056
r	-	0.054
