Icelandic	Icelandic	probability
θ	d	1.0
ˈɛi̯	ˈae̯	1.0
ˈɔu̯	-	1.0
ˈɑu̯	ˈa	1.0
ˈœː	-	1.0
ˈuː_a	ŋ	1.0
ˈuː	ˈuː	1.0
ˈu	ˈʊ	1.0
ˈou̯	ˈøː	1.0
ˈeːi̯	-	1.0
ˈaːu̯	-	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ˈa_r	ˈaː	1.0
ʰc	k	1.0
ʏ_r̥_#>	#>	1.0
ʏ_#>	#>	1.0
ɲ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_#>	#>	1.0
ɟ̊ː	-	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ç	h	1.0
v_ʏ	v̥	1.0
v_a	b_m	1.0
u	-	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	tʰ	1.0
s_k_ʏ_r̥_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_c	ʃ	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r_ɪ	æ	1.0
r_ð	æ_d̥	1.0
r_a	æ	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	kʰ_n	1.0
nː	n	1.0
n_d̥	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɛː_r̥_#>	ˈiː_#>	1.0
j_ˈuː	ˈae̯	1.0
j_ˈoːu̯	ˈae̯	1.0
j_a	n	1.0
h	h	1.0
f	f	1.0
d̥_ʏ	d̥	1.0
cʰ	kʰ	1.0
c	k	1.0
b̥	b	1.0
aːu̯	ae̯	1.0
a_r̥	æ	1.0
a_#>	#>	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#	1.0
t	t	0.935
n	n	0.9
a	n	0.88
d̥	d	0.765
ˈœːy̯	ˈaʊ̯	0.75
ŋ	ŋ	0.727
ˈœ	-	0.714
ˈɔ	ˈuː	0.667
ˈi	ˈɪ	0.667
<#	<#_v	0.667
ˈoːu̯	ˈaʊ̯	0.643
r	r	0.615
ˈɔː	ˈɒː	0.6
ʏ	-	0.6
ɣ	ç	0.6
ɡ̊	-	0.6
ɟ̊	ɡ	0.6
ˈiː	ˈiː	0.579
ˈaːi̯	ˈɔʏ̯	0.571
ˈɛːi̯	ˈae̯	0.556
ɪ	-	0.556
ˈɪ	ˈɪ	0.533
ˈʏː	ˈɔ	0.5
ˈʏː	-	0.5
ˈɛː	ˈɛː	0.5
ˈɛː	-	0.5
ˈaː	ˈa	0.5
ˈa	ˈa	0.5
ʰt	t	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ɡ̊_ʏ	ɪ	0.5
ɡ̊_ʏ	æ	0.5
ð	d̥	0.5
s	z	0.5
#>	n_#>	0.5
ˈʏ	ˈʊ	0.467
ˈɛːi̯	-	0.444
ɪ	æ	0.444
ˈaːi̯	-	0.429
v	v	0.417
ˈɔː	-	0.4
ʏ	æ	0.4
ɣ	-	0.4
ɟ̊	j	0.4
r̥	æ	0.381
ˈɑːu̯	ˈɒː	0.375
ˈɑːu̯	-	0.375
ˈa	-	0.375
ˈɛ	ˈɛ	0.357
ˈɛ	-	0.357
ˈoːu̯	-	0.357
ˈɪː	ˈɪ	0.333
ˈɪː	ˈae̯	0.333
ˈɪː	-	0.333
ˈɔ	-	0.333
ˈi	-	0.333
s	ʃ	0.333
r̥	ç	0.333
j	-	0.333
<#	<#_j	0.333
ɡ̊	ɡ	0.3
ˈɛ	ˈɪ	0.286
ˈœ	ˈa	0.286
r̥	-	0.286
ŋ	-	0.273
ˈʏ	-	0.267
ˈɪ	ˈʏ	0.267
ˈɑːu̯	ˈoː	0.25
ˈœːy̯	ˈoː	0.25
ˈaː	ˈaː	0.25
ˈaː	-	0.25
ʰt	x_t	0.25
ʰt	x	0.25
v	w	0.25
#>	z̥_#>	0.25
#>	t_#>	0.25
d̥	d̥	0.235
ð	ɾ	0.231
r	æ	0.231
j	ˈae̯	0.222
ˈiː	-	0.211
ˈɪ	-	0.2
v	m	0.167
v	-	0.167
s	s	0.167
j	ˈɛ	0.167
j	ˈiː	0.167
ð	-	0.154
ˈʏ	ˈʏ	0.133
ˈʏ	ˈuː	0.133
ˈa	ˈaː	0.125
a	ŋ	0.12
ð	t	0.115
j	n	0.111
ˈiː	ˈyː	0.105
ˈiː	ˈae̯	0.105
ɡ̊	ɡ̊	0.1
n	-	0.1
r	ˈoː	0.077
r	-	0.077
t	-	0.065
