Nynorsk Norwegian	Alsatian	probability
b	b̥	1.0
f	f	1.0
h	h	1.0
kʰ	kʰ	1.0
lː	l	1.0
m	m	1.0
tː	ʦ	1.0
v	ʋ	1.0
ç	kʰ	1.0
ŋː	ŋ	1.0
ɡː	k	1.0
ʂ	ʃ	1.0
ˈoː	ˈoː	1.0
ˈyː	ˈiː	1.0
ˈœ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈʉː	ˈyː	1.0
ˈʊ	ˈo	1.0
t	s	0.811
ɡ	ɡ̊	0.581
ʋ	-	0.671
ʰtː	t	0.491
ˈæɪ̯	ˈei̯	0.191
ˈɑ	ˈɒ	0.541
ˈɔ	ˈe	0.611
ˈʏ	ˈu	0.581
tʰ	d̥	0.602
ɡ	-	0.122
ˈeː	ˈæ	0.852
ˈuː	ˈøː	0.212
ˈuː	ˈʊː	0.602
ˈæʉ̯	ˈoː_t	0.542
ˈɑ	ˈɒː	0.152
nː	n_d̥	0.393
ˈuː	ˈʊː_t	0.083
ˈɑ	n_#>	0.083
ˈɑː	ˈɒ_t	0.223
ˈɔ	ˈoː	0.3
ɾ	ʁ	0.954
ˈøː	ˈiː	0.924
ˈɛ	ˈi	0.484
d	t	0.325
d	d̥	0.675
e	ə	0.5
e	-	0.5
j	ˈaː	0.265
j	d̥	0.295
j	ɡ̊	0.35
k	x	0.15
k	ʃ	0.85
l	l	0.995
n	-	0.125
n	n	0.875
s	ʃ	0.455
s	s	0.545
ˈiː	ˈiː	0.395
ˈɑː	ˈɒː	0.65
ˈʉ	ˈo	0.145
ˈʉ	ˈu	0.855
p	<#_ʋ	0.06
ɑ	-	0.066
ˈiː	ˈi	0.506
ˈuː	ˈiː	0.056
ˈæʉ̯	ˈoː	0.16
ˈøː	ˈeː	0.076
ˈɛ	ˈe	0.516
nː	n	0.607
t	t	0.167
ə	ə	0.97
ɡ	j	0.297
ˈɑ	f_#>	0.077
ˈɑ	t_#>	0.107
ˈɑː	ˈɒ	0.127
p	f	0.918
tʰ	ʦ	0.398
ɑ	ə	0.898
ˈeː	ˈei̯	0.148
ˈæʉ̯	ˈʊː	0.298
j	-	0.09
ʋ	ʋ	0.329
ʰtː	x_t	0.509
ˈiː	ˈeː	0.099
ˈæɪ̯	ˈəi̯	0.809
ˈɔ	ˈu	0.089
ˈʏ	ˈi	0.419
