French	French	probability
ʃ_ə	k_a	1.0
ʁ_b	r_b	1.0
ɲ	n	1.0
ɥ_i	ˈɔ_k	1.0
ɥ	ˈuː	1.0
ɛ_ʁ	r	1.0
ə	ɛ	1.0
w_a	ˈeː	1.0
v_w	w	1.0
s_ɑ̃	k_ɪ	1.0
p_e	tʰ	1.0
p	p	1.0
m_#>	m_ãː_#>	1.0
i_ʁ	ˈiː_r	1.0
b	b	1.0
a_#>	ɛ̃ː_#>	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.963
f	f	0.867
y	ˈuː	0.846
ɡ	ɡ	0.8
ʁ	r	0.735
v	w	0.7
l	ɫ	0.667
t	t	0.65
ʃ	k	0.609
z	-	0.6
ɔ	ˈɔ	0.571
œ	ˈɔ	0.545
n	n_ãː	0.5
k	kʷ	0.5
<#	<#_ˈa	0.5
<#	<#_s	0.5
i	ˈiː	0.471
ɔ̃	ˈoː_n	0.462
œ	ˈoː	0.455
e	ˈaː_r	0.444
d	d	0.429
o	ˈɛ_lʲː	0.421
#>	ʊ̃ː_#>	0.41
ɑ̃	ˈɛ_n	0.4
z	k	0.4
n	n	0.4
ʒ	ɡ	0.381
s	k	0.375
u	ˈʊ	0.37
ø	ʊ_s	0.333
o	ˈa_ɫ	0.316
k	k	0.3
ɔ	ɔ	0.286
d	n_ɛ	0.286
d	n	0.286
ɛ̃	n	0.28
a	ˈa	0.279
ʒ	j	0.238
ɔ̃	ˈɔ_n	0.231
ø	ˈɔ_k	0.222
ø	ˈoː_d	0.222
ø	ʊ	0.222
a	a	0.209
s	s	0.208
#>	ɛ̃ː_#>	0.201
ɡ	k	0.2
ɑ̃	ˈa_ŋ	0.2
k	kː	0.2
j	ˈɛ	0.2
j	lʲ_i	0.2
e	s	0.194
ɛ	ˈɛ	0.191
ɛ	ˈaː	0.191
ɛ	ˈa	0.191
ʃ	k_ˈa	0.174
#>	ãː_#>	0.168
w	ˈʊ	0.167
w	ˈɪ	0.167
w	w	0.167
w	k	0.167
#>	ɛ_#>	0.164
a	ɪ	0.163
ɛ̃	ˈaː_n	0.16
j	ʊ_ɫ	0.16
o	ˈau̯	0.158
ɔ̃	ˈoː	0.154
ɔ̃	n	0.154
y	ˈiː	0.154
t	tː	0.15
i	ˈɛ	0.147
ʒ	ɪ_k	0.143
ʒ	d	0.143
ɔ	oː	0.143
l	lʲː_ãː	0.139
e	-	0.139
ɑ̃	ˈɛ	0.133
ɑ̃	n	0.133
ɑ̃	m	0.133
v	p_ɛ	0.133
ʃ	kː	0.13
ɛ	ˈɪ	0.128
s	t_i	0.125
s	sː	0.125
ɛ̃	ˈiː_n	0.12
ɛ̃	ŋ	0.12
j	-	0.12
w	ˈʊ_k	0.111
w	ˈɪ_ɡ	0.111
w	-	0.111
u	ˈɔ	0.111
u	ˈoː_tː	0.111
u	ʊ	0.111
e	ˈaː	0.111
ʁ	ɛ_r	0.108
ɛ	a	0.106
o	ˈɔ_s	0.105
v	p	0.1
t	s_t	0.1
t	k_ɛ	0.1
n	ãː	0.1
f	w	0.1
ʒ	-	0.095
a	aː	0.093
a	-	0.093
i	ˈiː_k	0.088
i	k	0.088
i	-	0.088
ʃ	k_a	0.087
s	k_i	0.083
s	-	0.083
l	lʲ	0.083
ɛ̃	ˈa_n	0.08
ɛ̃	ʊ̃ː	0.08
ɛ̃	ŋ_k	0.08
ɛ̃	n_i	0.08
j	ˈɛ_t	0.08
j	ˈɔ_k	0.08
j	i	0.08
u	ˈɔ_lʲː	0.074
u	ˈoː_s	0.074
u	ɔ	0.074
u	-	0.074
a	ˈaː	0.07
v	-	0.067
i	ˈɛ_k	0.059
l	lʲː_ɛ	0.056
l	lʲː	0.056
e	ˈaː_t	0.056
e	ae̯	0.056
