Limburgish	German	probability
b	b	0.978
d	tʰ	0.467
d	d	0.43
f	f	0.668
f	p	0.326
j	t	0.357
j	l	0.199
j	-	0.169
j	ə	0.128
j	j	0.125
k	kʰ	0.337
k	k	0.243
k	-	0.172
k	ç	0.13
k	x	0.109
l	l	0.978
m	m	1.0
n	n	0.983
p	f	0.717
p	p͡f	0.173
p	p	0.093
s	ʃ	0.418
s	s	0.308
s	z	0.14
s	s_t	0.132
t	t	0.487
t	s	0.241
t	ʦ	0.213
v	f	0.865
v	b	0.094
v_ə	b	1.0
w	l	0.495
x	k	0.302
x	ç	0.177
x	x_t	0.133
x	ç_t	0.133
x	ɡ	0.091
x	x	0.083
z	z	0.749
z	ʃ	0.239
ŋ	ŋ	0.858
ŋ	ç	0.136
ə	-	0.412
ə	ə	0.324
ə	n	0.194
ɡ	ɡ	0.245
ɣ	ɡ	0.942
ɣ	-	0.06
ɦ	h	1.0
ɪ	ɪ	1.0
ɪː	ˈɪ	0.495
ʀ	ɐ	0.609
ʀ	ʁ	0.367
ʃ	ʃ	1.0
ʦ	ʃ	0.495
ˈaː	ˈa	0.689
ˈaː	ˈaː	0.251
ˈaː	ˈɛ	0.056
ˈeː	ˈiː	0.318
ˈeː	ˈɛ	0.255
ˈeː	ˈeː	0.244
ˈeː	ˈɪ	0.087
ˈi	ˈeː	0.34
ˈi	ˈɪ	0.207
ˈi	ˈaɪ̯	0.166
ˈi	ˈaː	0.126
ˈi	ˈɛː	0.126
ˈiː	ˈaɪ̯	0.708
ˈiː	ˈeː	0.105
ˈiː	ˈʏ	0.105
ˈiː	ˈiː	0.077
ˈoː	ˈoː	0.432
ˈoː	ˈuː	0.367
ˈoː	ˈʊ	0.144
ˈu	ˈoː	0.85
ˈu	ˈøː	0.127
ˈuː	ˈaʊ̯	0.743
ˈuː	ˈoː	0.09
ˈuː	ˈʊ	0.088
ˈuː	ˈuː	0.066
ˈv	f	0.495
ˈyː	ˈøː	0.384
ˈyː	ˈɔ	0.291
ˈyː	-	0.165
ˈyː	ˈɔʏ̯	0.066
ˈæ	ˈa	0.5
ˈæ	ˈœ	0.25
ˈæ	ˈɛ	0.25
ˈæː	ˈɛ	0.561
ˈæː	ˈa	0.425
ˈøː	ˈyː	0.714
ˈøː	ˈuː	0.112
ˈøː	ˈøː	0.112
ˈœ	ˈʏ	0.53
ˈœ	ˈaʊ̯	0.265
ˈœ	ˈaː	0.163
ˈœi̯	ˈɔʏ̯	1.0
ˈœː	ˈʊ	1.0
ˈɑ	ˈa	0.749
ˈɑ	ˈɛ	0.204
ˈɑː	ˈa	0.735
ˈɑː	ˈaː	0.26
ˈɒː	ˈaː	0.786
ˈɒː	ˈoː	0.078
ˈɒː	ˈɛː	0.074
ˈɒː	ˈa	0.058
ˈɔ	ˈɔ	0.636
ˈɔ	ˈuː	0.139
ˈɔ	ˈʊ	0.139
ˈɔ	ˈʏ	0.074
ˈɔu̯	ˈaʊ̯	1.0
ˈɔː	ˈaʊ̯	0.601
ˈɔː	ˈɔ	0.396
ˈɛ	ˈɪ	0.359
ˈɛ	ˈɛ	0.182
ˈɛ	ˈaɪ̯	0.12
ˈɛ	ˈiː	0.12
ˈɛ	ˈaː	0.082
ˈɛi̯	ˈaɪ̯	0.495
ˈɛː	ˈaɪ̯	0.73
ˈɛː	ˈɪ	0.263
ˈɛːi̯	ˈaɪ̯	1.0
ˈɪ	ˈɪ	0.389
ˈɪ	ˈɛ	0.221
ˈɪ	ˈœ	0.194
ˈɪ	ˈaɪ̯	0.091
ˈɪː	ˈɪ	0.761
ˈɪː	ˈa	0.132
ˈɪː	ˈʏ	0.097
ˈʊ	ˈʊ	1.0
ˈʊː	ˈɔ	0.279
ˈʊː	ˈʊ	0.279
ˈʊː	ˈuː	0.252
ˈʊː	ˈaː	0.071
ˈʊː	ˈoː	0.067
ˈʏ	ˈʏ	0.574
ˈʏ	ˈɪ	0.284
ˈʏː	ˈʊ	0.392
ˈʏː	ˈɔʏ̯	0.223
ˈʏː	ˈɛ	0.223
β	v	0.97
