Romansch	Romansch	probability
ˈuː_n	ˈɔ_n	1.0
ˈuɔ̯	ˈɔ	1.0
ˈo	w	1.0
ˈiː_r_#>	ˈi_#>	1.0
ˈiə̯	ˈɛ	1.0
ˈe	ˈe	1.0
ˈaː_r_#>	ˈe_#>	1.0
ˈa_w	ˈa	1.0
ʨ_ˈaː	ʨ_ˈɛ	1.0
ʨ_#>	t_#>	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ɲ	ɲ	1.0
ə_s	e_s	1.0
ə_n	a_n	1.0
ə_#>	#>	1.0
z	z	1.0
t_#>	#>	1.0
t	t	1.0
r_ˈa	r_ˈe	1.0
r_ə	r_a	1.0
r_n	r_n	1.0
r_#>	#>	1.0
p_#>	p_#>	1.0
p	p	1.0
o	o	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_w	k	1.0
k	k	1.0
j_ˈɛ	w_ˈɛ	1.0
j_r_#>	j_#>	1.0
f	f	1.0
e	e	1.0
d	d	1.0
a	e	1.0
<#_ˈa	<#_ˈa	1.0
<#_ə	<#_a	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_i	1.0
n	n	0.956
s	s	0.92
l	l	0.905
b	b	0.867
ə	a	0.859
r	r	0.846
ɡ	ɡ	0.833
v	v	0.821
u	o	0.778
ˈiː	ˈi	0.765
ʨ	ʨ	0.762
ʃ	ʃ	0.76
j	j	0.76
ˈɛ	ˈɛ	0.75
ˈɔː	ˈɔ	0.75
ˈaː	ˈa	0.75
s_#>	s_#>	0.75
ˈuː	ˈo	0.714
ˈi	ˈi	0.714
ˈu	ˈo	0.7
ˈeː	ˈe	0.667
ŋ	ŋ	0.667
ə_r	e	0.6
w	w	0.6
i	e	0.6
ʧ	ʨ	0.545
ˈɛː	ˈɛ_l	0.5
ˈɛː	ˈɛ	0.5
ʎ	d_l	0.5
w_#>	k_#>	0.5
w_#>	#>	0.5
ʧ	ʧ	0.455
ˈɔ	ˈɔ	0.412
ˈɔ	ˈa	0.412
ə_r	e_r	0.4
w	-	0.4
i	-	0.4
ˈa	ˈe	0.364
ˈa	ˈa	0.341
ˈeː	ˈɛ	0.333
ʎ	-	0.333
ŋ	-	0.333
#>	t_#>	0.333
#>	k_#>	0.333
#>	a_#>	0.333
ˈuː	ˈo_w	0.286
ˈi	ˈu	0.286
ʥ	ʥ	0.273
ʥ	ʒ	0.273
ʥ	j	0.273
ˈɔː	w_ˈɛ	0.25
ˈaː	ˈɛ	0.25
s_#>	#>	0.25
ʃ	ʒ	0.24
ʨ	k	0.238
ˈiː	ˈu	0.235
ˈa	ˈɛ	0.227
u	-	0.222
ʥ	-	0.182
ˈɔ	w_ˈɛ	0.176
ʎ	l	0.167
ɡ	-	0.167
j	-	0.16
ˈɛ	j_ˈɛ	0.15
ˈu	ˈu	0.133
b	-	0.133
v	-	0.107
r	e	0.103
ˈɛ	-	0.1
ˈu	ˈɔ	0.1
l	-	0.095
ə	e	0.085
s	ʦ	0.08
j	ˈɛ	0.08
v	b	0.071
ˈa	-	0.068
ˈu	-	0.067
r	e_r	0.051
