Danish	Ripuarian	probability
b̥	b	0.843
b̥	f	0.133
d̥	d	0.987
e	ə	1.0
f	f	0.976
h	h	0.977
i	ə	1.0
j	ɕ	0.38
j	ˈɛː	0.323
j	-	0.19
j	x	0.107
jˀ	ˈɛː	1.0
k	ŋ_k	0.402
k	k	0.334
k	ɕ	0.263
kʰ	k	0.925
kʰ	f	0.075
l	l	0.988
lˀ	l	0.95
lˀ	ɐ	0.05
m	m	0.853
m	ɐ_m	0.147
mˀ	m	0.518
mˀ	n	0.482
n	n	0.829
n	ŋ	0.098
n	-	0.073
nˀ	ŋ	0.571
nˀ	n	0.355
nˀ	s	0.06
p	p	1.0
pʰ	f	1.0
s	z	0.394
s	s	0.294
s	ʃ	0.273
t	t	0.373
t	ɕ	0.318
t	ʦ	0.182
t	x	0.127
w	v	0.382
w	-	0.266
w	ə	0.143
w	ˈaʊ̯	0.1
wˀ	ə	1.0
ð̞ˠ	t	0.432
ð̞ˠ	s	0.423
ð̞ˠ	-	0.123
ŋ	ŋ	0.756
ŋ	ɕ	0.244
ŋˀ	ŋ	1.0
ɐ	ɐ	0.565
ɐ	d_ɐ	0.203
ɐ	ˈyː	0.101
ɐ	-	0.078
ɐˀ	ˈoː	0.399
ɐˀ	-	0.31
ɐˀ	ɐ	0.291
ə	ə	0.728
ə	-	0.186
ɡ̊	j	0.618
ɡ̊	k	0.224
ɡ̊	-	0.158
ʁ	ʀ	0.931
ʁ	b	0.05
ʋ	ʋ	0.571
ʋ	v	0.178
ʋ	-	0.102
ʋ	f	0.097
ʋ	ʀ	0.052
ʦʰ	d	0.634
ʦʰ	ʦ	0.291
ʦʰ	-	0.051
ʨ	d	1.0
ˈa	ˈa	0.675
ˈa	ˈaː	0.188
ˈa	ˈɛː	0.137
ˈe	ˈɪ	0.465
ˈe	ˈe	0.286
ˈe	-	0.109
ˈe	ˈa	0.104
ˈeˀ	ˈeː	0.542
ˈeˀ	ˈɛ	0.149
ˈeˀ	ˈɛ_d	0.098
ˈeˀ	ˈiː	0.064
ˈeˀ	ˈoː	0.061
ˈeː	ˈeː	0.786
ˈeː	ˈa	0.214
ˈi	ˈiː	0.919
ˈi	ˈyː	0.081
ˈiˀ	ˈiː	0.268
ˈiˀ	ˈe	0.251
ˈiˀ	ˈɛ	0.207
ˈiˀ	ˈʏ	0.132
ˈiˀ	ˈeː	0.082
ˈiˀ	ˈeɪ̯	0.061
ˈiː	ˈiː	0.481
ˈiː	ˈaː	0.215
ˈiː	ˈe	0.215
ˈiː	ˈɪ	0.089
ˈo	ʋ	0.573
ˈo	-	0.166
ˈo	ˈoː	0.166
ˈo	ˈɔ	0.095
ˈoˀ	ˈoː	0.734
ˈoˀ	ˈaʊ̯	0.126
ˈoˀ	-	0.099
ˈoː	ˈaː	0.305
ˈoː	ˈoː	0.27
ˈoː	ˈaʊ̯	0.254
ˈoː	ˈʏ	0.158
ˈu	ˈɔ	0.422
ˈu	ˈœ	0.312
ˈu	ˈo	0.208
ˈu	ˈoː	0.058
ˈuˀ	ˈuː	0.535
ˈuˀ	ˈaʊ̯	0.172
ˈuˀ	ˈu	0.172
ˈuˀ	ˈɛː	0.12
ˈuː	ˈeː	0.5
ˈuː	ˈyː	0.5
ˈy	ˈœ	0.534
ˈy	ˈe	0.299
ˈy	ˈʏ	0.167
ˈyˀ	ˈeː	0.458
ˈyˀ	ˈøː	0.232
ˈyˀ	ˈɪ	0.194
ˈyˀ	ˈɔʏ̯	0.071
ˈyː	ˈeː	0.896
ˈyː	ʋ	0.104
ˈæ	ˈɛː	0.529
ˈæ	ˈɛ	0.471
ˈæˀ	ˈaː	1.0
ˈø	ˈœ	0.5
ˈø	ˈɪ	0.5
ˈøː	ˈuː	0.469
ˈøː	ˈaʊ̯	0.439
ˈøː	ˈyː	0.092
ˈœ	ˈøː	0.415
ˈœ	ˈɛ	0.174
ˈœ	ˈœ	0.172
ˈœ	ˈo	0.068
ˈœ	ˈɔ	0.068
ˈœ	ˈʏ	0.053
ˈœ	-	0.05
ˈœˀ	ˈøː	0.34
ˈœˀ	ˈuː	0.287
ˈœˀ	-	0.187
ˈœˀ	ˈoː	0.115
ˈœˀ	ʀ	0.07
ˈɑ	ˈa	0.372
ˈɑ	-	0.247
ˈɑ	ˈɪ	0.215
ˈɑ	ˈœ	0.165
ˈɑˀ	ˈɛː	0.513
ˈɑˀ	ˈɛ	0.487
ˈɑː	ˈaː	1.0
ˈɒ	ˈɔ	1.0
ˈɒˀ	ˈoː	1.0
ˈɒː	ˈoː	1.0
ˈɔ	ˈo	0.7
ˈɔ	ˈɔ	0.192
ˈɔ	ˈuː	0.108
ˈɔˀ	ˈoː	0.545
ˈɔˀ	ˈɔ	0.395
ˈɔˀ	ˈøː	0.06
ˈɔː	ˈɔ	1.0
ˈɛ	ˈa	0.372
ˈɛ	ˈɛ	0.182
ˈɛ	-	0.134
ˈɛ	ˈœ	0.109
ˈɛˀ	ˈaː	0.439
ˈɛˀ	ˈeɪ̯	0.239
ˈɛˀ	ˈeː	0.161
ˈɛˀ	ˈɛ	0.161
ˈɛː	ˈaː	0.675
ˈɛː	ˈa	0.174
ˈɛː	ˈɛː	0.151
ˈʌ	ˈa	0.315
ˈʌ	ˈoː	0.267
ˈʌ	ˈʏ	0.228
ˈʌ	ˈu	0.143
ˈʌˀ	ˈuː	1.0
