Occitan	Venetian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɥ	<#_ˈɔ	1.0
<#_ʤ	<#_z	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
a_s	a_s	1.0
a_ð	a	1.0
a_β	a_v	1.0
e_#>	r_#>	1.0
e_n	e	1.0
j_s	s_e	1.0
j_ˈe_w_#>	ˈi_o	1.0
j_ˈɛ	ˈɛ	1.0
k_#>	ɡ_o	1.0
l_ˈa	j_ˈa	1.0
lː	z	1.0
m_ˈa	m_ˈa	1.0
mː	m	1.0
n_d	n	1.0
n_t	ŋ_t	1.0
p	p	1.0
r	r	1.0
s_t	s_t	1.0
t_#>	d_o	1.0
u_l	o_ɰ	1.0
u_z_ˈa_w_t_ɾ_e_s	ˈu_#>	1.0
v	v	1.0
w_#>	v_e	1.0
w_ɾ	v_e	1.0
ð	d	1.0
ŋ	ŋ	1.0
ŋ_k	ŋ_k	1.0
ɔ_#>	a_#>	1.0
ɣ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɲ	ɲ	1.0
ɲ_ɔ_#>	ɲ_o	1.0
ɾ_e	r	1.0
ɾ_ˈa	r_ˈa	1.0
ʤ_e	z_o	1.0
ʧ	t	1.0
ˈa_j	ˈa	1.0
ˈa_m_b	ˈa_m	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈɔ	1.0
ˈa_ʦ	ˈa_z	1.0
ˈe_j	ˈe_d	1.0
ˈe_k	ˈe_k	1.0
ˈe_l	ˈe	1.0
ˈi_l	ˈi	1.0
ˈu_t	ˈu_t	1.0
ˈu_ʦ	ˈo_z	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_j	e	1.0
ˈɛ_r	ˈɛ_r	1.0
s_#>	#>	0.571
t	-	0.111
ˈa	ˈa	0.941
ˈy	ˈɔ	0.111
<#_ɡ	<#_ʤ	0.2
<#_ɡ	<#_z	0.2
e	i	0.062
e	r	0.062
k	<#	0.182
l	-	0.292
m	ŋ	0.182
ɾ	a_r	0.2
ˈy	ˈu	0.722
ˈɛ	ˈe	0.32
β	v	0.462
<#	<#_z	0.3
a	e	0.143
l	ʤ	0.083
l	l	0.083
l	ʧ	0.083
l	j	0.333
l_#>	ʧ_o	0.133
l_#>	l_#>	0.333
l_#>	ɰ_o	0.533
n	n	0.63
u	o	0.833
ʎ	j	0.333
ʎ	-	0.333
ʎ	ʧ	0.333
ˈi	ˈi	0.933
ˈɛ_l	ʧ	0.273
i	j	0.4
n	-	0.074
s	ɰ	0.074
s	p	0.074
ˈu	ˈo	0.824
ˈɛ	ˈɛ	0.44
β	-	0.154
<#_a	<#_a	0.375
<#_a	<#	0.625
<#_l	<#_l	0.105
e	-	0.375
e	e	0.5
j	-	0.5
j	ˈɛ	0.5
l	ɰ	0.125
ʤ	d	0.5
ʤ	-	0.5
ʦ_#>	s_o	0.5
ʦ_#>	z_e	0.5
ˈɔ	ˈo	0.455
ˈɔ	ˈɔ	0.545
β	b	0.385
#>	e_#>	0.196
<#_l	<#	0.316
<#_ɡ	<#_ɡ	0.6
i	i	0.6
n	ŋ_t	0.296
s	-	0.296
w	l	0.286
w	v	0.286
z	d	0.286
z	-	0.286
ɾ	r	0.6
ˈe	ˈe	0.846
ˈɛ	j_ˈe	0.16
#>	r_#>	0.177
#>	o_#>	0.487
<#	<#_s	0.7
a	a	0.857
s	s	0.407
u	-	0.167
ɾ	e	0.067
ɾ	l	0.067
ɾ	-	0.067
ˈe	-	0.077
ˈe	ˈɛ	0.077
ˈi	-	0.067
ˈy	ˈo	0.167
ˈɛ_l	ˈɛ	0.727
#>	ŋ_#>	0.108
k	k	0.818
m	m	0.818
s	z	0.148
ˈu	ˈɔ	0.118
ˈɛ	ˈo	0.08
<#_l	<#_ɰ	0.579
s_#>	i_#>	0.429
t	t	0.889
w	-	0.429
z	z	0.429
ˈa	w_ˈa	0.059
ˈu	ˈu	0.059
