Northern Low Saxon	Luxembourgish	probability
b	b	0.629
b	f	0.274
b	p	0.092
d	t	0.375
d	d	0.351
d	s	0.138
d	ʦ	0.059
d	-	0.05
f	f	0.992
f	-	0.03
h	h	1.0
i	ə	0.239
j	ɡ	1.0
k	k	1.0
kʰ	kʰ	1.0
l	l	0.937
l	-	0.059
m	m	0.665
m	ə_n	0.165
m	n	0.073
m	m_ə	0.055
m	ə	0.038
n	n	0.915
n	ŋ	0.054
n	-	0.033
p	f	0.758
p	p	0.088
r	ʀ	0.96
r	ˈiː	0.044
s	s	0.601
s	ʃ	0.247
s	z	0.071
s	ʃ_t	0.071
t	t	0.777
t	s	0.157
t	-	0.055
tʰ	ʦ	0.869
tʰ	tʰ	0.113
v	v	0.671
v	w	0.328
x	ɕ	0.483
x	χ	0.294
x	-	0.098
x	ʃ	0.098
z	z	0.948
z	m	0.055
ç	ɕ	0.325
ç	-	0.3
ç	k	0.182
ç	ɕ_t	0.159
ŋ	ŋ	0.657
ŋ	ŋ_ə	0.166
ŋ	ə_n	0.095
ŋ	n	0.072
ɐ	ɐ	0.864
ɐ	ə_ʀ	0.075
ɐ	ˈo	0.038
ɐ	-	0.038
ɐ_n	ʀ	1.0
ə	ɐ	0.239
ɡ	ɡ	0.45
ɡ	k	0.211
ɡ	ɕ	0.207
ɡ	χ	0.084
ɡ	ʑ	0.041
ɡ_l	l	1.0
ɪ	ə	0.699
ɪ	e	0.208
ʃ	ʃ	1.0
ʒ	j	1.0
ˈa	ˈaː	0.522
ˈa	ˈɑ	0.287
ˈa	ˈuə̯	0.093
ˈa	ˈæ	0.053
ˈa	ˈɛː	0.045
ˈaɪ̯	ˈəɪ̯	0.467
ˈaɪ̯	ˈeː	0.303
ˈaɪ̯	ˈi	0.063
ˈaɪ̯	ˈæːɪ̯	0.055
ˈaɪ̯	ˈe	0.054
ˈaʊ̯	ˈaː	0.347
ˈaʊ̯	ˈəʊ̯	0.308
ˈaʊ̯	ˈu	0.092
ˈaʊ̯	ˈʊ	0.09
ˈaʊ̯	ˈəɪ̯	0.046
ˈaː	ˈaː	0.468
ˈaː	ˈiː_ɐ	0.339
ˈaː	ˈɑ	0.131
ˈeɪ̯	ˈeː	0.334
ˈeɪ̯	ˈəɪ̯	0.253
ˈeɪ̯	ˈi	0.253
ˈeɪ̯	ˈiː	0.099
ˈeː	ˈəɪ̯	0.155
ˈeː	ˈe	0.155
ˈeː	ˈiə̯	0.137
ˈeː	ˈi	0.111
ˈeː	ˈə	0.108
ˈiː	ˈæːɪ̯	0.433
ˈiː	ˈɑɪ̯	0.261
ˈiː	ˈə	0.159
ˈiː	ˈæɪ̯	0.107
ˈoː	ˈoː	0.387
ˈoː	ˈaː	0.188
ˈoː	ˈəɪ̯	0.118
ˈoː	ˈu	0.103
ˈoː	ˈuə̯	0.098
ˈuː	ˈæːʊ̯	0.588
ˈuː	ˈʊ	0.109
ˈuː	ˈu	0.083
ˈuː	ˈɑɪ̯	0.081
ˈuː	ˈɔ	0.063
ˈyː	ˈɑɪ̯	0.699
ˈyː	ˈæːɪ̯	0.297
ˈø	ˈɛ	0.574
ˈø	ˈɑ	0.281
ˈøː	ˈuə̯	0.259
ˈøː	ˈi	0.239
ˈøː	ˈæːʊ̯	0.081
ˈøː	ˈiː	0.075
ˈœ	ˈiə̯	1.0
ˈœː	ˈeː	0.322
ˈœː	ˈə	0.322
ˈɔ	ˈo	0.347
ˈɔ	ˈɑ	0.257
ˈɔ	ˈuː	0.19
ˈɔ	ˈʊɪ̯	0.109
ˈɔʏ̯	ˈəɪ̯	0.509
ˈɔʏ̯	ˈi	0.215
ˈɔʏ̯	ˈe	0.086
ˈɔʏ̯	ɐ	0.086
ˈɔʏ̯	ˈeː	0.069
ˈɔː	ˈuː	0.489
ˈɛ	ˈiə̯	0.218
ˈɛ	ˈiː	0.144
ˈɛ	ˈoː	0.144
ˈɛ	ˈɛ	0.144
ˈɛ	ˈu	0.144
ˈɛɪ̯	ˈəɪ̯	0.392
ˈɛɪ̯	ˈeː	0.22
ˈɛɪ̯	ˈɛː	0.22
ˈɪ	ˈɑ	0.336
ˈɪ	ˈə	0.271
ˈɪ	ˈe	0.112
ˈɪ	ˈeː	0.095
ˈɪ	ˈiː	0.083
ˈʊ	ˈo	0.705
ˈʊ	ˈɔ	0.125
ˈʊ	ˈʊ	0.08
ˈʊ	ˈɑɪ̯	0.058
ˈʏ	ˈə	0.552
ˈʏ	ˈe	0.303
ˈʏ	ˈu	0.117
