Northern Low Saxon	Luxembourgish	probability
aɪ̯	e	1.0
b	b	0.707
b	f	0.257
d	d	0.396
d	t	0.293
d	s	0.211
d	ʦ	0.078
f	f	0.812
f	ə_f	0.149
h	h	1.0
i	ə	1.0
j	ɡ	1.0
k	k	1.0
kʰ	kʰ	1.0
l	l	0.966
m	m	0.756
m	v_ə	0.095
m	ə	0.084
m	n	0.053
n	n	0.905
n	ŋ	0.055
p	p	0.691
p	f	0.309
r	ʀ	0.987
s	s	0.579
s	ʃ	0.273
s	z	0.148
t	t	0.37
t	ʦ	0.295
t	s	0.283
t	-	0.052
tʰ	ʦ	0.914
tʰ	tʰ	0.086
v	v	0.734
v	w	0.266
x	ɕ	0.611
x	χ	0.289
x	-	0.099
z	z	1.0
ç	ɕ	0.599
ç	k	0.401
ŋ	ŋ	0.669
ŋ	ə	0.274
ŋ	n	0.057
ɐ	ɐ	0.794
ɐ	ʀ	0.098
ɐ	-	0.058
ə	ɐ	0.64
ə	ə	0.36
ɡ	ɡ	0.384
ɡ	ɕ	0.275
ɡ	k	0.163
ɡ	χ	0.129
ɪ	ə	0.785
ɪ	e	0.215
ʃ	ʃ	1.0
ʒ	j	0.866
ʒ	d	0.134
ˈa	ˈɑ	0.474
ˈa	ˈaː	0.43
ˈaɪ̯	ˈɜɪ̯	0.484
ˈaɪ̯	ˈeː	0.265
ˈaɪ̯	ˈi	0.086
ˈaɪ̯	ˈe	0.063
ˈaɪ̯	ˈiː	0.054
ˈaʊ̯	ˈaː	0.367
ˈaʊ̯	ˈəʊ̯	0.237
ˈaʊ̯	ˈu	0.131
ˈaʊ̯	ˈɜɪ̯	0.072
ˈaʊ̯	ˈʊ	0.064
ˈaʊ̯	ˈo	0.061
ˈaː	ˈaː	0.416
ˈaː	ˈiː	0.292
ˈaː	ˈɑ	0.292
ˈeɪ̯	ˈeː	0.426
ˈeɪ̯	ˈɜɪ̯	0.308
ˈeɪ̯	ˈi	0.267
ˈeː	ˈɑ	0.28
ˈeː	ˈi	0.171
ˈeː	ˈiə̯	0.11
ˈeː	ˈe	0.104
ˈeː	ˈɛː	0.103
ˈeː	ˈɜɪ̯	0.065
ˈeː	ˈo	0.063
ˈeː	ˈɛ	0.061
ˈiː	ˈæːɪ̯	0.619
ˈiː	ˈɑɪ̯	0.248
ˈiː	ˈə	0.133
ˈoː	ˈoː	0.327
ˈoː	ˈəʊ̯	0.154
ˈoː	ˈuə̯	0.11
ˈoː	ˈu	0.098
ˈoː	ˈɜɪ̯	0.097
ˈoː	ˈaː	0.093
ˈoː	ˈo	0.067
ˈoː	ˈiː	0.054
ˈuː	ˈæːʊ̯	0.397
ˈuː	ˈɑʊ̯	0.357
ˈuː	ˈɑɪ̯	0.077
ˈuː	ˈɔ	0.055
ˈuː	ˈʊ	0.055
ˈyː	ˈɑɪ̯	0.652
ˈyː	ˈæːɪ̯	0.348
ˈø	ˈɛ	0.626
ˈø	ˈɑ	0.374
ˈøː	ˈiː	0.448
ˈøː	ˈi	0.165
ˈøː	ˈuə̯	0.148
ˈøː	ˈæːʊ̯	0.148
ˈøː	ˈo	0.091
ˈœ	ˈuː	0.311
ˈœ	ˈæːɪ̯	0.311
ˈœ	ˈiə̯	0.189
ˈœ	ˈə	0.189
ˈœː	ˈə	0.542
ˈœː	ˈeː	0.458
ˈɔ	ˈo	0.403
ˈɔ	ˈɑ	0.287
ˈɔ	ˈuː	0.212
ˈɔ	ˈuə̯	0.098
ˈɔʏ̯	ˈɜɪ̯	0.407
ˈɔʏ̯	ˈi	0.194
ˈɔʏ̯	ˈe	0.165
ˈɔʏ̯	ˈeː	0.113
ˈɔʏ̯	ˈu	0.07
ˈɔʏ̯	ɐ	0.052
ˈɔː	ˈuː	1.0
ˈɛ	ˈiə̯	0.255
ˈɛ	ˈoː	0.19
ˈɛ	ˈæ	0.19
ˈɛ	ˈeː	0.088
ˈɛ	ˈə	0.088
ˈɛ	ˈu	0.076
ˈɛ	ˈɛ	0.068
ˈɛɪ̯	ˈeː	0.354
ˈɛɪ̯	ˈɛː	0.323
ˈɛɪ̯	ˈɜɪ̯	0.323
ˈɛː	ˈiː	1.0
ˈɪ	ˈɑ	0.468
ˈɪ	ˈə	0.209
ˈɪ	ˈe	0.137
ˈɪ	ˈɑɪ̯	0.059
ˈɪ	ˈeː	0.058
ˈʊ	ˈo	0.498
ˈʊ	ˈɔ	0.235
ˈʊ	ˈʊ	0.115
ˈʊ	ˈu	0.086
ˈʊ	ˈɑɪ̯	0.066
ˈʏ	ˈə	0.61
ˈʏ	ˈe	0.207
ˈʏ	ˈu	0.086
ˈʏ	ɐ	0.06
