Russian	Russian	probability
ˈ	-	1.0
ʨ_ɪ	ʧ	1.0
ʐ̊	-	1.0
ʐ	ʒ	1.0
ʉ	ɪ	1.0
ɫ_#>	l_#>	1.0
ɪ_j	iː	1.0
ɨ_ˈ	ɪ	1.0
ɨ_j	iː	1.0
ɡ̊	x	1.0
ɡʲ	ou̯_ɦ	1.0
ɡ	ɦ	1.0
ɛ	ɛ	1.0
ɕː	ʃ	1.0
ɐ_r	r	1.0
æ	-	1.0
z̥	z̥	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
v_ə	v_a	1.0
v	v	1.0
t	t	1.0
sʲ	s	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
o_ˈ	ɛ	1.0
n	n	1.0
m	m	1.0
lʲ_#>	l_#>	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
j	iː	1.0
i_ˈ	iː	1.0
fʲ	f	1.0
f	f	1.0
d̥ʲ	ʃ_c	1.0
d̥	d̥	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
<#_ɐ	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_mʲ	<#_m	1.0
<#_lʲ	<#_l	1.0
<#_j	<#_j	1.0
<#	<#_j	1.0
rʲ	r̝	0.8
tʲ	t	0.792
a	a	0.781
ɐ	o	0.778
ɫ	l	0.739
ʦ	ʦ	0.714
ə_#>	o_#>	0.706
ɵ	ɛ	0.7
ʊ	u	0.667
i	ɪ	0.667
dʲ	d	0.667
e	ɛ	0.633
ɨ	iː	0.625
r	r	0.611
ʨ	ʧ	0.6
mʲ	m	0.6
ɪ	ɛ	0.586
nʲ	n	0.571
ə	a	0.562
u	u	0.556
vʲ	v	0.538
vʲ	v_j	0.462
u	ou̯	0.444
nʲ	ɲ	0.429
ʨ	ʦ	0.4
mʲ	m̩	0.4
r	r̩	0.389
o	o	0.385
ɨ	ɛ	0.375
ʊ	-	0.333
i	-	0.333
dʲ	ɟ	0.333
ɵ	-	0.3
ʦ	-	0.286
o	-	0.282
ə	-	0.25
ɐ	a	0.222
tʲ	c	0.208
ɪ	-	0.207
rʲ	r̝̊	0.2
ə	ɛ	0.188
o	uː	0.179
ə_#>	ɛ_#>	0.176
ɫ	l̩	0.174
e	-	0.167
e	iː	0.133
a	aː	0.125
ə_#>	#>	0.118
a	-	0.094
ɫ	d_l	0.087
ɪ	ɪ	0.069
ɪ	iː	0.069
ɪ	a	0.069
e	ɛː	0.067
o	ɛː	0.051
o	l_u	0.051
o	aː	0.051
