Proto-Germanic	Ripuarian	probability
β_ɑ	v̥	1.0
ˈɛː	ˈɔː	1.0
ˈɑː	ˈɔː	1.0
ˈɑi̯_w	ˈiː	1.0
ˈɑ_r	ˈɛ_ʀ	1.0
ˈu_r	ˈoː	1.0
ˈĩː	ˈiː	1.0
ˈiu̯_j	ˈøʏ̯	1.0
ˈi_ɣ	ˈi	1.0
ˈeː	ˈeː	1.0
ˈeu̯	ˈeː	1.0
ˈe_r	ˈɛː	1.0
ˈe_k	ˈɪ_ɕ	1.0
ɸ	f	1.0
ɣ_i	ɕ	1.0
ɡʷ	-	1.0
ɡ_ɑ	ɡ̊	1.0
ɡ	-	1.0
ɛː	ɐ	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑː_n	ə	1.0
ɑi̯	ˈa_n	1.0
ɑ_n	ə	1.0
ŋ	ŋ	1.0
ð_ɑ	d̥	1.0
x_s	s	1.0
x_n	n	1.0
x_l	l	1.0
tː	ʦ	1.0
t_ɑ	s	1.0
t_s	s	1.0
s_ɑ̃	z̥	1.0
s_k	ʃ	1.0
r_ˈɑ	ʀ	1.0
r_ɔː	ɐ	1.0
r_ɑ̃	ɐ	1.0
r_ɑ	ɐ	1.0
r_u	ɐ	1.0
r_t	ʦ	1.0
r_n	n	1.0
r	ʀ	1.0
pː	p	1.0
nː	n	1.0
n_θ	ŋ_ɡ̊	1.0
n_s	n_z̥	1.0
n_i	n	1.0
n_d	ŋ	1.0
mː	m	1.0
m_b	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ɑ	ɫ	1.0
l_d	ɫ_d̥	1.0
kː	-	1.0
kʷ	k	1.0
k_s	ɕ	1.0
jː	ˈeɪ̯	1.0
iː	-	1.0
d_ɑ	ɡ̊	1.0
b	b	1.0
i	-	0.915
j	-	0.894
u	-	0.86
d	d	0.83
e	ɐ	0.79
ˈɑi̯	ˈeː	0.763
ɑ	-	0.763
θ	d	0.754
β	v	0.739
n	n	0.727
w	ʋ	0.699
z	-	0.684
ɣ_ɑ	ɕ	0.679
x_t	ɕ	0.675
ˈɔː	ˈoː	0.646
ɔːː	-	0.636
x	h	0.617
p	f	0.589
ˈuː	ˈuː	0.581
ˈi	ˈe	0.572
l	l	0.558
ˈiː	ˈiː	0.549
ˈu	ˈo	0.547
xʷ	-	0.527
ˈɑ	ˈa	0.524
xʷ	ʋ	0.473
ˈe	ˈɛ	0.471
k	ɕ	0.456
l	ɫ	0.442
ˈɑu̯	ˈuː	0.435
t	s	0.425
ð	d	0.42
s	z	0.419
p	p	0.411
ˈɔː	ˈøː	0.354
t	t	0.339
k	k	0.336
x_t	x	0.325
ɣ_ɑ	ɣ̊	0.321
s	ʃ	0.317
z	ɡ̊	0.316
ˈɑ	ˈaː	0.315
w	-	0.301
ˈe	ˈɛː	0.285
ˈi	-	0.278
x	-	0.266
β	v̥	0.261
θ	d̥	0.246
ˈe	-	0.244
ɣ	-	0.242
ˈuː	-	0.238
ˈɑi̯	ˈeɪ̯	0.237
ɑ	ə	0.237
ɣ	j	0.236
t	ʦ	0.236
ð	d̥	0.227
ð	-	0.226
ˈiː	ˈɪ	0.225
ˈiː	-	0.225
ɣ	k	0.213
ˈu	ˈœ	0.211
e	e	0.21
k	x	0.208
ˈɑu̯	ˈyː	0.207
ˈɑu̯	ˈoː	0.196
n	ŋ	0.192
ɔːː	ə	0.182
ɔːː	ɐ	0.182
ˈuː	ˈɔʊ̯	0.181
d	d̥	0.17
ɣ	ɣ	0.163
ˈɑu̯	ˈɔʊ̯	0.161
ˈi	ˈɪ	0.15
ɣ	ɕ	0.146
s	z̥	0.141
u	ə	0.14
ð	ɡ̊	0.127
s	-	0.122
x	x	0.116
j	j	0.106
ˈu	ˈɔ	0.097
i	ə	0.085
ˈɑ	ˈe	0.075
ˈɑ	-	0.057
