Ripuarian	Northern Low Saxon	probability
b	b	0.949
b	-	0.051
d	d	0.91
d	-	0.09
e	aɪ̯	1.0
f	f	0.863
f	b	0.122
h	h	0.956
j	ɡ	0.763
j	ŋ	0.117
j	-	0.067
j	ʒ	0.053
k	kʰ	0.36
k	ɡ	0.226
k	d	0.201
k	ç	0.084
k	k	0.065
k	-	0.064
l	l	0.95
l	-	0.05
m	m	0.932
m	-	0.068
n	n	0.867
n	-	0.071
p	b	0.68
p	p	0.182
p	pʰ	0.138
s	s	0.501
s	d	0.442
s	t	0.058
t	d	0.561
t	t	0.333
t	ɐ_d	0.07
v	m	0.715
v	v	0.285
x	x	0.844
x	ɡ	0.156
z	z	0.898
z	s	0.102
ŋ	n	0.569
ŋ	ŋ	0.389
ɐ	ɐ	0.803
ɐ	-	0.115
ɐ	ˈaː	0.059
ɕ	ç	0.484
ɕ	ɡ	0.451
ɕ	k	0.054
ə	n	0.723
ə	-	0.23
ɣ	ɡ	0.71
ɣ	ŋ	0.29
ɪ	ɪ	0.447
ɪ	-	0.43
ɪ	i	0.123
ʀ	r	0.917
ʀ	-	0.083
ʃ	ʃ	0.888
ʃ	s	0.112
ʋ	v	1.0
ʦ	tʰ	0.672
ʦ	d	0.251
ʦ	t	0.077
ˈa	ˈa	0.549
ˈa	ˈaʊ̯	0.117
ˈa	ˈɪ	0.114
ˈa	ˈɛ	0.075
ˈa	ˈeː	0.05
ˈaʊ̯	ˈuː	0.618
ˈaʊ̯	ˈaʊ̯	0.118
ˈaʊ̯	ˈoː	0.118
ˈaʊ̯	ˈøː	0.089
ˈaʊ̯	ˈɔ	0.057
ˈaː	ˈoː	0.498
ˈaː	ˈa	0.396
ˈaː	ˈɛ	0.065
ˈe	ˈɪ	0.784
ˈe	ˈiː	0.138
ˈeɪ̯	ˈaɪ̯	0.813
ˈeɪ̯	ˈiː	0.187
ˈeː	ˈaɪ̯	0.725
ˈeː	ˈɪ	0.095
ˈeː	ˈeɪ̯	0.063
ˈiː	ˈiː	0.464
ˈiː	ˈaɪ̯	0.209
ˈiː	ˈɛɪ̯	0.084
ˈiː	ˈeː	0.058
ˈiː	ˈɪ	0.058
ˈiː	-	0.054
ˈo	ˈʊ	0.771
ˈo	ˈoː	0.116
ˈo	ˈaʊ̯	0.084
ˈoʊ̯	ˈaʊ̯	0.667
ˈoʊ̯	ˈoː	0.333
ˈoː	ˈaʊ̯	0.468
ˈoː	ˈoː	0.345
ˈoː	ˈøː	0.073
ˈoː	ˈuː	0.06
ˈu	ˈoː	0.6
ˈu	ˈʏ	0.312
ˈu	ˈɔ	0.088
ˈuː	ˈuː	0.567
ˈuː	ˈaʊ̯	0.402
ˈyː	ˈɔʏ̯	0.387
ˈyː	ˈyː	0.383
ˈyː	ˈøː	0.114
ˈyː	ˈuː	0.076
ˈøʏ̯	ˈiː	1.0
ˈøː	ˈɔʏ̯	0.86
ˈøː	ˈoː	0.062
ˈøː	ˈœ	0.062
ˈœ	ˈʏ	0.738
ˈœ	ˈiː	0.161
ˈœ	ˈœː	0.102
ˈɔ	ˈɔ	0.36
ˈɔ	ˈʊ	0.354
ˈɔ	ˈoː	0.161
ˈɔ	ˈaʊ̯	0.072
ˈɔ	ˈuː	0.052
ˈɛ	ˈɛ	0.231
ˈɛ	ˈø	0.17
ˈɛ	ˈeː	0.148
ˈɛ	ˈa	0.098
ˈɛ	ˈœ	0.095
ˈɛ	ˈʏ	0.095
ˈɛ	ˈɪ	0.069
ˈɛ	-	0.05
ˈɛː	ˈaː	0.186
ˈɛː	ˈeː	0.162
ˈɛː	ˈeɪ̯	0.15
ˈɛː	ˈɛɪ̯	0.15
ˈɛː	ˈoː	0.147
ˈɛː	ɐ	0.102
ˈɛː	ˈɛ	0.102
ˈɪ	ˈɪ	0.776
ˈɪ	ˈiː	0.193
ˈʊ	ˈʊ	0.435
ˈʊ	ˈɔː	0.341
ˈʊ	ˈʏ	0.224
ˈʏ	ˈeː	0.259
ˈʏ	ˈʏ	0.259
ˈʏ	ˈøː	0.18
ˈʏ	ˈɔʏ̯	0.153
ˈʏ	ˈaɪ̯	0.128
