East Low German	Bavarian	probability
ˈɔʏ̯_t	ˈiɐ̯_s	1.0
ˈɔʏ̯	ˈuɐ̯	1.0
ˈœ	ˈe	1.0
ˈyː	ˈai̯	1.0
ʃ	ʃ	1.0
ɾ	d̥	1.0
ɪ_ç	ɡ̊	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ̊	1.0
ŋ	ŋ	1.0
z	s	1.0
w	ʋ	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_n	s_n	1.0
t_#>	ʦ_#>	1.0
r	r	1.0
p_n	f_a	1.0
n_#>	#>	1.0
l_t	j_d̥	1.0
l_#>	j_#>	1.0
kʰ	kʰ	1.0
k_n	ɡ̊_a	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_ˈɛ	<#_ˈe	1.0
m	m	0.903
ˈɪ	ˈi	0.765
n	n	0.759
p	f	0.75
ˈiː	ˈai̯	0.733
s	s	0.667
l	l	0.667
j	ɡ̊	0.667
t	d̥	0.659
x	x	0.625
k	x	0.615
ˈʊ	ˈu	0.6
ˈɛː	ˈe	0.6
ˈɔ	ˈo	0.6
æ	a	0.576
ˈuː	ˈau̯	0.533
ˈaʊ̯	ˈuɐ̯	0.5
ˈae̯	ˈoɐ̯	0.458
ˈʏ	ˈu	0.455
ˈɛ	ˈeː	0.444
ç	ɡ̊	0.444
ˈʊ	ˈo	0.4
ˈɛː	-	0.4
ˈɔ	ˈu	0.4
k	ɡ̊	0.385
x	ɡ̊	0.375
ˈa	ˈɑ	0.368
ˈɛ	ˈe	0.333
ˈuː	ˈo	0.333
ˈaː	ˈɒː	0.333
ˈaː	ˈe_ɐ	0.333
ˈaː	ɐ	0.333
ç	ɡ̊_a	0.333
æ	ɐ	0.333
l	j	0.333
j	j	0.333
ˈɒː	ˈɑː	0.308
ˈɒː	ˈoː	0.308
ˈae̯	ˈiɐ̯	0.292
t	s	0.268
ˈiː	ˈi	0.267
ˈa	ˈɒː	0.263
ˈa	ˈo	0.263
p	b̥͡v̥	0.25
ˈɒː	ˈɒː	0.231
ˈɛ	ˈi	0.222
ˈaʊ̯	ˈou̯	0.222
ç	x_d̥	0.222
s	ʃ	0.2
ˈʏ	ˈi	0.182
ˈʏ	ˈe	0.182
ˈʏ	ˈai̯	0.182
ˈaʊ̯	ˈaː	0.167
ˈɒː	ˈɑ	0.154
ˈuː	ˈu	0.133
s	ɡ̊_s	0.133
ˈae̯	ˈeː	0.125
ˈae̯	ˈai̯	0.125
ˈɪ	ˈoɐ̯	0.118
ˈɪ	ˈiː	0.118
ˈaʊ̯	ˈoː	0.111
ˈa	ˈa	0.105
m	a	0.097
æ	d̥_a	0.091
t	ʦ	0.073
n	n_d̥	0.069
n	n_a	0.069
n	ŋ	0.052
n	a	0.052
