Swedish	Mecklenburgisch-Vorpommersch	probability
ˈɪ	ˈɪ	1.0
ˈœː	-	1.0
ˈœ_l	l	1.0
ˈæː	-	1.0
ˈæ	ˈaː	1.0
ˈiː_n	ˈiː_n	1.0
ˈa_r	ˈaː	1.0
ʊ	ɣ	1.0
ʈː	t	1.0
ʈ	t	1.0
ʂ	ˈœ_s	1.0
ɳ	æ_n	1.0
ɪ	-	1.0
ɡ_ɛ	ɡ	1.0
ɡ_a	ŋ	1.0
ɔ	ae̯	1.0
ŋː	ŋ	1.0
v_a	m	1.0
tː	t	1.0
t_a	t_n	1.0
t	t	1.0
s_k	ʃ	1.0
r_ˈɛ	r_ˈʏ	1.0
r_a	æ	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
jː	ŋ	1.0
j_ˈʉː	ˈae̯	1.0
h	h	1.0
f	f	1.0
d_a	d_n	1.0
d	d̥	1.0
b	b	1.0
k	k	0.826
ˈa	ˈa	0.807
ˈeː	ˈae̯	0.787
v	v	0.759
ˈiː	ˈiː	0.747
ɕ	kʰ	0.735
kː	k	0.663
ŋ	ŋ	0.647
tʰ	d	0.63
ɧ	ʃ	0.602
ˈʊ	ˈʊ	0.6
ˈɛː	-	0.596
ɡː	-	0.595
ɛ	æ	0.578
ˈœ	-	0.549
a	-	0.535
ˈoː	ˈɒː	0.533
ˈuː	ˈaʊ̯	0.519
ˈyː	-	0.516
s	z	0.507
ˈʏ	ˈʏ	0.502
ˈyː	ˈyː	0.484
ˈɵ	ˈʊ	0.472
ˈɛ	ˈɛ	0.47
ˈɔ	-	0.47
ˈɑː	ˈa	0.465
ɡ	ɡ	0.424
ɛ	-	0.422
r	r	0.422
r	æ	0.419
ɡː	ç	0.405
ˈɛː	ˈɛː	0.404
ˈʊ	-	0.4
ˈʉː	ˈuː	0.399
a	n	0.372
ˈɑː	ˈɒː	0.371
tʰ	tʰ	0.37
ŋ	-	0.353
kː	ŋ_k	0.337
ɡ	ç	0.336
ˈʉː	ˈae̯	0.306
ˈøː	ˈɔʏ̯	0.303
j	-	0.301
ˈʏ	-	0.297
ˈʉː	-	0.295
ˈɔ	ˈuː	0.295
ˈøː	ˈaʊ̯	0.294
ˈuː	ˈaʊ̯_ɾ	0.265
ɕ	d	0.265
ˈœ	ˈɔʏ̯	0.254
s	ʃ	0.254
ˈiː	n	0.253
ˈøː	ˈoː	0.244
ɡ	x	0.24
s	s	0.239
ˈɔ	ˈɔ	0.235
ˈoː	-	0.221
j	ɡ	0.219
ˈuː	ˈuː	0.216
j	h	0.216
ˈeː	-	0.213
ɧ	z	0.206
ˈʏ	ˈyː	0.201
ˈœ	ˈɔ	0.197
ɧ	z_ˈeː	0.192
ˈɵ	-	0.191
ˈɛ	ˈɪ	0.179
k	-	0.174
ˈɑː	ˈaː	0.164
ˈoː	ˈoː	0.163
v	w	0.159
ˈɛ	-	0.157
ˈɵ	ˈʏ	0.152
j	ˈiː	0.132
j	l	0.132
ˈɵ	ˈuː	0.115
ˈa	ˈɒː	0.114
ˈɛ	ˈa	0.108
r	ˈaː	0.107
a	æ	0.093
ˈɛ	ˈae̯	0.086
v	v̥	0.083
ˈoː	ˈaʊ̯	0.082
ˈøː	ˈœː	0.081
ˈøː	-	0.079
ˈa	-	0.079
ˈɵ	ˈøː	0.07
r	-	0.053
