Afrikaans	Bavarian	probability
b	b̥	1.0
d	d̥	0.838
d	t	0.108
f	f	0.803
f	b̥	0.151
i	eɐ̯	1.0
j	j	0.535
j	ˈeː	0.465
k	kʰ	0.351
k	x	0.265
k	k	0.147
k	-	0.125
k	ç	0.112
m	m	1.0
n	n	0.928
p	f	0.65
p	p͡f	0.232
p	p	0.118
r	r	0.514
r	ɐ	0.261
r	a	0.14
r	d̥_a	0.053
s	s	0.61
s	ʃ	0.337
s	-	0.053
t	d̥	0.273
t	s	0.26
t	ʦ	0.216
t	t	0.197
v	ʋ	0.907
w	ʋ	0.914
w	ˈɛː	0.086
ŋ	ŋ	0.873
ŋ	-	0.127
ə	a	0.506
ə	-	0.382
ə	i	0.093
ɦ	h	1.0
ɫ	j	0.491
ɫ	l	0.49
ˈa	ˈɒ	0.221
ˈa	ˈa	0.184
ˈa	ˈo	0.138
ˈa	ˈɒː	0.113
ˈa	ˈɔ	0.079
ˈa	-	0.074
ˈa	ˈoɐ̯	0.063
ˈa	ˈoː	0.053
ˈa	ˈe	0.052
ˈi	ˈi	0.262
ˈi	ˈiɐ̯	0.191
ˈi	ˈeɐ̯	0.164
ˈi	ˈai̯	0.142
ˈi	ˈiː	0.09
ˈi	ˈe	0.059
ˈoːi̯	ˈou̯	1.0
ˈu	ˈuɐ̯	0.685
ˈu	ˈiɐ̯	0.126
ˈu	ˈu	0.095
ˈu	ˈeɐ̯	0.094
ˈuː	ˈuɐ̯	1.0
ˈuːi̯	ˈuɐ̯	1.0
ˈyː	ˈai̯	0.602
ˈyː	ˈau̯	0.398
ˈæ	ˈi	1.0
ˈæː	-	0.31
ˈæː	ˈa	0.31
ˈæː	ˈɛ	0.31
ˈæː	ˈe	0.069
ˈœ	ˈu	0.56
ˈœ	ˈʏ	0.329
ˈœ	ˈɛ	0.111
ˈœi̯	ˈai̯	1.0
ˈœu̯	ˈo_j	0.82
ˈœu̯	ˈau̯	0.096
ˈœu̯	ˈo	0.084
ˈœɪ̯	ˈau̯	0.79
ˈœɪ̯	ˈai̯	0.21
ˈɑː	ˈa	0.172
ˈɑː	ˈɔ	0.154
ˈɑː	ˈe	0.143
ˈɑː	ˈoː	0.126
ˈɑː	ˈaː	0.084
ˈɑː	ˈɒː	0.072
ˈɑː	ˈɒ	0.072
ˈɑː	ˈɛ	0.061
ˈɔ	ˈu	0.416
ˈɔ	ˈo	0.286
ˈɔ	ˈau̯	0.112
ˈɔ	ˈɔ	0.09
ˈɔ	ˈeɐ̯	0.084
ˈɔː	-	1.0
ˈə	ˈi	0.881
ˈəɪ̯	ˈai̯	0.465
ˈəɪ̯	ˈoɐ̯	0.287
ˈəɪ̯	ˈi	0.137
ˈəɪ̯	-	0.081
ˈɛ	ˈi	0.3
ˈɛ	ˈe	0.276
ˈɛ	ˈɛ	0.216
ˈɛ	ˈʏ	0.158
ˈɛː	ˈoː	0.672
ˈɛː	ˈo	0.328
ˈɪ	ˈa	1.0
ˈɪø̯	ˈu	0.5
ˈɪø̯	ˈɛ	0.5
ˈɪə̯	ˈoɐ̯	0.333
ˈɪə̯	ˈeː	0.239
ˈɪə̯	ˈɛ	0.123
ˈɪə̯	ˈi	0.075
ˈɪə̯	ˈe	0.074
ˈʊə̯	ˈaː	0.217
ˈʊə̯	ˈeː	0.162
ˈʊə̯	ˈe	0.157
ˈʊə̯	ˈou̯	0.101
ˈʊə̯	ˈoɐ̯	0.075
ˈʊə̯	ˈi	0.073
ˈʊə̯	ˈo	0.072
ˈʊə̯	ˈy	0.063
χ	ɡ̊	0.709
χ	x	0.165
χ	k	0.051
χ	ŋ	0.051
