Campidanese	Franco-Provençal	probability
a	a	0.587
a	ə	0.164
a	-	0.122
ă	-	0.489
b	v	0.602
b	b	0.293
d	d	0.512
d	-	0.276
d	ʒ	0.147
e	-	0.681
e	ə	0.192
e	e	0.07
e_r	ə	1.0
ĕ	-	1.0
f	f	1.0
i	-	0.706
i	ə	0.106
i_r	ʁ	1.0
i_s	e	1.0
j	ʎ	0.437
j	-	0.381
j	i	0.141
k	k	0.468
k	ʃ	0.306
k	-	0.112
k	t	0.068
k_ˈa	ʃ	1.0
l	l	0.927
l	-	0.07
m	m	0.761
m	-	0.231
n	n	0.578
n	-	0.321
n_u	ˈĩ	1.0
o	-	0.295
o	ɔ	0.272
o	o	0.144
o	u	0.144
o	ˈo	0.101
ŏ	-	1.0
p	p	0.835
p	-	0.138
r	ʁ	0.698
r	-	0.215
r	l	0.054
r_e	ə	1.0
r_i	ʁ	1.0
r_t	ʁ	1.0
s	s	0.577
s	-	0.363
s_k	k	1.0
s_t	t	1.0
t	t	0.518
t	-	0.476
t_e	t	1.0
u	-	0.768
u	o	0.134
ŭ	-	0.76
ŭ	o	0.239
v	b	0.53
v	-	0.461
w	-	0.514
w	a	0.202
w	ɡ	0.13
w	w	0.088
z	-	0.619
z	ʃ	0.186
z	ð	0.084
z	ʁ	0.084
ð	-	0.582
ð	ð	0.39
ŋ	ˈĩ	0.265
ŋ	ˈɔ̃	0.265
ŋ	ˈɛ̃	0.265
ŋ	-	0.161
ɖ	-	0.603
ɖ	l	0.396
ɡ	ɡ	0.498
ɡ	-	0.365
ɡ	ʃ	0.132
ɣ	-	0.533
ɣ	k	0.158
ɣ	ʎ	0.114
ɣ	ʒ	0.107
ɣ	ɡ	0.052
ɣ_u	ˈa	1.0
ɲ	-	0.281
ɲ	n	0.281
ʃ	-	0.5
ʃ	j	0.265
ʃ	s	0.113
ʃ	t	0.073
ʒ	z	1.0
ʒ_i	ʃ	0.815
ʒ_i	ˈɛ	0.148
ʣ	ʎ	0.852
ʣ	-	0.1
ʤ	ɲ	0.268
ʤ	-	0.216
ʤ	ʒ	0.106
ʤ	d	0.082
ʤ	ð	0.064
ʦ	-	0.392
ʦ	ʦ	0.392
ʦ	s	0.124
ʧ	s	0.796
ʧ	k	0.195
ˈa	ˈa	0.334
ˈa	ˈɔ	0.211
ˈa	-	0.138
ˈa	ˈɛ	0.112
ˈa	ˈɑ̃	0.054
ˈa_l	ˈoː	1.0
ˈa_n	ˈɑ̃	0.699
ˈa_n	ˈɛ̃	0.134
ˈa_r	ˈa	1.0
ˈa_t	ˈa	1.0
ˈe	ˈɛ	0.488
ˈe	ˈi	0.151
ˈe	ˈeː	0.147
ˈe	ˈe	0.059
ˈe_n	ˈɛ̃	1.0
ˈe_ð	ˈɛ	0.489
ˈi	ˈi	0.336
ˈi	ˈeː	0.193
ˈi	ˈɛ	0.159
ˈi	-	0.14
ˈi	ˈe	0.082
ˈi_n	ˈĩ	1.0
ˈi_ð	ˈeː	1.0
ˈo	ˈoː	0.267
ˈo	ˈo	0.157
ˈo	ˈɔ	0.143
ˈo	ˈu	0.11
ˈo	w_ˈɛ	0.081
ˈo	ˈɔ̃	0.065
ˈo	w	0.058
ˈo	ˈø	0.057
ˈo_n	ˈɔ̃	1.0
ˈo_t	w	1.0
ˈu	w	0.214
ˈu	ˈu	0.214
ˈu	w_ˈeː	0.155
ˈu	ˈoː	0.135
ˈu	ˈɔ̃	0.102
ˈu	ˈo	0.061
ˈu	ˈe	0.051
ˈu	ˈy	0.051
ˈu_β	ˈo	1.0
β	v	0.582
β	f	0.234
β	-	0.102
