Megleno-Romanian	Megleno-Romanian	probability
ˈɛ	ˈɛ	1.0
ˈɔ	ˈa	1.0
ʧ	k	1.0
ʦ_i	i	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʃ_t	ʃ	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ɔ	ˈɛ	1.0
ŋ	ŋ	1.0
w_ə	i	1.0
w	-	1.0
v	b	1.0
p_t	t	1.0
p_l	p_ɾ	1.0
p	p	1.0
o̯ˈa	ˈɔ	1.0
n_#>	n_u_#>	1.0
m	m	1.0
kʲ	p	1.0
k_ʎ	ɣ	1.0
j_n	n	1.0
j	-	1.0
f	f	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
s	s	0.875
#>	u_#>	0.806
<#_k	<#_k	0.8
b	b	0.778
ʦ	-	0.75
n	n	0.75
ə	a	0.733
i	i	0.727
ˈu	ˈu	0.688
ˈo	ˈo	0.667
ˈa	ˈa	0.667
u	u	0.667
t	t	0.667
d	d	0.667
ˈe	ˈe	0.636
r	ɾ	0.559
ʎ	ɭː	0.556
e̯ˈa	ˈi	0.556
k	ɣ	0.545
ʃ	s	0.5
ʃ	-	0.5
z	ʤ	0.5
z	-	0.5
l	l	0.5
ˈi	ˈɛ	0.429
ˈe	ˈi	0.364
ˈa	ˈɛ	0.333
d	-	0.333
ˈi	ˈi	0.286
k	k	0.273
ʦ	ʦ	0.25
ʎ	l	0.222
ʎ	-	0.222
e̯ˈa	j	0.222
e̯ˈa	-	0.222
b	β	0.222
ˈo	ˈu	0.2
<#_k	<#	0.2
ˈu	ˈo	0.188
k	ʒ	0.182
i	-	0.182
l	ɾ	0.167
l	ɖː	0.167
l	-	0.167
n	-	0.15
r	r	0.147
r	l	0.147
r	-	0.147
ˈi	ˈe	0.143
ˈi	f_ˈi	0.143
ˈo	ˈɔ	0.133
ə	u	0.133
ə	i	0.133
u	o	0.133
u	-	0.133
ˈu	-	0.125
s	z	0.125
t	ð	0.111
t	b	0.111
t	-	0.111
#>	i_#>	0.111
n	nː	0.1
i	e	0.091
#>	a_#>	0.083
u	ɔ	0.067
