Romagnol	Auvergnat	probability
ˈɛ̃	ˈɪ̃	1.0
ˈɛə̯_s	ˈe	1.0
ˈɛ_l	ˈi_l	1.0
ˈeə̯_r	ˈa_ʀ	1.0
ˈeə̯_d	ˈe_j	1.0
ˈe	ˈɪ	1.0
ʤ	ʎ	1.0
ɲ	ɲ	1.0
ɡ_ɐ	ʤ_ɔ	1.0
ɡ_v	ɡ	1.0
ɐ_r	ʀ_ə	1.0
ŋ	ŋ	1.0
ð_ɐ	ʤ	1.0
ð	ʤ	1.0
z_u	lː	1.0
v_ɐ	w	1.0
v_r	b_ʀ	1.0
s_ɐ	s_ˈa	1.0
r_ˈɛ	ʀ_ˈɪ	1.0
r_ɐ	ʀ	1.0
r_i	ə	1.0
p	p	1.0
o	-	1.0
n_t	ŋ	1.0
l_b	w_b	1.0
k_v	k	1.0
k_r	k_ʀ	1.0
j̃	ŋ	1.0
e	ˈe	1.0
a	ɒ	1.0
b	b	0.902
ˈɛə̯	ˈe	0.879
r	ʀ	0.867
f	f	0.832
ˈeə̯	ˈa	0.795
m	m	0.788
ˈa	ˈa	0.762
θ	s	0.751
t	t	0.722
ʧ	ʎ	0.719
s	s	0.703
ˈʌ̃	ˈã	0.663
ˈou̯	ˈu	0.659
i	i	0.629
ɐ	ɔ	0.628
k	ʧ	0.6
l	l	0.587
n	n	0.535
ˈeː	ˈe	0.532
z	-	0.529
ˈõũ̯	w_ˈɔ̃	0.527
v	v	0.496
d	d	0.482
ˈi	ˈi	0.478
u	u	0.477
ɡ	ɡ	0.475
ˈõũ̯	ˈũ	0.473
ˈeː	ˈɪ	0.468
ˈɔə̯	w	0.454
ˈẽ	ˈĩ	0.439
d	-	0.396
i	ə	0.371
j	l	0.348
ˈɛ	ˈe	0.347
ˈou̯	-	0.341
ˈu	ˈu	0.339
ˈʌ̃	ˈa	0.337
ˈẽ	ˈẽ	0.337
ˈɔə̯	w_ˈɔ	0.336
k	k	0.333
ˈɔ	w_ˈɔ	0.299
ˈɔ	ˈœ	0.284
ʧ	k_l	0.281
z	s	0.272
ɡ	ʧ	0.27
ˈu	ˈy	0.26
u	-	0.256
θ	-	0.249
n	ŋ	0.244
v	vʲ	0.241
ˈa	ˈe_j	0.238
j	ʎ	0.234
ˈɛ	ˈɪ	0.231
ˈu	-	0.23
j	ˈa	0.227
ˈẽ	ˈi	0.225
ˈi	ˈɪ	0.224
n	-	0.221
ˈo	ˈu	0.218
ˈɛ	ˈɪ̃	0.212
v	w	0.21
ˈɔ	w	0.209
ˈɔ	-	0.209
ˈeə̯	w	0.205
z	z	0.199
j	-	0.191
ˈu	w	0.17
f	fʲ	0.168
ˈo	w_ˈɔ	0.167
ˈo	w	0.162
l	w	0.158
ɡ	k	0.157
l	-	0.157
ˈi	ˈe	0.149
ˈi	-	0.149
s	ɪ	0.149
u	œ	0.145
ˈɛ	ˈẽ	0.138
ɐ	ɒ	0.137
ˈɔə̯	ˈɔ	0.124
ˈo	ˈỹ	0.124
m	mʲ	0.123
d	dʲ	0.123
u	ũ	0.122
ˈɛə̯	ˈɛ	0.121
ˈo	ˈũ	0.119
t	w_t	0.117
t	-	0.114
ˈo	ˈy	0.105
ˈo	-	0.105
ɡ	ˈɔ_k	0.098
b	-	0.098
l	ʎ	0.097
m	-	0.089
ˈɔə̯	ˈa_w	0.086
ˈɛ	ˈa	0.072
ɐ	ə	0.071
k	-	0.068
r	e	0.064
ɐ	-	0.061
ɐ	ã	0.057
s	-	0.056
s	s_ə	0.054
v	-	0.052
