West Frisian	Bokmål Norwegian	probability
ˈɪə̯_n	ˈoː	1.0
ˈɪə̯_k	k	1.0
ˈɛ_r	ɾ	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈɛ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	ˈʏ	1.0
ˈu̯o	ˈœ	1.0
ˈuə̯	ˈuː	1.0
ˈu	ˈʉ	1.0
ˈoː	ˈʉː	1.0
ˈiː_k	k	1.0
ˈai̯	ˈeː	1.0
ʋ	ʋ	1.0
ɪ	-	1.0
ɣ_j	ɡ	1.0
ɣ	-	1.0
ɕ	s_ˈʏ	1.0
ŋ	ŋː	1.0
z_ə	ə	1.0
z	s	1.0
s_l	s_l	1.0
s_k	ʂ	1.0
r	ɾ	1.0
n_d	nː	1.0
k_j	k	1.0
j_ˈuə̯	ˈyː	1.0
f	f	1.0
b	b	1.0
p	p	0.944
ə	ə	0.929
h	h	0.841
s	s	0.835
ɡ	ɡ	0.765
m	m	0.757
k	k	0.734
ˈɛi̯	ˈæɪ̯	0.733
ˈa	ˈɑ	0.713
d	d	0.706
v	ʋ	0.698
l	l	0.646
j	-	0.62
t	t	0.617
ˈɔː	ˈɑ	0.608
χ_t	tː	0.605
ˈuː	ˈʉː	0.59
ˈɛː	ˈɑː	0.589
ˈi	ˈiː	0.562
ˈeː	-	0.526
ˈɛ	-	0.524
ˈɛ	ˈɛ	0.476
ˈeː	ˈøː	0.474
n	nː	0.47
ˈɪə̯	ˈøː	0.451
ˈoə̯	ˈuː	0.421
ˈiː	ˈiː	0.421
n	n	0.418
ˈuː	ˈʉ	0.41
d̥	ɾ	0.398
ʦ	-	0.396
χ_t	k_t	0.395
ˈɔː	-	0.392
χ	ɡː	0.386
χ	j	0.386
ˈɔ	-	0.383
ˈɔ	ˈʉ	0.373
ˈiː	ˈɪ	0.372
ʦ	tʰ	0.362
l	lː	0.354
ˈaː	-	0.352
ˈɪ	-	0.311
v	-	0.302
d̥	lː	0.301
d̥	d	0.301
d	-	0.294
ˈɪ	ˈɪ	0.283
ˈɪə̯	-	0.271
ˈɛi̯	ˈɛ	0.267
k	kː	0.266
ˈiə̯	ˈoː	0.261
ˈi	-	0.257
ˈiə̯	-	0.245
m	mː	0.243
ʦ	ç	0.242
ˈaː	ˈoː	0.238
t	tː	0.238
ɡ	j	0.235
χ	ɡ	0.228
ˈoə̯	ˈɔ	0.219
ˈaː	ˈɑ	0.211
ˈiː	-	0.207
j	ˈyː	0.206
ˈɛː	ˈʏ	0.205
ˈɛː	ˈɛ	0.205
ˈoə̯	ˈoː	0.2
ˈaː	ˈɑː	0.199
ˈa	ˈɑː	0.187
ˈi	ˈɪ	0.181
j	ˈiː	0.173
ˈɪ	ˈœ	0.165
ˈoə̯	ˈœ	0.16
h	j	0.159
ˈɔ	ˈɔ	0.143
ˈiə̯	ˈyː	0.141
ˈɪə̯	ˈɑ	0.14
ˈiə̯	ˈæɪ̯	0.136
ˈɪ	ˈɛ	0.131
s	ʂ	0.115
ˈiə̯	ˈøː	0.112
n	ɳ	0.112
ˈiə̯	ˈɛ	0.106
ˈɪə̯	j	0.104
ˈɔ	ˈɛ	0.101
ˈa	ˈɛ	0.1
t	-	0.06
ˈɪ	ˈʏ	0.056
p	pː	0.056
ˈɪ	ˈiː	0.054
t	ʈ	0.053
s	sː	0.05
