East Franconian	Old Frisian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɘ	r	1.0
ˈɒː	-	1.0
ˈaː_m	bː	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈa	1.0
ʃ_d̥	s_t	1.0
ɾ	d_ə	1.0
ɣ	j	1.0
ɡ̊_s	k_s	1.0
ə	ɣ_ə	1.0
ɐ_n	ə	1.0
v̥	p	1.0
s_ˈɛ	s_ˈe	1.0
s_ˈɒ	s_ˈa	1.0
l_d̥	l_d	1.0
kʰ	ʦ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
eː	iː_n	1.0
d̥_ˈɪ	θ_ˈi	1.0
d̥_ˈuː	d_ˈaː	1.0
d̥_n	d_ə	1.0
b̥͡v̥	pː	1.0
b̥	b	1.0
a	ə	1.0
v	w	0.944
r	r	0.891
f	f	0.881
m	m	0.867
s	s	0.848
l	l	0.816
ˈɛ	ˈe	0.766
ʦ	t	0.694
z̥	t	0.681
ˈeː	ˈe	0.668
ˈʊ	ˈu	0.654
ɐ	r	0.648
x	x	0.643
ˈɪ	ˈi	0.625
ˈuː	ˈoː	0.601
ʃ	s	0.574
ˈaː	ˈaː	0.555
ç	x	0.546
ŋ	ŋ_ɡ	0.541
ɣ̊	-	0.528
d̥	d	0.525
ˈaɪ̯	ˈiː	0.499
n	n	0.495
ɣ̊	ɣ_ə	0.472
ˈiː	ˈi̯aː	0.454
ç	k	0.454
ˈɒ	ˈa	0.446
ˈaː	ˈɛː	0.445
ʃ	s_k	0.426
ɡ̊	ɡ	0.405
x	k	0.357
ˈɔ	ˈo	0.337
ˈeː	-	0.332
ˈɔ	ˈɔː	0.328
z̥	z	0.319
ˈoː	ˈeː	0.309
ʦ	tː	0.306
ɡ̊	ɡː	0.296
ˈuː	ˈaː	0.291
d̥	θ	0.283
ˈoː	ˈɔː	0.274
n	ə	0.256
ˈɛ	-	0.234
ˈiː	ˈeː	0.233
ŋ	ɣ_ə	0.225
ˈɔ	-	0.224
ˈɪ	ˈe	0.202
ˈaɪ̯	-	0.195
ˈaɪ̯	ˈi̯uː	0.189
ˈoː	-	0.185
ˈɒ	ˈɔː	0.18
ˈɪ	-	0.172
ˈɒ	ˈe	0.171
ɡ̊	kː	0.169
n	nː	0.159
ˈiː	ˈi	0.157
ˈʊ	-	0.156
ˈiː	-	0.156
s	t	0.152
l	l_ə	0.149
ɐ	ə_r	0.146
ˈʊ	ˈo	0.132
ɐ	r_ə	0.119
f	p	0.119
ˈaɪ̯	ˈi	0.117
ŋ	ə	0.117
ŋ	-	0.117
ˈoː	ˈe	0.116
ˈoː	ˈa	0.116
ˈɒ	ˈoː	0.115
ˈɔ	ˈu	0.11
d̥	t	0.11
r	r_ˈeː	0.109
ˈuː	ˈu	0.108
ˈɒ	-	0.087
ɡ̊	j	0.085
m	mː	0.069
m	v	0.064
d̥	dː	0.061
ˈʊ	ˈe	0.058
v	h_w	0.056
n	n_d	0.056
