Elfdalian	Elfdalian	probability
ˈʏː	-	1.0
ˈʏ	ˈʏ	1.0
ˈʉːə̯_ɣ	w	1.0
ˈʉː_#>	#>	1.0
ˈʉː	-	1.0
ˈɪ̃ː	ˈɛ	1.0
ˈɛː	-	1.0
ˈɔ̃ː	-	1.0
ˈɑːi̯	ˈi	1.0
ˈœ	ˈi	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyœ̯	-	1.0
ʨː	-	1.0
ʨ	-	1.0
ʥː	-	1.0
ʥ	-	1.0
ʏ	-	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡː	-	1.0
ɛ	ə	1.0
ɔ̃	ɛi̯	1.0
ɔ	ə	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ_ɛ	n	1.0
ð_ɛ	d_ə	1.0
ð_#>	#>	1.0
sː	s	1.0
s_ʨ	ʃ	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
rː	ˈœː_ç	1.0
pː	p	1.0
pʰ	p	1.0
n_d	nʲ	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kʰ	k	1.0
k_#>	k_#>	1.0
j_ˈʉːə̯	ˈiː	1.0
f	f	1.0
d_#>	#>	1.0
b	b	1.0
<#_ˈʉ	<#_ˈʊ	1.0
<#_ˈɔː	<#	1.0
<#_ˈɑ	<#_ˈeː	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ʀ	1.0
ɑ	ə	0.909
w	v	0.889
<#	<#_h	0.85
n	n	0.821
ɽ_#>	l_#>	0.8
r	ʀ	0.796
ˈiːe̯	ˈiː	0.778
d	d	0.765
p	p	0.75
ˈoː	-	0.714
ˈo	-	0.667
t	t	0.645
ˈɑːu̯	ˈʏ	0.6
ˈyːœ̯	ˈɛ	0.6
l	l	0.6
ˈɪː	ˈi	0.556
ɡ	ɡ	0.556
ˈʉːə̯	ˈœ	0.5
ˈʉə̯	-	0.5
ˈɔ	h	0.5
ˈɔ	-	0.5
ˈɑː	-	0.5
ʉ	i	0.5
ʉ	-	0.5
ɣ	-	0.5
tʰ	tʲ	0.5
tʰ	d	0.5
kː	ŋ_k	0.5
kː	k	0.5
k	x	0.5
k	k	0.5
ˈɛ	-	0.467
ˈʉ	ˈʊ	0.462
nː	n	0.455
ˈɪː	-	0.444
tː	x_t	0.444
ð	d̥	0.438
ð	dʲ	0.438
ˈɔː	-	0.429
ˈœː	ˈyː	0.429
ˈɑːu̯	-	0.4
ˈyːœ̯	-	0.4
v	ə_v̥	0.4
l	lʲ	0.4
ˈʉ	-	0.385
ˈʉːə̯	-	0.357
ˈɪ	ˈa	0.353
ˈo	ˈɔ	0.333
tː	t	0.333
ˈɑː	ˈɒː	0.3
ɣ	j	0.3
ˈɪ	ˈi	0.294
j	ˈiː	0.294
j	-	0.294
#>	ə_#>	0.294
ˈɔː	ˈɛː	0.286
ˈɔː	ˈuː_l	0.286
ˈœː	ˈuː	0.286
ˈœː	ˈiː	0.286
ˈoː	ˈuː	0.286
ˈɑ	ˈœ	0.273
t	tʲ	0.258
ˈʉə̯	ˈɔ	0.25
ˈʉə̯	ʀ	0.25
p	-	0.25
j	ˈeː	0.235
d	-	0.235
#>	nʲ_#>	0.235
#>	n_#>	0.235
ˈiːe̯	-	0.222
ɡ	ŋ	0.222
ɡ	j	0.222
tː	-	0.222
ˈɛ	ˈiː	0.2
ˈɛ	ˈa	0.2
ˈɑː	ˈeː	0.2
ɽ_#>	#>	0.2
ɣ	x	0.2
v	v̥	0.2
v	v_ə	0.2
v	v	0.2
ˈɑ	ˈʊ	0.182
ˈɑ	ˈɒ	0.182
ˈɑ	ˈa	0.182
ˈɑ	-	0.182
nː	ʀ_n	0.182
nː	ʀ	0.182
nː	z̥	0.182
j	j	0.176
ˈʉ	ˈa	0.154
<#	<#_ɡ	0.15
ˈʉːə̯	ˈɔu̯	0.143
ˈɛ	ˈɒː	0.133
ð	z̥	0.125
ˈɪ	ˈʊ	0.118
ˈɪ	ˈai̯	0.118
ˈɪ	-	0.118
#>	s_#>	0.118
#>	k_#>	0.118
w	-	0.111
n	n_ˈɔː	0.107
t	-	0.097
ɑ	-	0.091
r	ˈa_ʀ	0.074
n	ˈɒ_n	0.071
r	ˈœ_ʀ	0.056
