Bokmål Norwegian	East Franconian	probability
ˈʊ	-	1.0
ˈɪ	ˈɪ	1.0
ˈɑː	ˈɒ	1.0
ˈɑ_nː	ˈoː	1.0
ˈœʏ̯	ˈaː	1.0
ˈæ	-	1.0
ʈː	ɐ_ʦ	1.0
ʂ	ʃ	1.0
ɾ_ɡ	ɐ_ç	1.0
ɾ_ə	ɐ	1.0
ɪ	ɪ	1.0
ɡː	ɡ̊_n	1.0
ɡ_ə	ŋ	1.0
ɡ	ɡ̊	1.0
ə_ɾ	ɐ	1.0
ə_n	eː	1.0
ŋː	ŋ	1.0
ç	kʰ	1.0
tʰ	ʦ	1.0
t_ə	z̥_n	1.0
t	d̥	1.0
sː	-	1.0
s_ə	z̥	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
pː	f	1.0
pʰ	b̥͡v̥	1.0
p	f	1.0
mː	m	1.0
m	m	1.0
l_ʋ	l_f	1.0
l	l	1.0
kː	-	1.0
kʰ	kʰ	1.0
k_ˈɑ	ˈa	1.0
k_ə	n	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
d	d̥	0.905
ˈoː	ˈoː	0.864
ˈɑ	ˈɒ	0.824
ʋ	v	0.792
ˈʉ	ˈʊ	0.771
ˈʉː	ˈaʊ̯	0.767
ˈʏ	ˈɪ	0.762
ˈæɪ̯	ˈaː	0.728
lː	l	0.688
ˈyː	ˈiː	0.656
ˈɔ	ˈʊ	0.651
ˈœ	-	0.584
nː	n	0.573
ˈæː	-	0.572
ˈɛ	ˈɛ	0.568
s	s	0.556
ˈiː	ˈaɪ̯	0.543
k	x	0.519
ɳ	ɐ	0.508
j	-	0.507
n	n	0.501
ɳ	ɐ_n	0.492
ɾ	ɐ	0.46
ˈæː	ɾ	0.428
ˈuː	ˈuː	0.428
nː	n_d̥	0.427
ə	-	0.423
ˈeː	-	0.394
ɾ	r	0.38
ˈɔ	ˈɒ	0.349
s	ʃ	0.345
ˈyː	ˈaɪ̯	0.344
j	h	0.339
tː	s	0.327
ˈeː	ˈaː	0.32
lː	l_d̥	0.312
ˈuː	ˈɔ	0.3
n	-	0.3
ˈeː	ˈiː	0.286
tː	ʦ	0.276
ˈøː	-	0.275
ə	a	0.267
k	ç	0.242
k	-	0.239
ˈʏ	ˈʊ	0.238
ˈœ	ˈɔ	0.236
ˈʉː	-	0.233
ə	n	0.23
ˈʉ	ˈɔ	0.229
tː	ç_d̥	0.221
ˈiː	ˈiː	0.219
ˈæɪ̯	ˈeː	0.21
ˈuː	-	0.205
ˈøː	ˈuː_d̥	0.203
ˈøː	ˈuː	0.201
ˈɛ	ˈaː	0.197
ˈœ	ˈiː	0.18
ˈɑ	ˈɔ	0.176
tː	x_d̥	0.175
ˈøː	ˈaː	0.166
j	ˈɛ	0.154
ʋ	m	0.14
ˈɛ	ˈaɪ̯	0.137
ˈoː	ˈɒ	0.136
ˈiː	ˈaɪ̯_d̥	0.119
ˈiː	-	0.119
n	n_ˈoː	0.1
s	d̥	0.099
n	ŋ	0.099
ˈɛ	ˈɪ	0.098
d	-	0.095
ɾ	ɐ_d̥	0.086
ˈøː	ˈiː	0.085
ˈøː	ˈɘ	0.07
ʋ	-	0.068
ˈuː	ˈaː	0.067
ˈæɪ̯	ɣ	0.062
