Swabian	North Frisian	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#	1.0
<#_kʰ	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_s	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_r	1.0
<#_ʦ	<#_t	1.0
a_#>	ə_#>	1.0
b_a	v_ə	1.0
e	-	1.0
f	v_ə_n	1.0
f_a	p_ə	1.0
l_#>	l_#>	1.0
m	ə	1.0
m_#>	m_#>	1.0
m_a	m_ə	1.0
n	n	1.0
n_#>	n_#>	1.0
s_ʌ	d_ə_r	1.0
t_#>	d_#>	1.0
x	k	1.0
x_#>	k	1.0
x_d	x_t	1.0
ç_#>	k_#>	1.0
ç_d	x_t	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ɡ_#>	#>	1.0
ʁ	r	1.0
ʃ_#>	ʃ_#>	1.0
ʃ_d	s_t	1.0
ʌ_#>	r_#>	1.0
ʕ	r	1.0
ʕ_#>	r_#>	1.0
ʦ	t	1.0
ʦ_#>	t_#>	1.0
ˈa_l	ˈuː_l	1.0
ˈae̯_#>	ˈiː_#>	1.0
ˈe	ˈeː	1.0
ˈeə̯	n	1.0
ˈi	ˈa	1.0
ˈi_l	ˈi_l	1.0
ˈiə̯	ˈiː	1.0
ˈiə̯_s	ˈɛ_tʲ	1.0
ˈiː	ˈiː	1.0
ˈo_l	ˈʊ_l	1.0
ˈoː	ˈuː	1.0
ˈoː_d	ˈyː_dʲ	1.0
ˈu	-	1.0
ˈɔe̯	ˈiː	1.0
ˈɔe̯_#>	ˈiː_nʲ_#>	1.0
ˈəi̯	ˈi	1.0
ˈəi̯_s	ˈi_t	1.0
ˈɛː	ˈɛi̯	1.0
l	l	0.81
ˈeː	ˈiː	0.571
ˈɛ	ˈɛː	0.231
<#_l	<#_j	0.2
<#_ʋ	<#	0.222
s_#>	#>	0.222
ˈo	-	0.222
<#_d	<#_t	0.333
<#_d	<#_d	0.593
<#_ˈa	<#_ˈɒː	0.333
a	-	0.333
ɡ	-	0.133
ɡ	d	0.133
ˈao̯	ˈuː	0.333
ˈuə̯	ˈɛ	0.333
<#_d	<#	0.074
<#_ʃ	<#_ʃ	0.364
d	t	0.4
f_#>	p_#>	0.714
ˈa	ˈʊ	0.294
ˈae̯	ˈi	0.4
ˈao̯	ˈyː	0.4
ˈɔː	ˈɛː	0.4
ˈɛ	ˈa	0.154
ˈɛ	ˈiː	0.154
ˈɛ	j_ˈa	0.154
d_#>	d_#>	0.375
d_#>	#>	0.625
s	z	0.375
s	tʲ	0.625
ʋ	-	0.25
ʋ	v	0.75
ˈa	ˈɒ	0.235
ˈaː	ˈɒː_z	0.5
ˈaː	-	0.5
ˈɔ	ˈɔː	0.5
ˈɔ	ˈɔ	0.5
<#_ʃ	<#_s	0.636
b	f	0.286
b	ə	0.286
d	d	0.6
f_#>	v_#>	0.286
n_d	nʲ	0.286
n_d	n_ə	0.286
ˈa	ˈɒː	0.176
ˈa	ˈœ	0.176
ˈae̯	ˈyː	0.6
ˈɔː	ˈɔː	0.6
<#_ˈa	<#	0.667
a	ə_n	0.667
ɡ	k	0.267
ɡ	j	0.467
ˈao̯	ˈøː	0.267
ˈuə̯	ˈœ	0.667
<#_l	<#_l	0.8
<#_ʋ	<#_v	0.778
s_#>	s_#>	0.778
ˈa	ˈeː	0.118
ˈo	ˈʊ	0.778
ˈɛ	ˈeː	0.308
b	ə_v	0.429
l	lʲ	0.19
n_d	n	0.429
ˈeː	ˈi_n	0.429
