Swabian	Old Norse	probability
a	ɑ	0.71
a	a	0.126
a	-	0.092
b	b	0.67
b	v	0.251
b̥͡f	p	1.0
d	ð	0.351
d	d	0.338
d	θ	0.158
d	-	0.089
d	t	0.058
e	-	0.785
e	r	0.215
eə̯	ɑː	1.0
f	f	0.602
f	p	0.221
f	v	0.105
h	h	0.911
h	ç	0.089
i	u	1.0
j	-	1.0
kʰ	kʰ	0.876
kʰ	cʰ	0.076
l	l	0.831
l	lː	0.079
l	l̥	0.054
m	m	0.759
m	v	0.145
m	mː	0.061
n	n	0.692
n	-	0.144
n	nː	0.106
n	u	0.059
p͡f	v	1.0
s	s	0.58
s	t	0.319
t	ð	1.0
x	tː	0.449
x	r	0.242
x	k	0.177
x	j	0.086
ç	k	0.642
ç	s	0.259
ç	tː	0.099
ŋ	ŋ	1.0
ɐ	u	1.0
ə	ɑ	1.0
ɡ	ɡ	0.41
ɡ	ɣ	0.282
ɡ	ɟ	0.076
ɡ	ʝː	0.061
ɪ	ɑ	1.0
ʁ	r	0.837
ʁ	r̥	0.057
ʃ	s	0.971
ʋ	v	0.648
ʋ	-	0.226
ʋ	ˈu	0.071
ʋ	w	0.055
ʌ	i	0.323
ʌ	r	0.299
ʌ	rː	0.182
ʌ	ɡ_r	0.085
ʌ	r_i	0.072
ʕ	r	1.0
ʦ	tʰ	0.599
ʦ	t	0.267
ʦ	tː	0.133
ˈa	ˈɑ	0.715
ˈa	ˈa	0.081
ˈa	-	0.076
ˈae̯	ˈiː	0.365
ˈae̯	ˈɑː	0.149
ˈae̯	ˈe	0.143
ˈae̯	ˈɛ	0.112
ˈae̯	ˈøy̯	0.109
ˈae̯	ˈu	0.073
ˈao̯	ˈuː	0.53
ˈao̯	ˈɑu̯	0.236
ˈao̯	ˈɑː	0.072
ˈao̯	ˈu	0.055
ˈaː	ˈɑ	0.369
ˈaː	ˈe	0.252
ˈaː	ˈɑː	0.191
ˈaː	ˈɔ	0.189
ˈe	ˈi	0.717
ˈe	ˈiː	0.087
ˈe	ˈo	0.066
ˈe	ˈe	0.066
ˈe	ˈɑ	0.064
ˈeə̯	u	0.397
ˈeə̯	ˈøː	0.397
ˈeə̯	ˈu	0.205
ˈeː	ˈøy̯	0.211
ˈeː	ˈo	0.206
ˈeː	ˈi	0.166
ˈeː	j	0.143
ˈeː	ˈe	0.109
ˈeː	ˈɑː	0.104
ˈeː	ˈɛː	0.062
ˈi	ˈi	0.371
ˈi	ˈoː	0.163
ˈi	ˈɔ	0.124
ˈi	ˈy	0.107
ˈi	ˈeː	0.094
ˈi	-	0.094
ˈiə̯	j	0.547
ˈiə̯	ˈoː	0.232
ˈiə̯	ˈøː	0.221
ˈiː	j	0.69
ˈiː	ˈeː	0.222
ˈiː	ˈyː	0.087
ˈo	ˈu	0.703
ˈo	ˈo	0.131
ˈo	ˈɑː	0.095
ˈoː	ˈo	0.263
ˈoː	ˈɑu̯	0.188
ˈoː	ˈu	0.118
ˈoː	ˈɑː	0.118
ˈoː	ˈøy̯	0.092
ˈoː	ˈɑ	0.077
ˈoː	ˈeː	0.058
ˈu	ˈy	0.413
ˈu	ˈɒu̯	0.272
ˈu	ˈu	0.163
ˈu	ˈoː	0.152
ˈuə̯	ˈoː	0.67
ˈuə̯	ˈøː	0.271
ˈuə̯	ˈyː	0.059
ˈuː	ˈoː	0.5
ˈuː	ˈuː	0.5
ˈɔ	ˈu	0.405
ˈɔ	ˈy	0.267
ˈɔ	ˈo	0.158
ˈɔ	ˈɔ	0.104
ˈɔ	ˈoː	0.065
ˈɔe̯	ˈɛi̯	0.909
ˈɔe̯	ˈɛ	0.091
ˈɔə̯	ˈɔː	1.0
ˈɔː	ˈɑ	0.355
ˈɔː	ˈɑː	0.218
ˈɔː	ˈa	0.169
ˈɔː	ˈo	0.132
ˈɔː	ˈɛ	0.126
ˈəi̯	ˈiː	0.675
ˈəi̯	ˈyː	0.16
ˈəi̯	ˈeː	0.129
ˈɛ	ˈe	0.221
ˈɛ	ˈɛ	0.201
ˈɛ	ˈɑ	0.142
ˈɛ	ˈi	0.126
ˈɛ	ˈøː	0.095
ˈɛ	j_ˈɑ	0.08
ˈɛː	ˈe	0.455
ˈɛː	j_ˈɔ	0.328
ˈɛː	ˈi	0.217
ˈɪ	ˈy	0.402
ˈɪ	ˈi	0.289
ˈɪ	ˈe	0.134
ˈɪ	ˈøː	0.092
ˈɪ	ˈyː	0.084
ˈʌ	ˈɛ	0.678
ˈʌ	j	0.322
