Sicilian	Sicilian	probability
ˈɛ_tː	ˈi_t	1.0
ˈɛ_n	ˈe_n	1.0
ˈu_ɕ	ˈæ	1.0
ˈu_tː	ˈo_t	1.0
ˈi_ɾ	ˈæ_w	1.0
ˈe	ˈɛ	1.0
ˈa_ʈ	ˈa_ɾ	1.0
ˈa_n_ʊ_#>	ˈa_#>	1.0
ˈa_#>	ˈa_t_#>	1.0
ʧː	-	1.0
ʦː_ʊ	w	1.0
ʐː	-	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʈ	ɾ	1.0
ʃ	e_s	1.0
ɾ_ʊ	ɾ_ɜ	1.0
ɾ_ɪ_#>	r_#>	1.0
ɽ_ɪ_#>	e_#>	1.0
ɽ	-	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_r	ˈi_r	1.0
ɟ	ɡ	1.0
ɖː_ʊ_#>	ʎ_#>	1.0
ɕ_ɪ_#>	#>	1.0
ɕ_ɪ	w	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
ç	f_l	1.0
z	-	1.0
v_ʊ	w	1.0
v_ɪ	w	1.0
t_ɪ_#>	#>	1.0
sː	s	1.0
s	s	1.0
p_ʊ_#>	p_#>	1.0
o	o	1.0
n_ʊ_#>	#>	1.0
n_ɪ_#>	#>	1.0
n_ɕ	ɲ	1.0
mː	m	1.0
m	m	1.0
l_ˈi	ʎ_ˈe	1.0
l_ʊ_#>	l_#>	1.0
l	l	1.0
kː	k	1.0
i_ɾ	ɾ	1.0
fː	f	1.0
f	f	1.0
dː	t	1.0
cː	ʎ	1.0
c	p_l	1.0
bː	w	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#	<#_ɡ	1.0
n	n	0.931
ɪ_#>	#>	0.905
v	v	0.893
ˈa	ˈa	0.891
ɟː	ʎ	0.875
k	k	0.864
b	b	0.846
d	d	0.8
ˈɔ	ˈɒ	0.759
p	p	0.75
<#_ˈɔ	<#_ˈɒ	0.75
#>	s_#>	0.714
t	t	0.703
ʤ	ʤ	0.667
ʊ	-	0.667
ʃː	ʃ	0.667
ɖː	ʎ	0.667
u	o	0.667
nː	n	0.667
r	r	0.64
ˈo	ˈɒ	0.6
ɡ	ɡ	0.583
ɪ_ɾ	ɾ	0.571
<#_a	<#_a	0.571
w	w	0.538
ɾ	ɾ	0.536
ˈɛ	ˈe	0.529
ˈu	ˈu	0.525
ˈu_ɾ	ˈo_r	0.5
ˈu_ɾ	ˈo	0.5
tː	t	0.5
j	ʤ	0.5
ˈi	ˈi	0.447
ɪ_ɾ	d_ɾ	0.429
i	e	0.429
<#_a	<#_o	0.429
ˈo	ˈo	0.4
a	ɐ	0.4
ˈi	ˈæ	0.383
ˈɛ	ˈæ	0.382
j	-	0.375
ɪ	e	0.37
ʤ	-	0.333
ʊ	e	0.333
ʃː	-	0.333
ɖː	l	0.333
u	u	0.333
nː	ɲ	0.333
i	i	0.333
w	l	0.308
t	ð	0.297
a	ɜ	0.287
ɾ	r	0.286
#>	l_t_ɾ_e_s_#>	0.286
r	ɾ	0.28
ˈu	ˈo	0.275
ɡ	ɣ	0.25
tː	ˈi_t	0.25
tː	j_t	0.25
<#_ˈɔ	<#_ˈu	0.25
i	-	0.238
p	β	0.2
d	t	0.2
ɪ	ɜ	0.185
ɾ	-	0.179
ɡ	k	0.167
w	-	0.154
b	-	0.154
a	ɞ	0.15
ɪ	w	0.148
ɪ	-	0.148
ˈɔ	-	0.138
ˈi	ˈe	0.128
ˈu	ˈɒ	0.125
ɟː	ɫː	0.125
j	z_ˈa	0.125
a	a	0.125
v	-	0.107
ˈɔ	ˈu	0.103
ɪ_#>	s_#>	0.095
ˈɛ	ˈi	0.088
r	-	0.08
ˈa	ˈe	0.078
ˈu	o	0.075
ɪ	ˈi	0.074
ɪ	r	0.074
n	-	0.069
k	ɣ	0.068
k	-	0.068
