Fuzhounese	Fuzhounese	probability
⁵⁵	⁵⁵	1.0
⁵³	²¹	1.0
⁵	²	1.0
ʦʰ_j	s	1.0
ɥ_ʔ	k̚	1.0
ɥ_ŋ	ŋ	1.0
ɥ	-	1.0
ɑ_ŋ	ɔː_n	1.0
ŋ_o	ŋ̍	1.0
ø	ʊ	1.0
²¹³	³³	1.0
w_ŋ	ŋ	1.0
w_o	yː	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p_w	f	1.0
o_ŋ	n	1.0
m	m	1.0
l̃	l	1.0
j_ʔ	ɐ_t̚	1.0
j_ŋ	ŋ	1.0
j_a	ɛː	1.0
e	iː	1.0
a_ŋ	n	1.0
a_w	ɐ_w	1.0
a_j	ɔː_j	1.0
<#_ʦ	<#	1.0
<#_ŋ	<#_ŋ	1.0
<#_i	<#_j_ɐ	1.0
²⁴²	²²	0.786
ʦ	ʦ	0.778
kʰ	h	0.75
j_e	iː	0.7
³³	³⁵	0.69
ʦʰ	ʦʰ	0.667
<#	<#_h	0.667
j	j	0.647
a	aː	0.647
ʔ	k̚	0.636
k	k	0.625
ɑ	aː	0.6
²⁴	³	0.556
<#_nˡ	<#_n	0.556
ɔ	-	0.5
y	ʊ	0.5
y	ɵ_ɥ	0.5
i	iː	0.5
h_w	w	0.5
h_w	f	0.5
ŋ	n	0.463
t	t	0.455
p	p	0.455
²⁴	⁵	0.444
h	h	0.4
h	f	0.4
ŋ	ŋ	0.39
u	ɐ	0.385
o	ɔː	0.385
ʔ	t̚	0.364
w	w	0.353
ʦʰ	ʧʰ	0.333
ɛ	j	0.333
<#	<#_j	0.333
w	-	0.324
³³	¹³	0.31
j_e	ɐ	0.3
i	ɐ	0.3
p	pʰ	0.273
p	f	0.273
ɛ	e	0.25
ɛ	-	0.25
ɔ	œː	0.25
ɔ	aː	0.25
kʰ	f	0.25
j	-	0.235
a	ɪ	0.235
ʦ	s	0.222
<#_nˡ	<#_j	0.222
<#_nˡ	<#	0.222
²⁴²	¹³	0.214
ɑ	ɔː	0.2
ɑ	-	0.2
i	e	0.2
h	w	0.2
o	-	0.192
k	kʰ	0.188
t	ʧ	0.182
t	ʦʰ	0.182
t	ʦ	0.182
ɛ	ɐ_j	0.167
u	ɔː	0.154
u	uː	0.154
u	e	0.154
u	-	0.154
o	o_w	0.154
ŋ	m	0.146
k	kʷ	0.125
w	ɐ	0.118
j	iː	0.118
a	ɐ	0.118
o	œː	0.115
w	uː	0.088
o	ʊ	0.077
o	yː	0.077
k	kʷʰ	0.062
w	ɔː	0.059
w	yː	0.059
