Aragonese	Neapolitan	probability
d	d	1.0
f	f	1.0
i	i	1.0
ŋ	ŋ	1.0
ʃ	ʃː	1.0
ʝ	-	1.0
e	i	0.211
l	-	0.061
l	l	0.611
r	rː	0.281
r	r	0.451
ɣ	ɡ	0.191
ɲ	ɲː	0.741
ɾ	-	0.091
ʎ	-	0.131
ʧ	ʤ	0.71
ˈe	ˈɛ	0.281
ˈo	ˈɔ	0.211
b	-	0.052
j	j	0.612
n	n	0.742
s	-	0.172
s	s	0.662
t	t	0.672
w	w	0.882
ʎ	kː_j	0.252
ʎ	lː	0.372
β	p	0.22
p	p	0.953
ɾ	r	0.133
ɾ	ɾ_ə	0.233
ˈe	ˈe	0.183
β	v	0.553
a	ə	0.744
k	k	0.984
ˈa	ˈa	0.914
ˈi	ˈi	0.834
ˈo	ˈo	0.394
e	-	0.065
l	l_ə	0.055
ɡ	-	0.205
ɡ	ɡ	0.795
ʎ	ʎː	0.245
ˈe	ˈi	0.145
ˈo	ˈu	0.395
ˈu	ˈo	0.085
ˈu	ˈu	0.915
θ	ʃ_ə	0.125
θ	ʃ	0.875
e	ə	0.656
s	ʃ	0.166
ð	t	0.96
ɣ	-	0.06
ˈe	ˈɔ	0.216
ˈi	i	0.166
β	-	0.226
e	e	0.067
j	ˈɛ	0.067
n	n_ə	0.157
o	ə	0.937
a	ˈa	0.068
a	a	0.188
l	j	0.208
r	-	0.268
t	tː	0.328
w	-	0.078
ɾ	ɾ	0.518
b	v	0.919
j	-	0.29
m	m	0.969
ɣ	k	0.749
ɲ	nː	0.259
ʧ	j	0.29
