Latvian	Latvian	probability
ʧ	ʧ	1.0
ʦ	k	1.0
ʣ	ʒ	1.0
ʃ	-	1.0
ɲ	n	1.0
ɡ̊_s	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː	i_̂	1.0
æː	-	1.0
æ_d	eː_̂	1.0
æ	-	1.0
z	z	1.0
v_i	ʋ	1.0
v	ʋ	1.0
u_s	d̥	1.0
u	-	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
j	-	1.0
iː	iː	1.0
iɛ̯	iː	1.0
i_s	i	1.0
i_r	r̩_̂	1.0
e	eː_ʦ	1.0
d̥	-	1.0
d	d	1.0
b̥	̂_b̥	1.0
b	b	1.0
aː	-	1.0
au̯	uː	1.0
ai̯	-	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_a	<#_o	1.0
#>	̂_#>	1.0
i	-	0.833
m	m	0.818
a	a	0.688
n	n	0.615
l	l	0.588
ɛ	e	0.545
uː	iː_̌	0.5
uː	-	0.5
uɔ̯	uː	0.5
uɔ̯	-	0.5
k	k	0.5
t	t	0.429
n	-	0.385
s	-	0.375
t	-	0.357
s	s	0.312
a	-	0.312
ɛ	e_̂	0.273
k	c	0.25
k	-	0.25
t	t_i	0.214
s	oː_̂	0.188
ɛ	a	0.182
m	-	0.182
l	-	0.176
i	a	0.167
s	d̥	0.125
l	uː_̌	0.118
l	uː	0.118
