Polish	Kashubian	probability
ˈɨ	ˈə	1.0
ˈɛ_ɕ	ˈɛ_s	1.0
ˈɛ_w̃	ˈa_ŋ	1.0
ˈɔ_ʐ	u̯ˈɛ_ʐ	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈa_t	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʨ_#>	ʦ_#>	1.0
ʦ_#>	ʦ_#>	1.0
ʦ	ʦ	1.0
ʥ	ʣ	1.0
ʑ_ˈɔ	z	1.0
ʐ_ˈɛ	ʐ_ˈe	1.0
ʈ͡ʂ	ʧ	1.0
ʂ	ʃ	1.0
ɲ_#>	ɲ_#>	1.0
ɲ	-	1.0
ɨ_#>	i_#>	1.0
ɛ_ɲ	a_ŋ	1.0
ɛ_m	m_ə	1.0
ɛ_#>	ɛ_#>	1.0
ɕ	s	1.0
z	z	1.0
x	x	1.0
w_ˈɔ	w_ˈɔ	1.0
w	w	1.0
v	v	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
j_ˈa	j_ˈɞ	1.0
j	j	1.0
i_#>	i_#>	1.0
f_#>	f_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_#>	a_#>	1.0
<#_ˈɔ	<#_u̯ˈɛ	1.0
<#_ˈu	<#_w_ˈʉ	1.0
<#_ʨ	<#_ʦ	1.0
<#_ʥ	<#_ʣ	1.0
<#_ʑ	<#_z	1.0
<#_ʐ	<#_ʒ	1.0
<#_ʈ͡ʂ	<#_ʧ	1.0
<#_ʂ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɕ	<#_s	1.0
<#_x	<#_x	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
k	k	0.714
ɔ_#>	ɔ_#>	0.636
ˈɛ	ˈɛ	0.632
ɡ	ɡ	0.6
ˈa	ˈa	0.545
ˈɔ	ˈɔ	0.538
ɔ	u̯ˈɛ	0.5
ɔ	-	0.5
ˈa	ˈɞ	0.455
ɡ	ʤ	0.4
ɛ	ɛ	0.364
ɔ_#>	u̯ɛ_#>	0.364
ˈɔ	u̯ˈɛ	0.308
k	ʧ	0.286
ɛ	e	0.273
ɛ	n	0.182
ɛ	-	0.182
ˈɛ	ˈe	0.158
ˈɔ	ˈõ	0.154
ˈɛ	ˈɞ	0.105
ˈɛ	ˈa	0.105
