Sichuanese	Sichuanese	probability
ʦʰ	ʦʰ	1.0
ɚ	i	1.0
ə_n	a_ŋ	1.0
ɕ	ɕ	1.0
²¹³	⁵³	1.0
z	ɲ	1.0
y	i	1.0
w_⁵³	³¹	1.0
w_a	ɔ	1.0
v	ʋ	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ_y	n̩	1.0
nʲ	ɲ	1.0
m	m	1.0
k	k	1.0
j_ə	i	1.0
j_a	a	1.0
e	-	1.0
<#_ɕ	<#	1.0
⁵⁵	⁴⁴	0.941
j	j	0.9
w	w	0.889
i	i	0.867
ŋ	ŋ	0.864
⁵³	³¹	0.846
ə	u	0.7
ʨ	c	0.667
f	f	0.667
n	n	0.643
x	h	0.625
t	tʰ	0.6
kʰ	kʰ	0.6
a	a	0.6
<#_w	<#_ʋ	0.6
²¹	¹¹	0.564
o	ʊ	0.533
ʦ	ʦ	0.5
ɥ	j_ɛ	0.5
ɥ	j	0.5
ɛ	a	0.455
z̩	i	0.444
ʨʰ	ʨʰ	0.429
u	u	0.417
t	t	0.4
kʰ	h	0.4
<#_w	<#	0.4
x	f	0.375
ɛ	ɛ_t̚	0.364
ʨ	k	0.333
z̩	z̩	0.333
u	ʊ_k̚	0.333
f	p	0.333
ə	e	0.3
ʨʰ	ç	0.286
ʨʰ	cʰ	0.286
o	o	0.267
a	ɔ	0.267
u	u_t̚	0.25
²¹	¹	0.236
z̩	-	0.222
ʦ	t	0.2
ʦ	-	0.2
o	ɔ_k̚	0.2
ɛ	a_k̚	0.182
⁵³	⁴⁴	0.154
n	m	0.143
ŋ	-	0.136
i	j	0.133
a	o	0.133
n	l	0.119
w	-	0.111
²¹	⁵	0.109
ʦ	ʨ	0.1
j	i	0.1
²¹	t̚_¹	0.091
⁵⁵	⁵³	0.059
