Corsican	Bellunese	probability
b	b	1.0
c	ʧ	1.0
f	f	1.0
lː	l	1.0
nː	n	1.0
o	o	1.0
r	r	1.0
rː	r	1.0
s	s	1.0
tː	t	1.0
z	z	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʃ	s	1.0
ʃː	s	1.0
ʎ	j	1.0
ʒ	z	1.0
ʦ	θ	1.0
ʧː	θ	1.0
a	-	0.051
k	k	0.681
n	ŋ	0.221
ˈe	j_ˈe	0.21
a	a	0.912
e	e	0.532
i	e	0.662
l	-	0.122
m	ŋ	0.142
p	v	0.12
ʧ	θ	0.862
ˈɔ	ˈɔ	0.392
e	ˈi_r	0.063
w	w	0.903
ˈa	ˈa	0.83
ˈi	ˈi	0.953
ˈɔ	o	0.093
ˈɛ	ˈe	0.753
e	e_r	0.394
j	j	0.794
t	t	0.734
ɲ	ɲ	0.774
ˈe	ˈe	0.164
ˈo	ˈɔ	0.294
ˈu	ˈo	0.064
kː	r_#>	0.15
kː	k	0.85
u	o	0.95
v	v	0.985
ɟ	z	0.055
ɟ	ð	0.885
ˈɔ	ˈo	0.515
d	d	0.86
j	-	0.206
t	d	0.246
ɟ	j	0.06
ɲ	ŋ	0.226
ˈa	ˈa_r	0.156
ˈo	ˈo	0.706
ˈu	ˈu	0.936
w	-	0.097
ˈe	ˈɛ	0.627
ˈɛ	ˈɛ	0.247
i	i	0.338
l	l	0.878
m	m	0.858
p	p	0.88
ʧ	z	0.138
d	-	0.119
k	ɡ	0.279
n	n	0.779
