Old West Norse	Gothic	probability
ˈɛi̯	ˈɛː	1.0
ˈɛ	ˈa	1.0
ˈɔː	ˈoː	1.0
ˈɒu̯	ˈɔː	1.0
ˈɑ_l	l	1.0
ˈɑ	ˈa	1.0
ˈøː	ˈoː	1.0
ˈøy̯_r	ˈɔː_s	1.0
ˈyː	ˈiu̯	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈoː_r̥	w_s	1.0
ˈi	ˈi	1.0
ˈeː	-	1.0
ˈa	ˈa	1.0
ʦ	ð	1.0
ɾ	-	1.0
ɡː	d_a	1.0
ɟː	ɣ	1.0
ŋ	ŋ	1.0
ð_r̥	θ_s	1.0
x_w	ʍ	1.0
tː	t	1.0
tʰ	t	1.0
t	t	1.0
sː	ŋ_k	1.0
s	s	1.0
r_n	r_n	1.0
r	r	1.0
pː	ˈiu̯_p	1.0
p	p	1.0
mː	m_f	1.0
m	m	1.0
l̥	h_l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ_ˈoː	kʷ	1.0
k	k	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈiu̯	1.0
i_r̥	a_r	1.0
h	h	1.0
f	f	1.0
e	i	1.0
cʰ	k_ˈa	1.0
c	k	1.0
b	b	1.0
n	n	0.958
d	d	0.932
ɡ	ɡ	0.908
ˈiː	ˈiː	0.84
r̥	s	0.787
j	-	0.752
ɟ	ɡ	0.74
i	a	0.736
ˈɑu̯	ˈɔː	0.66
ɑ	a_n	0.6
ˈe	ˈi	0.588
u	u	0.58
ɣ	ɡ	0.579
ˈoː	ˈoː	0.577
ˈo	ˈɔ	0.565
v	w	0.519
lː	l_θ	0.508
ˈɔ	ˈi	0.507
ˈy	ˈi	0.504
ˈy	-	0.496
ˈɑː	ˈeː	0.494
ˈɔ	-	0.493
lː	lː	0.492
ˈo	ˈu	0.435
ˈoː	-	0.423
u	-	0.42
ˈe	-	0.412
a	a	0.4
a	-	0.4
ð	θ	0.396
nː	n_θ	0.389
ð	-	0.379
ˈɑu̯	ˈɔ	0.34
nː	n_s	0.308
nː	nː	0.303
ˈɑː	ˈɔː	0.286
i	iː	0.264
ɟ	ɡʷ	0.26
j	ˈɛː	0.248
ɑ	oː	0.242
ɣ	x	0.229
ð	ð	0.225
ˈɑː	ˈa_h	0.219
v	β	0.207
v	f	0.2
a	ɔː	0.2
ɣ	ɣ	0.192
ˈiː	-	0.16
ɡ	ɡʷː	0.092
ɑ	a	0.081
r̥	iː	0.077
v	-	0.074
r̥	r	0.071
d	-	0.068
ɑ	-	0.057
