Saterland Frisian	Faroese	probability
a	ˈɔːu̯	0.5
a	w	0.5
b	b̥	0.896
b	v	0.054
b	-	0.053
d	-	0.426
d	d̥	0.246
d	d̥_ʊ	0.084
d	tʰ	0.081
d	t	0.075
d_ə	d̥	0.644
d_ə	a	0.236
f	f	0.909
f	v_ʊ	0.053
f	v	0.045
h	h	1.0
j	-	0.453
j	ˈʊ̯iː	0.153
j	ʤ̊	0.133
j	ʧʰ	0.088
j	ˈʏ	0.055
j_ə	a	1.0
k	k	0.46
k	kʰ	0.242
k	ʧ	0.061
k	-	0.061
k	ɡ̊	0.061
l	l	0.744
l	l̥	0.114
l	-	0.072
l	l_ʊ	0.046
l	l̥_ʊ	0.029
m	m	0.656
m	m_ʊ	0.291
m	-	0.048
n	n	0.647
n	nː	0.117
n	-	0.11
n	n_ʊ	0.05
n	n̥	0.047
p	p	0.525
p	tː	0.124
p	ʰp	0.124
p	v	0.124
p_ə	ʰp	1.0
r	ɹ	0.862
r	n̥	0.051
s	s	0.934
s	ʃ	0.033
s	ʧʰ	0.033
s_k	ʃ	1.0
t	t	0.473
t	-	0.239
t	tʰ	0.169
t	ʰt	0.051
t	w	0.033
t_ə	ʰt	0.484
v	v	0.583
v	-	0.209
v	kʰ_v	0.106
v	ʧʰ	0.09
w	v	0.561
w	m	0.425
x	-	0.488
x	ɡ̊_ʊ	0.149
x	ʤ̊	0.124
x	v	0.091
x	v_ʊ	0.086
x_t	ʰtː	1.0
z	s	1.0
ŋ	ŋ	0.879
ŋ	ɲ	0.105
ŋ_k	ʰkː	1.0
ə	a	0.496
ə	-	0.207
ə	ʊ	0.097
ə	ɪ	0.083
ə	ɡ̊_a	0.033
ə_n	n̥	0.638
ə_n	ʊ	0.33
ɣ	ɡ̊	0.491
ɣ	j	0.127
ɣ	-	0.11
ɣ	f	0.073
ɣ	ʧ	0.073
ɪ	ʊ	0.715
ɪ	-	0.194
ɫ	l̥	0.113
ˈa	ˈeː	0.21
ˈa	ˈɔ	0.194
ˈa	ˈøː	0.194
ˈa	ˈɛ	0.108
ˈaː	ˈɛ	0.392
ˈaː	ˈɛːa̯	0.392
ˈaː	ˈai̯	0.121
ˈaːi̯	ˈa	1.0
ˈaːu̯	ˈœ	0.574
ˈaːu̯	ˈʊ̯iː	0.278
ˈeː	ˈai̯	0.22
ˈeː	ˈɔːi̯	0.191
ˈeː	ˈaːi̯	0.152
ˈeː	ˈœ	0.093
ˈeː	ˈeː	0.093
ˈeːu̯	ˈeː	0.484
ˈi	ˈʊ̯iː	0.465
ˈi	ˈeː	0.288
ˈi	ˈɛːa̯	0.097
ˈi	j	0.081
ˈi	ˈɛ	0.05
ˈiː	ˈɪ	0.261
ˈiː	ˈʊ̯iː	0.261
ˈiː	ˈɔ̯aː	0.178
ˈiː	ˈa	0.075
ˈiː	ʊ̯ˈiː	0.075
ˈiːu̯	ˈiː	1.0
ˈoː	ˈɛːi̯	0.426
ˈoː	ˈɔ̯aː	0.114
ˈoː	ˈa	0.107
ˈoː	ˈɔːu̯	0.065
ˈoː	ˈøː	0.065
ˈoːu̯	ˈɔːu̯	0.284
ˈoːu̯	ˈa	0.175
ˈoːu̯	ˈɔ	0.162
ˈoːu̯	ˈɔ̯aː	0.104
ˈoːu̯	ˈœ	0.085
ˈu	ˈʊ	0.66
ˈu	ˈɪ	0.154
ˈuː	ˈʉːu̯	0.366
ˈuː	ˈʊ	0.251
ˈuː	ɹ_ʊ	0.123
ˈuː	w_ɪ	0.075
ˈuː	ˈʊ̯iː	0.071
ˈyː	ˈa	1.0
ˈœː	ˈɔ	0.484
ˈɔ	ˈœ	0.272
ˈɔ	ˈa	0.208
ˈɔ	ˈuː	0.124
ˈɔ	ˈʊ	0.124
ˈɔ	ˈɪ	0.12
ˈɔː	j	0.245
ˈɔː	ˈɔ	0.196
ˈɔː	ˈa	0.171
ˈɔː	ˈɛ	0.167
ˈɔː	ˈɛːa̯	0.126
ˈɔːɪ̯	ˈɛ	0.113
ˈɛ	ˈɛːa̯	0.478
ˈɛ	ˈɔ̯aː	0.136
ˈɛ	ˈœ	0.13
ˈɛ	ˈɛ	0.083
ˈɛ	ˈai̯	0.06
ˈɛɪ̯	ˈøː	0.361
ˈɛɪ̯	ˈɔːu̯	0.095
ˈɛɪ̯	ˈʉːu̯	0.095
ˈɛɪ̯	ˈɔ	0.075
ˈɛɪ̯	ˈɛːa̯	0.074
ˈɛː	ˈɪ	0.372
ˈɛː	ˈɛːa̯	0.186
ˈɛː	-	0.186
ˈɛː	ˈœ	0.124
ˈɛː	ˈa	0.083
ˈɪ	ˈɪ	0.37
ˈɪ	ˈiː	0.199
ˈɪ	ˈɛ	0.147
ˈɪ	ˈa	0.097
ˈɪ	ˈʉːu̯	0.097
ˈʊ	ˈʊ	0.478
ˈʊ	ˈɪ	0.166
ˈʊ	ˈɛːa̯	0.109
ˈʊ	ˈœ	0.084
ˈʊ	ˈʏ	0.08
