Bulgarian	Belarusian	probability
b	b	1.0
f	v	1.0
j	-	1.0
l	lʲ	1.0
lʲ	lʲ	1.0
r	r	1.0
vʲ	vʲ	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ɛ	-	0.141
ɛ	a	0.271
ɫ	ɫ_ɨ	0.101
ɫ	ɫ	0.761
k	x	0.062
ɛ	æ	0.322
ɡ	ɣ	0.702
ˈa	ˈa	0.452
ˈi	ˈi	0.642
d	d	0.483
i	ɨ	0.43
m	m	0.683
o	a	0.803
s	sʲ	0.493
ɐ	-	0.413
ɫ	w	0.053
ˈa	ˈo	0.093
ˈɤ	ˈu	0.153
k	k	0.704
t	ʧ	0.054
x	x	0.864
z	z	0.234
ɐ	e	0.164
ˈɔ	ˈo	0.694
n	nʲ	0.265
p	pʲ	0.205
p	p	0.795
v	v	0.425
v	vʲ	0.575
ɫ	lʲ	0.085
ˈɛ	ˈæ	0.225
ˈɛ	ˈe	0.405
ˈɤ	-	0.055
ˈɤ	ˈɵ	0.145
n	n_ɨ	0.276
n	n	0.46
x	xʲ	0.136
z	zʲ	0.766
ˈa	ˈæ	0.066
ˈɔ	a	0.306
ˈɛ	a	0.156
d	ʣʲ	0.517
i	ˈɨ	0.57
k	k_a	0.07
m	mʲ	0.317
o	ˈo	0.197
s	s	0.507
ˈɛ	ˈɵ	0.077
ˈɛ	ˈo	0.137
ˈɤ	ˈo	0.647
t	ʦʲ	0.408
t	t	0.538
ɐ	a	0.358
ɡ	ɣ_ˈo	0.298
ˈi	ˈɨ	0.358
k	kʲ_i	0.129
ɛ	e	0.239
ˈa	a	0.099
ˈa	ˈe	0.29
