Zeelandic	Old English	probability
ˈɔ_n	ˈuː	1.0
ˈɑu̯	ˈæɑ̯_ɫ	1.0
ˈɑ_n	ˈoː	1.0
ˈoː	ˈo	1.0
ˈiːə̯	ˈeːo̯	1.0
ʋ	w	1.0
ɫ_ə	ɫ	1.0
ɫ_k	ɫ_k	1.0
ɪ	i	1.0
ə_n	n	1.0
x_ə	ʤ	1.0
w	w	1.0
v_ə	v_e	1.0
s_x	ʃ	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iː	iːy̯	1.0
i	i	1.0
b	b	1.0
s	s	0.969
t	t	0.954
n	n	0.907
ɾ	r	0.899
p	p	0.886
z	s	0.874
v	f	0.863
ˈyː	ˈuː	0.85
d̥	d	0.812
ɫ	l	0.767
ˈɪ	ˈi	0.749
ˈøː	ˈu	0.726
d	θ	0.674
ˈɪə̯	ˈɑː	0.669
ˈu	ˈu_ŋ	0.606
ŋ	ŋ	0.606
ˈæi̯	ˈɑː	0.6
ˈʊə̯	ˈæːɑ̯	0.591
ˈɑ	ˈɑ	0.559
k	k	0.53
ˈuː	ˈoː	0.507
ˈɔ	ˈu	0.5
ˈɒː	ˈæɑ̯	0.5
ˈɒː	-	0.5
ˈeː	ˈe	0.494
ˈuː	ˈeː	0.493
k	ʧ	0.433
ˈʏ	ˈu	0.412
ˈæi̯	ˈæː	0.4
ˈiː	ˈeːo̯	0.4
ˈu	ˈoː	0.394
ŋ	ɡ	0.394
ˈi	ˈiː	0.372
ə	ɑ	0.353
ə	e	0.351
ˈʏ	-	0.338
ˈeː	ˈi	0.338
ˈʊə̯	ˈo	0.327
ˈæ	ˈe	0.324
ˈøː	-	0.274
x	ɣ	0.272
ˈi	ˈi	0.271
x	j	0.264
ˈiː	-	0.258
d	d	0.256
ˈʏ	ˈy	0.25
x	x	0.242
ˈɛː	ˈɑ	0.236
ˈæ	ˈeo̯	0.227
ˈæ	-	0.227
ˈɪə̯	ˈe	0.216
ˈɛː	ˈæːɑ̯	0.213
ˈiː	ˈiːy̯	0.213
ˈɑ	ˈæ	0.207
ə	o	0.193
ˈɛː	ˈæː	0.189
d̥	θ	0.188
ˈi	ˈi_ŋ	0.181
ˈæ	ˈæɑ̯	0.177
ˈi	-	0.176
ˈeː	ˈeo̯	0.169
ˈɔ	ˈy	0.159
ˈɑ	ˈæɑ̯	0.153
ˈyː	ˈiː	0.15
ˈɔ	ˈo	0.141
v	v	0.137
ˈɛː	ˈoː	0.136
ˈɔ	-	0.131
ˈiː	ˈeːo̯_w	0.129
ɫ	ɫ	0.127
ˈɪ	ˈy	0.126
ˈɪ	ˈeːo̯	0.126
z	z	0.126
ˈɪə̯	-	0.115
p	pː	0.114
ˈɛː	ˈeo̯	0.11
ɫ	ɫː	0.107
x	ɣ̊	0.104
x	ʤː	0.097
n	nː	0.093
ˈʊə̯	-	0.082
ˈɑ	-	0.08
d	ð	0.07
ˈɔ	r	0.069
ɾ	e	0.066
ˈɛː	ˈæ	0.059
ˈɛː	ˈiːy̯	0.059
