Ukrainian	Lower Sorbian	probability
ˈ	-	1.0
ʧʲ	ʦ	1.0
ʧ	ʦ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʤ	ʦ	1.0
ʒʲ	ʐ	1.0
ʍ	-	1.0
ʋʲ	vʲ	1.0
ʊ	u	1.0
ʃʲ	ʂ	1.0
ʃ	ɕ	1.0
ɦʲ	ɡ	1.0
ɔ_r	r	1.0
zʲ	z	1.0
x	x	1.0
u	u	1.0
t_ɐ	t_a	1.0
t_e	ɕ	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
rʲ	rʲ	1.0
pʲ	pʲ	1.0
mʲ	mʲ	1.0
kʲ	k	1.0
k_e	kʲ	1.0
j_ɑ	ɪ	1.0
j_ɐ	e	1.0
j	i	1.0
i_ˈ	ɔ	1.0
e_j	ɨ	1.0
dʲ	ʑ	1.0
d_ɑ	d_a	1.0
bʲ	bʲ	1.0
a_ˈ	a	1.0
ɑ	a	0.926
n	n	0.893
z	z	0.881
k	k	0.879
ʋ	v	0.865
tʲ	ɕ	0.833
lʲ	l	0.826
b	b	0.772
ɦ	ɡ	0.758
d	d	0.659
m	m	0.637
ɪ	ɨ	0.626
ɐ	a	0.597
ɛ_ˈ	a	0.571
e	ɨ	0.567
r	r	0.56
ɦ_ɔ	ɡ	0.556
nʲ	ɲ	0.539
ɫ	w	0.538
p	p	0.528
w	v	0.517
ɔ	ɔ	0.496
p	pʲ	0.472
ɦ_ɔ	ɛ	0.444
e	-	0.433
ɛ_ˈ	e	0.429
ʒ	ʐ̊	0.386
ʒ	ʐ	0.371
i	ɪ	0.365
m	mʲ	0.363
i	ɛ	0.358
nʲ	n	0.354
ɫ	l	0.353
d	ʑ	0.341
ɪ	i	0.329
ɛ	ɛ	0.319
w	-	0.319
r	rʲ	0.315
ɔ	ɛ	0.294
ɛ	-	0.291
ɛ	ɔ	0.25
ʒ	ʒ	0.243
ɦ	-	0.242
b	-	0.228
ɐ	ɪ	0.22
lʲ	-	0.174
i	e	0.173
tʲ	ʨ	0.167
ɔ	-	0.163
w	f	0.163
ɛ	e	0.14
ʋ	-	0.135
k	-	0.121
z	-	0.119
n	ɲ	0.107
nʲ	nʲ	0.106
i	-	0.104
ɐ	ɛ	0.095
ɐ	-	0.088
ɑ	ɛ	0.074
r	ʂ	0.07
ɫ	d_w	0.064
r	ɕ	0.055
