Standard Croatian	Upper Sorbian	probability
̌	-	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ_j	ɥ	1.0
ʋ_eː	ɥ_a	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ	ɦ	1.0
x	x	1.0
t_oː	t_ɔ	1.0
t_i	ʨ	1.0
t_a	t_a	1.0
s	s	1.0
r̩	ʀʲ	1.0
o_̂	o	1.0
m_j	mʲ	1.0
l_j	l	1.0
l_aː	w_o	1.0
l_a	w_a	1.0
j_eː	e	1.0
j	-	1.0
i_̂	ɪ	1.0
e_̌	ɛ	1.0
e_̂	e	1.0
aː_̂	a	1.0
aː	ɔ	1.0
a_̂	ɔ	1.0
a_r	ʀ_ɪ	1.0
z	z	0.881
o	ɔ	0.873
n	n	0.781
b	b	0.757
m	m	0.75
k	k	0.74
uː	u	0.733
t	t	0.718
oː	o	0.686
ʒ	ʒ	0.674
d	d	0.669
a	a	0.597
r̩ː	ɔ_ʀ	0.585
p	p	0.581
l	l	0.564
u	u	0.562
iː	ɪ	0.557
i	i	0.557
r	ʀ	0.542
ʋ	w	0.506
iː_̂	ɪ	0.503
iː_̂	i	0.497
iː	i	0.443
u	w	0.438
p	pʲ	0.419
r̩ː	ʀ	0.415
ʋ	ɥ	0.389
e	ɛ	0.381
r	ʀʲ	0.374
e	-	0.355
l	w	0.349
ʒ	ʒ̊	0.326
eː	ɔ	0.32
oː	ɔ	0.314
i	-	0.31
eː	ɛ	0.291
t	ʨ	0.282
e	ɔ	0.265
d	ʥ	0.256
m	mʲ	0.25
b	bʲ	0.243
a	-	0.229
n	ɲ	0.219
k	-	0.192
uː	w	0.172
eː	a	0.137
i	ɪ	0.132
eː	e	0.126
eː	-	0.126
z	-	0.119
ʋ	-	0.106
a	ɔ	0.099
uː	-	0.095
o	w	0.095
l	d_w	0.086
r	ʃ	0.085
d	-	0.075
k	i	0.069
