Čakavian	Belarusian	probability
ʧ	ʧ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɡ̊	x	1.0
ɡ	ɣ	1.0
z_a	z̥	1.0
u	-	1.0
t_o	t_a	1.0
r̩	ˈɵ_r	1.0
r̩̂	r	1.0
p_ǔː	p	1.0
ôː	ˈo	1.0
o	a	1.0
k	k	1.0
j	j	1.0
ǐ	ˈi_ʣʲ	1.0
iː	-	1.0
ěː	ˈɵ	1.0
eː	æ	1.0
d̥	d̥	1.0
c	ʧ	1.0
b̥	b̥	1.0
aː	a	1.0
a_r	r_ɨ	1.0
a_k	kʲ_i	1.0
r	r	0.873
b	b	0.863
x	x	0.811
â	ˈa	0.773
ô	ˈo	0.721
i	-	0.719
û	v_ˈu	0.667
âː	-	0.662
t	ʦʲ	0.652
n	n	0.647
ǐː	ˈɨ	0.641
p	pʲ	0.633
ʦ	ʦ	0.605
ǎː	ˈo	0.576
s	s	0.57
l	ɫ	0.57
d	d	0.565
m	m	0.546
ê	-	0.544
z	z	0.535
uː	u	0.515
î	ˈe	0.512
uː	ʉ	0.485
z	zʲ	0.465
ʋ	vʲ	0.463
ê	ˈe	0.456
m	mʲ	0.454
îː	ˈɨ	0.452
s	sʲ	0.43
l	lʲ	0.43
ǎː	-	0.424
ʋ	v	0.413
ʦ	-	0.395
e	a	0.39
ûː	ˈu	0.375
a	-	0.368
p	p	0.367
ǐː	-	0.359
d	ʣʲ	0.355
t	t	0.348
âː	a	0.338
û	ɣʲ	0.333
êː	ˈɵ	0.333
êː	ˈæ	0.333
êː	-	0.333
î	ˈɨ	0.324
a	a	0.32
îː	ˈe	0.308
i	ˈi	0.281
ô	a	0.279
e	æ	0.251
ûː	ˈo_w	0.25
ûː	u	0.25
îː	-	0.24
n	nʲ	0.221
e	e	0.201
x	xʲ	0.189
a	e	0.173
î	-	0.164
e	-	0.158
a	ˈa	0.139
b	bʲ	0.137
n	-	0.132
r	r_ɨ	0.127
ûː	ˈʉ	0.124
â	ˈo	0.115
â	ˈæ	0.112
ʋ	-	0.084
d	d̥ʲ	0.08
