Piedmontese	Logudorese	probability
dː	ð	1.0
ʧ	k	1.0
ˈə	ˈi	1.0
b	v	0.171
e	u	0.051
i	i	0.321
i	ŭ	0.421
j	r	0.271
u	-	0.061
u	u	0.061
v	-	0.231
z	ɣ	0.691
ʤ	b	0.181
ˈi	ˈi	0.841
ˈɔ	ˈu	0.061
ˈɔ	ˈe	0.061
j	-	0.32
r	o_r	0.052
w	-	0.752
ŋ	nː	0.072
ʤ	ɡ	0.282
ˈe	ˈe	0.322
ˈø	ˈo	0.902
ˈɔ	ˈo	0.782
b	-	0.083
j	ʣ_u	0.083
l	ɖː	0.23
m	nː	0.073
s	sː	0.063
s	k	0.133
s	s	0.473
z	s	0.093
ə	i	0.453
ɡ	ɡ	0.33
ʤ	-	0.093
ˈy	ˈi	0.23
i	u	0.084
m	-	0.054
p	p	0.904
r	rː	0.084
ŋ	m	0.184
ɲ	nː	0.184
ˈa	ˈa	0.894
ˈu	ˈu	0.384
ˈɛ	ˈe	0.724
f	-	0.115
f	f	0.885
j	r_u	0.085
n	n	0.875
s	ɣ	0.185
t	ð	0.115
w	l	0.095
ŋ	-	0.05
ɡ	b	0.125
ɡ	ɣ	0.545
ˈɔ	-	0.05
ˈɛ	ˈi	0.175
a	e	0.076
e	i	0.106
l	l	0.686
p	b	0.096
w	u	0.066
z	ɡ	0.216
ˈa	-	0.086
ˈu	ˈo	0.616
ˈy	ˈu	0.726
b	b	0.607
d	d	0.517
j	u	0.067
n	ŋ	0.077
t	tː	0.057
v	b	0.497
w	w	0.087
ˈe	ˈa	0.457
ˈɛ	e	0.067
b	β	0.108
e	r_e	0.058
e	e	0.708
i	j	0.128
k	k	0.908
m	m	0.848
r	r	0.728
u	ˈu	0.158
v	β	0.18
ŋ	n	0.678
ə	ˈe	0.248
ɲ	ɲː	0.308
ˈe	ˈi	0.168
ˈi	e	0.088
ˈø	o	0.098
a	a	0.889
d	ð	0.419
t	t	0.799
u	o	0.619
ə	-	0.299
ɲ	n	0.509
ʤ	j	0.419
