Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɘ	r̥	1.0
ˈɒː	ˈaː_c	1.0
ˈɒ_f	ʰp	1.0
ˈoː_s	ˈɛː	1.0
ˈaː_#>	ˈɛi̯_t͡n̥_#>	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈa	1.0
ʃ_d̥	s_t	1.0
ɾ	ð	1.0
ɪ	ɑu̯	1.0
ɣ̊	ˈɪː_k	1.0
ɐ_ʦ	r̥_t	1.0
ɐ_n	r_t͡n̥	1.0
ɐ_m	r_m	1.0
z̥_ɐ	ʰt͡n̥	1.0
z̥	t	1.0
t	t_j	1.0
r	r	1.0
n_s	sː	1.0
n_#>	#>	1.0
j	-	1.0
i	ɡ̊_ʏ	1.0
f_#>	p_ʏ_r̥_#>	1.0
eː	aːu̯	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	v_ʏ_r̥_#>	1.0
b̥	b̥	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.875
v	v	0.818
f	f	0.818
h	h	0.8
ˈaɪ̯	ˈiː	0.75
ˈeː	-	0.667
s	s	0.667
ʃ	s	0.619
ʦ	tʰ	0.6
a	a	0.571
l	l	0.545
ˈuː	ˈoːu̯	0.5
d̥_#>	ʏ_r̥_#>	0.5
d̥_#>	#>	0.5
#>	ʏ_r̥_#>	0.486
ˈɪ	ˈɪ	0.476
ˈaː	ˈɛːi̯	0.467
ɡ̊	-	0.444
ˈɒ	ˈa	0.438
ŋ	ŋ	0.438
d̥	d̥	0.358
ˈeː	ˈɛː	0.333
ç	ɡ̊	0.333
ç	-	0.333
x	k	0.333
x	-	0.333
ˈɛ	ˈɛ	0.318
ˈʊ	ˈʏ	0.312
ˈɒ	ˈɑu̯	0.312
n	n	0.312
n	a	0.312
#>	r̥_#>	0.311
ˈiː	j	0.308
ʃ	s_c	0.286
a	-	0.286
ˈoː	ˈɑːu̯	0.278
ɡ̊	kʰ	0.278
ˈɛ	-	0.273
l	t͡l̥	0.273
d̥	ð	0.269
ˈɔ	ˈɔ	0.267
ˈɔ	-	0.267
ˈaː	ˈœːy̯	0.267
ˈaː	-	0.267
ˈɒ	-	0.25
ˈuː	ˈœːy̯	0.25
ˈuː	-	0.25
ŋ	a	0.25
ˈɪ	-	0.238
ˈoː	ˈaː	0.222
ɐ	r	0.216
ˈɔ	ˈʏ	0.2
ʦ	t	0.2
ʦ	-	0.2
h	ç	0.2
d̥	θ	0.194
ˈiː	j_ˈoːu̯	0.192
ˈɪ	ˈi	0.19
ɐ	ɪ_r̥	0.189
ɐ	r̥	0.189
ˈʊ	ˈɔ	0.188
ˈʊ	ˈu	0.188
ˈʊ	-	0.188
ŋ	-	0.188
l	l̥	0.182
f	p	0.182
ˈoː	-	0.167
ç	x	0.167
ç	k	0.167
x	ˈɔu̯	0.167
x	ʏ	0.167
s	t_ʏ	0.167
ɐ	ʏ	0.162
ˈiː	-	0.154
ˈaɪ̯	-	0.15
n	nː	0.146
a	ɡ̊_a	0.143
ˈɛ	ˈa	0.136
ˈɔ	ˈɪ	0.133
ˈɔ	ˈaː	0.133
ˈʊ	ˈoːu̯	0.125
ŋ	ˈuː_a	0.125
m	v_a	0.125
ˈiː	j_ˈuː	0.115
ˈoː	ˈɔː	0.111
ˈoː	ˈœ	0.111
ˈoː	ˈaːu̯	0.111
ɡ̊	ɟ̊	0.111
ɡ̊	cʰ	0.111
s	t	0.111
ˈaɪ̯	ˈɛ	0.1
ˈɪ	ˈɪː	0.095
ʃ	s_k	0.095
ˈɛ	ˈɛː	0.091
ˈɛ	ˈau̯	0.091
ˈɛ	j_ˈɛ	0.091
v	kʰ_v	0.091
v	-	0.091
ɐ	ˈɛː_r̥	0.081
#>	a_#>	0.081
ˈiː	ˈɪː	0.077
ˈiː	ˈɪ	0.077
ˈiː	ˈaːi̯	0.077
d̥	ʰt	0.075
#>	n_#>	0.068
n	n̥	0.062
ɡ̊	ʰc	0.056
s	s_j	0.056
ɐ	ɡ̊_ʏ	0.054
ɐ	r_ɪ	0.054
ɐ	a_r̥	0.054
