Neapolitan	Neapolitan	probability
ˈɔ_k	ɡ	1.0
ˈu_n	ˈõũ̯	1.0
ˈo_n	ˈõũ̯	1.0
ˈa_t	ˈeə̯_d	1.0
ˈa_p	v	1.0
ˈa_n	ˈʌ̃	1.0
ˈa_kː	ˈa_k	1.0
ˈa_#>	ˈeə̯_#>	1.0
ʧ	z	1.0
ʦː_ə_#>	θ_#>	1.0
ʦ_ə	θ_ɐ	1.0
ʤː	ð	1.0
ʎː	j	1.0
ɾ_ə_#>	#>	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ə_ɾ	r	1.0
ŋ	ŋ	1.0
w_ˈɔ	ˈɔ	1.0
w_ə	v_ɐ	1.0
tː	t	1.0
sː_ə_#>	s_#>	1.0
rː	r	1.0
r	r	1.0
o	-	1.0
mː	m	1.0
m_j	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_j	ʧ	1.0
kː	k	1.0
k_ˈu	k_ˈu	1.0
k_w	k	1.0
j_ˈɛ	ˈɛə̯	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː	d	1.0
d	d	1.0
bː	b	1.0
b_w	b	1.0
b	b	1.0
<#_ˈa	<#_ˈʌ̃	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʤ	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
<#	<#_ð	1.0
ə_#>	#>	0.984
ə	ɐ	0.916
s	s	0.913
p	p	0.867
k	k	0.865
n	n	0.833
t	t	0.824
a	ɐ	0.824
v	v	0.812
ɾ	r	0.78
#>	r_#>	0.778
u	u	0.769
ʤ	ð	0.714
ɲː	ɲ	0.714
i	-	0.615
ˈɔ	ˈɔə̯	0.607
ˈa_ɾ	ˈeə̯_r	0.6
k_j	p_j	0.6
j	-	0.6
ˈo	ˈou̯	0.583
ˈe	ˈɛ	0.5
ʃː	s	0.5
w	-	0.462
ˈi	ˈi	0.444
nː	n_d	0.429
ˈa_ɾ	ˈeə̯_l	0.4
k_j	ʧ	0.4
ʃ	θ	0.393
ˈa	ˈʌ̃	0.387
i	i	0.385
ˈu	ˈo	0.367
ˈe	ˈeː	0.35
ˈu	ˈou̯	0.333
ʃː	-	0.333
ˈi	ˈɛ	0.306
ˈɛ	ˈɛ	0.304
ˈa	ˈeə̯	0.29
ʤ	-	0.286
ɲː	n_ð	0.286
nː	n	0.286
nː	-	0.286
ˈa	ˈa	0.258
ˈo	ˈo	0.25
ʃ	z	0.25
ʃ	s	0.25
w	ˈu	0.231
w	v	0.231
u	-	0.231
#>	ˈɛ_#>	0.222
ˈɛ	ˈɛə̯	0.217
ˈɔ	ˈo	0.214
j	ˈeː_t	0.2
j	j	0.2
v	b	0.188
t	d	0.176
a	a	0.176
ˈo	-	0.167
ˈi	ˈẽ	0.167
ʃː	ˈaː	0.167
k	ɡ	0.135
ˈu	ˈɔ	0.133
ˈɛ	ˈi	0.13
ˈɛ	ˈẽ	0.13
ˈɛ	ˈeː	0.13
ɾ	d	0.122
ˈɔ	-	0.107
ʃ	f_j	0.107
ˈu	ˈu	0.1
ˈe	ˈi	0.1
ɾ	ɐ	0.098
ˈɛ	-	0.087
s	-	0.087
ˈi	-	0.083
w	w	0.077
ˈɔ	ˈɔ	0.071
ˈu	u_j	0.067
p	v	0.067
p	-	0.067
ˈa	-	0.065
n	ˈõũ̯	0.056
n	ɐ_n	0.056
n	j̃	0.056
