Ligurian	Ligurian	probability
ˈɔː_r	ɾ_ˈo	1.0
ˈy	ˈu	1.0
ˈe_j	ˈi	1.0
ˈa	ˈa	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɥ	a_ð	1.0
ɔː	a	1.0
ŋ_a	n_a	1.0
z_u	z_u	1.0
z	ʤ	1.0
v_u	u	1.0
v_e	i	1.0
t_u	u	1.0
t_a	t_a	1.0
sː	β_j	1.0
s_u	s_u	1.0
r_n	r	1.0
p_u	p_u	1.0
p	p	1.0
o	u	1.0
m	m	1.0
l_ˈeː	ˈi_s	1.0
l_ˈe	l_ˈi	1.0
k	k	1.0
j_#>	ĭ_#>	1.0
f	f	1.0
b	b	1.0
a_l	a_l	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʒ	<#_b	1.0
<#_ʃ	<#_f_ɾ	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
ˈaː	ˈa	0.92
u	u	0.903
t	t	0.882
ˈi	ˈi	0.875
a	a	0.8
ˈyː	ˈu	0.75
ŋ	n	0.744
e	i	0.723
ˈɛ	ˈɛ	0.714
d	d	0.684
v	b	0.679
s	s	0.667
n	n	0.636
ˈuː	ˈu	0.615
i	i	0.615
r	ɾ	0.61
#>	i_#>	0.608
ɡ	ɣ	0.588
ˈø	ˈɔ	0.571
ɲ	n_ʤ	0.571
l	l	0.571
ˈøː	ˈo	0.545
ˈɔː	ˈɔ	0.5
ˈɔː	ˈo	0.5
ʧ	p	0.5
ʧ	k_ɾ	0.5
ˈe	ˈɛ	0.483
ˈɛː	-	0.462
ˈøː	ˈɔ	0.455
ˈɔ	ˈo	0.444
ˈø	ˈu	0.429
ˈeː	ˈɛ	0.429
ˈeː	ˈe	0.429
ˈu	ˈu	0.391
ˈɛː	ˈa	0.385
ˈuː	ˈɔ	0.385
n	nː	0.364
ˈɔ	-	0.333
ʤ	ɭː	0.316
w	w	0.312
ˈu	ˈɔ	0.304
ˈu	ˈo	0.304
ˈɛ	-	0.286
ˈiː	ˈi	0.286
ˈiː	ŭ	0.286
ɲ	nː	0.286
#>	u_#>	0.27
ʤ	ɣ	0.263
ʤ	-	0.263
ˈyː	ˈu_ɾ	0.25
l	ɖː	0.25
ˈe	ˈi	0.241
ɡ	ɡ	0.235
i	-	0.231
ˈɔ	ˈu	0.222
j	-	0.222
r	r	0.22
ˈiː	ˈi_ɾ	0.214
ˈiː	i	0.214
d	-	0.211
w	-	0.188
s	ʧ	0.188
v	β	0.179
ɡ	-	0.176
ˈe	ˈe	0.172
j	ɾ	0.167
j	ɛ	0.167
ʤ	ʤ	0.158
ˈɛː	ˈe	0.154
i	ŭ	0.154
ˈeː	ˈe_l	0.143
ɲ	ɲ	0.143
v	-	0.143
ŋ	ŋ	0.14
ˈi	i	0.125
w	ˈɔ_z	0.125
w	ˈɔ	0.125
w	ˈa	0.125
w	z	0.125
t	ð	0.118
j	o	0.111
j	i	0.111
j	e	0.111
j	a	0.111
l	ɭː	0.107
d	ð	0.105
ˈe	-	0.103
r	-	0.098
e	i_n	0.085
e	-	0.085
ˈaː	ˈa_ɾ	0.08
r	ɛ_ɾ	0.073
l	-	0.071
ŋ	-	0.07
#>	ŭ_#>	0.068
e	ɛ	0.064
s	ʦ	0.062
u	-	0.056
a	ɾ_a	0.055
a	ð_a	0.055
a	-	0.055
#>	a_#>	0.054
