Old Norse	Danish	probability
a	ə	0.969
b	b̥	0.972
c	k	0.776
c	-	0.13
c	j	0.094
cʰ	kʰ	1.0
cː	k	1.0
d	d̥	0.514
d	-	0.486
f	f	0.946
f	-	0.054
h	h	0.898
h	-	0.102
i	ɐ	0.45
i	ə	0.297
i	-	0.185
i	e	0.059
j	-	0.524
j	ˈyˀ	0.218
j	j	0.203
j	ˈyː	0.055
k	j	0.424
k	-	0.307
k	k	0.27
kʰ	kʰ	1.0
kː	k	0.968
l	l	0.818
l	lˀ	0.182
lː	l	0.561
lː	lˀ	0.439
l̥	l	1.0
m	m	0.931
m	mˀ	0.067
mː	m	0.5
mː	mˀ	0.5
n	n	0.836
n	nˀ	0.137
nː	n	0.52
nː	nˀ	0.48
p	b̥	0.835
p	p	0.165
pː	p	1.0
r	ɐ	0.539
r	ʁ	0.185
r	-	0.168
r	ɐˀ	0.094
rː	ɐ	0.864
rː	n	0.11
r̥	ʁ	0.815
r̥	h	0.185
s	s	0.959
sː	s	1.0
t	ð̞ˠ	0.742
t	t	0.249
tʰ	ʦʰ	1.0
tː	t	0.983
u	-	0.575
u	ə	0.425
v	ʋ	0.605
v	-	0.185
v	w	0.093
v	wˀ	0.086
w	ʋ	0.81
w	j	0.19
x	-	1.0
ç	j	1.0
ð	ð̞ˠ	0.615
ð	-	0.338
ŋ	ŋˀ	0.488
ŋ	ŋ	0.462
ɑ	ə	0.931
ɑː	-	1.0
ɟ	ɡ̊	0.681
ɟ	-	0.319
ɟː	ɡ̊	1.0
ɡ	-	0.561
ɡ	ɡ̊	0.439
ɡː	ɡ̊	1.0
ɣ	w	0.419
ɣ	-	0.237
ɣ	j	0.232
ɣ	jˀ	0.112
ɾ	ð̞ˠ	1.0
ʝː	-	1.0
ʦ	s	1.0
ˈa	ˈa	0.628
ˈa	ˈaː	0.264
ˈa	ˈɛ	0.108
ˈe	ˈɛ	0.249
ˈe	ˈe	0.151
ˈe	ˈæ	0.123
ˈe	ˈɑː	0.123
ˈe	ˈɑ	0.108
ˈe	ˈɛː	0.075
ˈe	ˈiː	0.054
ˈe	ˈɛˀ	0.054
ˈeː	ˈeˀ	0.36
ˈeː	ˈɛˀ	0.226
ˈeː	ˈi	0.155
ˈeː	ˈa	0.112
ˈeː	ˈɛ	0.099
ˈi	ˈe	0.601
ˈi	ˈœ	0.115
ˈi	ˈɛ	0.115
ˈi	ˈeˀ	0.054
ˈiː	ˈiˀ	0.671
ˈiː	ˈɛˀ	0.179
ˈiː	ˈiː	0.149
ˈo	ˈo	0.545
ˈo	ˈʌ	0.161
ˈo	ˈœ	0.111
ˈo	ˈɔˀ	0.074
ˈo	ˈɒː	0.056
ˈoː	ˈoˀ	0.265
ˈoː	ˈeˀ	0.229
ˈoː	ˈyː	0.131
ˈoː	ˈiː	0.076
ˈoː	ˈoː	0.075
ˈoː	w	0.067
ˈu	ˈɔ	0.439
ˈu	ˈu	0.316
ˈu	ˈʌ	0.063
ˈu	ˈø	0.061
ˈuː	-	0.461
ˈuː	ˈuˀ	0.357
ˈuː	ˈuː	0.091
ˈuː	ˈu	0.068
ˈy	ˈœ	0.619
ˈy	ˈy	0.168
ˈy	ˈø	0.115
ˈy	ˈoˀ	0.077
ˈyː	ˈyˀ	0.654
ˈyː	ˈoˀ	0.181
ˈyː	ˈi	0.071
ˈyː	ˈy	0.051
ˈøy̯	ˈøː	0.509
ˈøy̯	ˈœ	0.372
ˈøy̯	ˈʌˀ	0.118
ˈøː	ˈøː	0.278
ˈøː	ˈœˀ	0.263
ˈøː	ˈœ	0.232
ˈøː	ˈœː	0.226
ˈɑ	ˈa	0.257
ˈɑ	ˈɑˀ	0.182
ˈɑ	ˈɛ	0.166
ˈɑ	ˈɑ	0.117
ˈɑ	ˈæ	0.067
ˈɑ	ˈo	0.051
ˈɑu̯	ˈœˀ	0.677
ˈɑu̯	ˈøː	0.119
ˈɑu̯	w	0.106
ˈɑu̯	ˈʌ	0.098
ˈɑː	ˈɔˀ	0.423
ˈɑː	ˈɔː	0.25
ˈɑː	ˈʌˀ	0.131
ˈɑː	ˈɒˀ	0.083
ˈɑː	ˈeː	0.057
ˈɒu̯	ˈœ	0.711
ˈɒu̯	ˈœˀ	0.186
ˈɒu̯	ˈøː	0.103
ˈɔ	ˈoˀ	0.239
ˈɔ	ˈœˀ	0.239
ˈɔ	ˈʌ	0.139
ˈɔ	ˈœ	0.123
ˈɔ	ˈa	0.091
ˈɔ	ˈeˀ	0.076
ˈɔː	ˈʌ	1.0
ˈɛ	ˈeˀ	0.273
ˈɛ	ˈɑ	0.198
ˈɛ	ˈe	0.19
ˈɛ	ˈɛ	0.137
ˈɛ	ˈeː	0.131
ˈɛi̯	ˈeˀ	0.635
ˈɛi̯	ˈɛˀ	0.231
ˈɛi̯	ˈɛ	0.073
ˈɛi̯	ˈoˀ	0.062
ˈɛː	ˈɛˀ	0.519
ˈɛː	ˈeˀ	0.241
ˈɛː	ˈɒˀ	0.24
θ	ʦʰ	0.85
θ	ʨ	0.117
