Insular North Frisian	Middle High German	probability
ˈɛː	ˈɛ	1.0
ˈœ_d	ɛ	1.0
ˈøː	-	1.0
ˈaɪ̯	ˈei̯	1.0
ʃ	s	1.0
ʁ̥_t	r_t	1.0
ʁ̥	r	1.0
ɣ̥	-	1.0
ɡ	ɡ	1.0
ɐ_n	r_n	1.0
x	x	1.0
v	w	1.0
tʲ	d	1.0
r	r	1.0
pʰ	p͡f	1.0
lʲ	l_d	1.0
kʰ	kʰ	1.0
k_ˈɛ	ˈi	1.0
j	-	1.0
h	h	1.0
e	-	1.0
d	s̻ː	1.0
b	b	1.0
aɪ̯	h_ə	1.0
m	m	0.978
ˈɔː	ˈɑ	0.888
l	l	0.878
ˈa	ˈɑ	0.826
f	v	0.779
n	n	0.702
s	s	0.698
p	f	0.671
ɾ	t	0.637
ɪ	ə	0.614
ˈuː	ˈo	0.606
ð	d	0.585
ˈua̯	ˈoː	0.571
ˈə	ˈi	0.563
tʰ	d	0.562
ɐ	r	0.523
ˈyː	ˈyː	0.514
t	t	0.509
s_k	ʃː	0.504
ˈoː	ˈou̯	0.503
ə_f	f	0.5
ə_f	b̥	0.5
nʲ	n_d̥	0.5
nʲ	n_d	0.5
s_k	ʃ	0.496
ɐ	ə_r	0.477
ə	ə	0.443
tʰ	ʦ	0.438
ˈə	ˈiː	0.437
k	x	0.435
ˈʏ	ˈuː	0.422
ˈeː	-	0.422
ð	t_ə	0.415
ˈɔ	ˈu	0.4
ˈuː	ˈɑ	0.394
ŋ	ŋ_ɡ	0.381
ə	-	0.338
ˈʊ	ˈu	0.325
ç	ɡ	0.32
t	s̻	0.316
s	ʃ	0.302
ç	kː	0.299
ˈɛ	-	0.296
ˈʏ	-	0.293
ˈiː	ˈiː	0.281
ɾ	d̥	0.26
ˈɔ	ˈuə̯	0.257
ɪ	-	0.257
ŋ	ŋ_ɡ̊	0.256
ˈœ	ˈo	0.255
ˈoː	ˈuə̯	0.251
k	xː	0.25
ˈyː	-	0.246
ˈoː	ˈɑ	0.246
ˈʊ	ˈi	0.241
ˈœ	ˈu	0.24
ˈyː	ˈuː	0.24
ŋ	ɡ̊	0.239
ˈiː	ˈei̯	0.235
ˈeː	ˈɑ	0.228
ç	-	0.224
ə	ə_n	0.219
ˈua̯	ˈɑ	0.199
ˈœ	ˈɑ_n	0.197
ˈiː	ˈiə̯	0.185
k	k	0.185
f	b̥	0.18
ˈua̯	-	0.178
ˈa	ˈɛ	0.174
ˈɔ	ˈɛ	0.172
ˈɔ	ˈo	0.172
ˈiː	ˈɛ	0.17
ˈœ	ˈy	0.157
ç	x	0.157
ˈʏ	ˈu	0.156
ˈeː	ˈei̯	0.155
ˈœ	ˈuə̯	0.151
p	p͡f	0.144
ˈɛ	ˈy	0.141
ˈʊ	ˈuə̯	0.137
ˈɛ	ˈi	0.134
ˈʊ	ˈɑ	0.133
ˈɛ	ˈei̯	0.131
ˈʏ	ˈo	0.129
ɪ	i	0.129
k	kː	0.129
ŋ	ŋ	0.124
ˈɛ	ˈɛ	0.123
p	p	0.118
ˈɛ	ˈe	0.113
ˈɔː	ˈɑː	0.112
n	nː	0.104
ɾ	tː	0.103
ˈʊ	ˈei̯	0.102
ˈeː	ˈɛ	0.097
ˈeː	ˈiə̯	0.097
t	ʦ	0.096
ˈiː	ˈɑː	0.095
t	ʦː	0.079
n	d̥	0.07
p	fː	0.066
ˈʊ	ˈo	0.062
ˈɛ	ˈiə̯	0.062
l	l_ˈiə̯	0.059
ˈua̯	ɑː	0.052
