Proto-Slavic	Macedonian	probability
a	a	1.0
aˀ	ˈa	1.0
ǎ	a	1.0
b	b	1.0
ê	ˈɛ	1.0
ẽ	ɛ	1.0
ẽ̂ː	ˈɛ	1.0
ĭˀ	ˈo	1.0
ĭ̂	ˈo	1.0
j	-	1.0
n	n	1.0
ô	ˈo	1.0
ôː	ˈo	1.0
p	p	1.0
s	s	1.0
ûː	ˈu	1.0
ŭ̂	-	1.0
x	f	1.0
z	z	1.0
ɛ	-	1.0
ɛˀ	ˈɛ	1.0
ɛ̂ː	ˈɛ	1.0
ɡ	ɡ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ĭ	ˈa	0.361
ĭ	-	0.481
l	ɫ	0.51
r	r_ˈa	0.071
ɛ̌	ɛ	0.341
r	r	0.542
ŭ	o	0.492
k	-	0.053
o	ˈo	0.423
t	t	0.593
v	v	0.933
ɛː	ˈɛ	0.433
l	l	0.404
ǒ	ˈo	0.84
e	ˈɛ	0.665
i	i	0.265
i	ˈi	0.735
e	ɛ	0.286
ǒ	o	0.16
k	k	0.947
o	o	0.577
r	ˈr̩	0.387
t	-	0.407
v	-	0.067
ɛː	ɛ	0.567
ŭ	-	0.508
d	d	0.979
ĭ	a	0.159
m	m	0.979
ɛ̌	ˈɛ	0.659
