Dutch	Old West Norse	probability
χ_ə	ɣ	1.0
ˈɛ_n	e	1.0
ˈɑ_χ	ˈɑː	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ɾ_ə	r	1.0
ə_ɫ	l_i	1.0
ə_n	ɑ	1.0
ŋ_k	kː	1.0
z̥	sː	1.0
z_ˈɛ	s_ˈe	1.0
z	s	1.0
w	r̥	1.0
s_χ	s_k	1.0
s_ɫ	s_l	1.0
n_d	nː	1.0
i	ɑː	1.0
b	b	1.0
ɦ	h	0.909
ɾ	r	0.898
m	m	0.896
t	t	0.824
v	f	0.803
ŋ	ŋ	0.8
p	p	0.8
ɫ	l	0.723
s	s	0.696
ˈœy̯	ˈuː	0.687
d̥	ð	0.664
ʋ	v	0.62
ˈɔ	ˈu	0.615
ˈɑ	ˈɑ	0.606
ˈɛi̯	ˈiː	0.602
ˈɑu̯	ˈɑ_l	0.596
n	n	0.591
d	θ	0.569
ˈu	ˈoː	0.563
ˈɪ	ˈi	0.536
ˈʏ	ˈy	0.53
ˈaː	ˈɑː	0.504
ˈʏ	ˈu	0.47
k	k	0.446
ˈɛ	ˈe	0.42
ˈeː	ˈɛi̯	0.412
ˈɑu̯	-	0.404
ʋ	x_w	0.38
ə_ɾ	i_r	0.364
v̥	v_r̥	0.358
χ	ɣ	0.35
ˈu	ˈøː	0.334
ə	a	0.327
ˈoː	ˈo	0.323
ˈaː	ˈɑ	0.318
ˈœy̯	-	0.313
d	ð	0.31
v̥	v	0.289
k	kʰ	0.289
ə_ɾ	i_r̥	0.273
ə	ɑ	0.272
ˈɔ	ˈo	0.252
ˈɛ	-	0.233
ˈɛi̯	ˈeː	0.226
ˈɪ	-	0.225
v̥	f	0.221
ˈi	j_ˈuː	0.215
ˈi	j_ˈoː	0.209
ɫ	lː	0.207
χ	c	0.201
ŋ	ŋ_ɟ	0.2
v	v	0.197
ˈɛ	j_ˈɑ	0.19
d̥	d_r̥	0.188
ˈoː	ˈɑu̯	0.184
ə_ɾ	ɡ_r̥	0.182
ə_ɾ	r̥	0.182
ˈeː	-	0.176
ˈɛi̯	ˈɛi̯	0.172
ə	-	0.168
ˈi	ˈeː	0.166
ˈi	-	0.166
n	nː	0.16
ˈɛ	ˈɑ	0.158
ˈɪ	ˈe	0.151
ˈeː	ˈe	0.15
ˈoː	ˈøy̯	0.149
k	cʰ	0.149
n	-	0.147
t	tː	0.146
ˈɔ	-	0.133
v̥	v_u	0.132
ə	v	0.131
s	s_k	0.124
χ	ˈeː	0.123
ˈɑ	ˈɔ	0.123
ˈi	ˈyː	0.122
ˈi	ˈiː	0.122
χ	ɡ	0.121
d	d	0.121
ˈoː	-	0.116
p	pʰ	0.114
ˈeː	j_ˈɔ	0.109
ˈɑ	ˈɛ	0.104
m	-	0.104
ˈu	ˈɔː	0.103
ˈaː	ˈɔ	0.103
ˈoː	ˈy	0.102
ɾ	r̥ː	0.102
ə	u	0.102
ˈeː	ˈi	0.096
ˈɑ	ˈa	0.093
ɦ	ç	0.091
s	-	0.091
ˈɪ	ˈy	0.089
s	k	0.089
χ	ɟː	0.087
ˈoː	ˈu	0.087
p	pː	0.086
χ	ɡː	0.078
k	kː	0.078
ˈaː	ˈo	0.075
d̥	r̥	0.074
d̥	d	0.074
ˈɑ	ˈɑː	0.073
ˈeː	ˈɛː	0.057
ɫ	ˈɔ_l	0.056
n	ɑ	0.051
