Old Norse	Bavarian	probability
a	n	0.622
a	ˈau̯	0.174
a	a	0.122
a	-	0.082
b	b̥	1.0
c	-	0.803
c	x	0.152
cʰ	kʰ	1.0
cː	k	1.0
d	d̥	0.915
d	t	0.085
f	f	0.927
f	ʃ	0.052
h	h	0.978
i	-	0.492
i	a	0.43
i	ə	0.065
j	ˈe	0.254
j	-	0.22
j	ˈiɐ̯	0.191
j	ˈiː	0.177
j	ˈɛ	0.099
j	ˈi	0.06
k	x	0.532
k	ç	0.198
k	-	0.119
k	k	0.071
kʰ	kʰ	0.821
kʰ	f	0.179
kː	ŋ	0.729
kː	k	0.271
l	l	0.57
l	j	0.368
lː	j	1.0
l̥	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.86
n	a	0.103
nː	n	0.927
p	f	0.91
p	p͡f	0.09
pː	f	1.0
r	-	0.286
r	a	0.257
r	r	0.236
r	ɐ	0.157
r	ə	0.064
rː	a	0.957
r̥	r	1.0
s	s	0.569
s	ʃ	0.326
sː	s	1.0
t	s	0.712
t	t	0.179
t	ʦ	0.109
tʰ	ʦ	0.916
tʰ	b̥	0.084
tː	x	0.862
tː	ʦ	0.096
u	-	0.704
u	i	0.172
u	ˈa	0.065
u	ˈeɐ̯	0.06
v	ʋ	0.417
v	b̥	0.307
v	f	0.113
v	m	0.111
w	ʋ	1.0
x	-	1.0
ç	h	1.0
ð	d̥	0.495
ð	t	0.391
ð	-	0.109
ŋ	ŋ	0.93
ŋ	-	0.07
ɑ	n	0.71
ɑ	a	0.241
ɑː	eɐ̯	1.0
ɟ	ɡ̊	0.937
ɟ	-	0.063
ɟː	ɡ̊	1.0
ɡ	ɡ̊	0.52
ɡ	-	0.321
ɡ	ç	0.159
ɡː	ɡ̊	0.499
ɡː	k	0.381
ɡː	-	0.12
ɣ	ɡ̊	0.792
ɣ	ŋ	0.208
ʝː	ŋ	1.0
ʦ	t	1.0
ˈa	ˈa	0.446
ˈa	ˈɒ	0.343
ˈa	ˈɒː	0.211
ˈe	ˈɛ	0.227
ˈe	ˈe	0.203
ˈe	ˈi	0.165
ˈe	ˈeː	0.146
ˈe	ˈoː	0.134
ˈe	ˈo	0.08
ˈeː	ˈi	0.675
ˈeː	ˈeː	0.156
ˈeː	ˈiɐ̯	0.109
ˈeː	ˈaː	0.06
ˈi	ˈi	0.909
ˈiː	ˈai̯	0.896
ˈiː	ˈoɐ̯	0.051
ˈo	ˈoɐ̯	0.418
ˈo	ˈu	0.281
ˈo	ˈoː	0.096
ˈo	ˈi	0.087
ˈo	ˈo	0.051
ˈoː	-	0.433
ˈoː	ˈuɐ̯	0.235
ˈoː	r	0.172
ˈoː	ˈeː	0.059
ˈoː	ˈiɐ̯	0.05
ˈoː	ˈɔ	0.05
ˈu	ˈu	0.468
ˈu	ˈʏ	0.155
ˈu	ˈɛ	0.093
ˈu	ʋ_ˈo	0.072
ˈuː	ˈau̯	0.5
ˈuː	-	0.404
ˈuː	ˈai̯	0.063
ˈy	ˈi	0.36
ˈy	ˈu	0.304
ˈy	ˈo	0.25
ˈyː	ˈai̯	0.47
ˈyː	ˈau̯	0.28
ˈyː	ˈuɐ̯	0.172
ˈyː	ˈeɐ̯	0.063
ˈøy̯	ˈe	0.593
ˈøy̯	ˈoɐ̯	0.209
ˈøy̯	ˈaː	0.197
ˈøː	ˈiɐ̯	0.304
ˈøː	ˈuɐ̯	0.231
ˈøː	ˈeɐ̯	0.222
ˈøː	ˈe	0.222
ˈɑ	ˈo	0.228
ˈɑ	ˈa	0.174
ˈɑ	ɐ	0.169
ˈɑ	ˈoɐ̯	0.104
ˈɑ	ˈɒ	0.081
ˈɑ	ˈe	0.072
ˈɑ	ˈoː	0.065
ˈɑu̯	ˈaː	0.48
ˈɑu̯	ˈoɐ̯	0.17
ˈɑu̯	ˈa	0.11
ˈɑu̯	m	0.087
ˈɑu̯	ˈau̯	0.082
ˈɑu̯	ˈou̯	0.071
ˈɑː	ˈɔ	0.356
ˈɑː	ˈoː	0.182
ˈɑː	ˈou̯	0.17
ˈɑː	ˈoɐ̯	0.167
ˈɑː	ˈeː	0.053
ˈɒu̯	ˈu	0.551
ˈɒu̯	ˈe	0.225
ˈɒu̯	ˈou̯	0.225
ˈɔ	ɐ	0.517
ˈɔ	ˈa	0.148
ˈɔ	ˈɔ	0.112
ˈɔ	ˈu	0.094
ˈɔ	ˈeː	0.093
ˈɔː	ˈeɐ̯	1.0
ˈɛ	ˈɛ	0.403
ˈɛ	ˈɒ	0.226
ˈɛ	ˈo	0.167
ˈɛ	ˈai̯	0.102
ˈɛ	ˈoɐ̯	0.101
ˈɛi̯	ˈoɐ̯	0.942
ˈɛi̯	ˈai̯	0.058
ˈɛː	ˈɛː	0.481
ˈɛː	ˈoː	0.365
ˈɛː	ˈeː	0.154
θ	d̥	0.952
