Danish	Icelandic	probability
#>	#>	0.959
<#	<#	1.0
b̥	b̥	0.723
b̥	p	0.168
b̥	ʰp	0.102
d̥	d̥	0.926
d̥	θ	0.069
e	i	0.407
e	ɑu̯	0.089
f	f	1.0
h	h	0.817
h	ç	0.132
i	ʏ	0.574
i	ɛː	0.268
j	j	0.293
j	-	0.147
j	x	0.136
j	ɣ_ʏ	0.092
j	k	0.068
j	ɣ	0.068
j	c	0.053
jˀ	ɡ̊	1.0
k	k	0.483
k	c	0.357
k	ʰk	0.151
kʰ	kʰ	0.552
kʰ	cʰ	0.333
kʰ	-	0.107
l	l	0.737
l	l̥	0.19
l	l_ʏ	0.064
lˀ	l̥	0.552
lˀ	l	0.187
lˀ	l_d̥	0.103
lˀ	n	0.089
m	m	0.638
m	m_ʏ	0.292
m	n	0.065
mˀ	m	1.0
n	n	0.556
n	n̥	0.297
n	nː	0.091
nˀ	n_d̥	0.435
nˀ	nː	0.201
nˀ	nː_ʏ	0.175
nˀ	ð	0.101
nˀ	n̥	0.075
p	p	0.218
s	s	0.922
t	t	0.595
t	ʰt	0.158
t	ʰt_ʏ	0.155
t	-	0.077
w	v_a	0.289
w	v_ʏ	0.105
w	ɡ̊	0.105
w	ʏ	0.105
w	-	0.087
w	u	0.076
w	ˈoːu̯	0.076
w	a	0.056
w	ˈœː	0.056
wˀ	p	1.0
ð̞ˠ	ð	0.388
ð̞ˠ	t	0.297
ð̞ˠ	t_ʏ	0.186
ð̞ˠ	ð_ʏ	0.081
ŋ	ŋ	0.826
ŋ	ɲ	0.135
ŋˀ	ŋ	1.0
ɐ	r̥	0.455
ɐ	ɪ	0.095
ɐ	ð_ɪ	0.093
ɐ	r_t	0.081
ɐ	r_ɪ	0.081
ɐ	r_a	0.07
ɐ	r	0.068
ɐˀ	r	0.567
ɐˀ	r_t	0.331
ɐˀ	r_ð	0.087
ə	a	0.644
ə	ɪ	0.143
ə	ɟ̊_a	0.05
ɡ̊	ɡ̊	0.491
ɡ̊	ɟ̊	0.262
ɡ̊	ɡ̊ː	0.135
ɡ̊	ɟ̊ː	0.103
ʁ	r	0.965
ʋ	v	0.803
ʋ	kʰ	0.141
ʋ	ˈɔ	0.055
ʦʰ	tʰ	0.513
ʦʰ	θ	0.461
ʨ	θ	1.0
ˈa	ˈa	0.525
ˈa	ˈaː	0.29
ˈa	ˈœ	0.088
ˈa	ˈɛ	0.088
ˈaː	ˈaː	0.467
ˈe	ˈɛ	0.213
ˈe	ˈɪ	0.196
ˈe	ˈi	0.126
ˈe	ˈa	0.096
ˈe	ˈɛː	0.096
ˈe	ˈɪː	0.096
ˈe	-	0.074
ˈe	ˈɔu̯	0.069
ˈeˀ	ˈɛi̯	0.169
ˈeˀ	ˈɛː	0.169
ˈeˀ	ˈɛːi̯	0.159
ˈeˀ	ˈɛ	0.128
ˈeˀ	ˈeːi̯	0.097
ˈeˀ	ˈɪː	0.097
ˈeˀ	j	0.07
ˈeˀ	ˈœː	0.07
ˈeː	ˈɑːu̯	0.5
ˈeː	ˈɛ	0.5
ˈi	ˈʏː	0.247
ˈi	ˈɪ	0.228
ˈi	ˈɛː	0.122
ˈiˀ	ˈiː	0.896
ˈiˀ	ˈɪː	0.089
