Mainland North Frisian	Mainland North Frisian	probability
ˈœː	-	1.0
ˈu	-	1.0
ˈeː_l	l	1.0
ˈaː	ˈo	1.0
ˈai̯	-	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ʀ_ˈɔu̯	ʀ	1.0
ʀ_ˈa	ʀ_ˈæːɪ̯	1.0
ʀ_n_#>	ʀ_#>	1.0
ɡ	ɡ	1.0
ɛi̯	e	1.0
ə_ʀ	ɐ	1.0
ç	-	1.0
z̥	d̥	1.0
w	ə	1.0
s_l	ʃ_l	1.0
n_ə	n_d̥	1.0
n_#>	f_#>	1.0
m	m	1.0
lʲ	l	1.0
l_ˈa	l	1.0
l	l	1.0
j_ˈa	ˈɛː	1.0
i	ə_ɕ	1.0
h	h	1.0
f	f	1.0
dʲ_ə	d_ə	1.0
dʲ	d̥	1.0
d_ə	ə	1.0
<#_n	<#_n	1.0
<#	<#_kʰ	1.0
b	b	0.909
d	d	0.87
s_#>	z̥_#>	0.818
ˈɛi̯	-	0.8
x	ɕ	0.8
n	n	0.786
tʲ	s	0.778
ŋ	ŋ	0.75
p	f	0.727
v̥	v̥	0.714
ˈɒː	ˈaː	0.667
nʲ	n	0.667
ˈɛː	-	0.625
v	v	0.606
ˈɔː	-	0.6
ˈɔu̯	-	0.6
ˈɔ	ˈaː	0.6
ə	ə_n	0.592
j	-	0.556
d̥	d̥	0.556
ˈʏ	-	0.533
ˈi	ˈæːɪ̯	0.526
ˈɛ	-	0.5
ˈyː	ˈəʊ̯	0.5
ˈyː	-	0.5
z	s	0.5
z	-	0.5
s	ʃ	0.5
s	z	0.5
ˈuː	ˈaː	0.462
ˈa	ˈə	0.455
ʀ	ʀ	0.444
d̥	t	0.444
ˈɔu̯	ˈəʊ̯	0.4
ˈɔ	-	0.4
t	t	0.388
ˈuː	-	0.385
ˈiː	ˈɜɪ̯	0.385
ˈiː	ˈeː	0.385
ˈʊ	-	0.381
ˈɛː	ˈiə̯	0.375
k	kʰ	0.346
ˈʏ	ˈæːʊ̯	0.333
ˈɒː	-	0.333
nʲ	n_d̥	0.333
#>	n_#>	0.333
#>	d̥_#>	0.333
t	ʦ	0.327
ˈœ	ˈɑ	0.312
ˈɒ	ˈaː	0.3
ˈɒ	-	0.3
ˈeː	ˈaː	0.3
ˈeː	-	0.3
v̥	f	0.286
ˈa	ˈaː	0.273
ˈa	-	0.273
p	p	0.273
k	ɕ	0.269
ˈɛ	ˈɜɪ̯	0.25
ˈɛ	ˈiː_ɐ	0.25
ˈœ	-	0.25
ŋ	-	0.25
ˈʊ	ˈo	0.238
k	k	0.231
ʀ	ɐ	0.222
tʲ	d	0.222
j	ɡ	0.222
j	l	0.222
v	w	0.212
ˈi	ˈə	0.211
ˈɛi̯	ˈoː	0.2
ˈɔː	ˈə	0.2
ˈɔː	ˈɑ	0.2
ˈɒ	ˈɑ	0.2
ˈɒ	ˈuə̯	0.2
ˈeː	ˈɛ	0.2
ˈeː	ˈə	0.2
x	-	0.2
#>	ɕ_#>	0.2
ˈʊ	ˈɑ	0.19
ˈœ	ˈu	0.188
ə	ə	0.184
t	d	0.184
v	-	0.182
s_#>	#>	0.182
ˈi	ˈɑ	0.158
ˈuː	ˈɑ	0.154
k	χ	0.154
ə	-	0.143
n	ŋ	0.143
ˈʏ	ˈə	0.133
ʀ	-	0.133
#>	ˈeː_#>	0.133
d	s	0.13
ˈœ	ˈʊ	0.125
ˈœ	ˈo	0.125
ˈi	ˈɑɪ̯	0.105
t	s	0.102
ˈʊ	ˈɔ	0.095
ˈʊ	v_ˈo	0.095
b	-	0.091
ʀ	ˈiː_ɐ	0.089
ˈiː	ˈɜɪ̯_ə	0.077
ˈiː	ˈi	0.077
ˈiː	-	0.077
n	ˈeː_n	0.071
ʀ	ˈuː_ɐ	0.067
