Friulian	Portuguese	probability
a	ɐ	0.587
a	-	0.259
a	ɐ̃	0.084
a	ɨ	0.053
aː	-	1.0
b	b	0.716
b	v	0.194
b	k	0.09
c	k	0.871
c	t	0.053
d	d	0.489
d	ð	0.409
e	ɐ	0.834
e	ɨ	0.089
f	f	0.733
f	v_ɨ	0.214
i	u	0.285
i	-	0.233
i	ˈe_ɾ	0.15
i	ɨ	0.078
i	i	0.062
i	ɐ	0.058
i	ˈĩ	0.05
j	-	0.399
j	ˈɛ	0.176
j	ˈɐ	0.114
j	j	0.083
j	ˈi	0.071
j	l	0.065
j	ʎ_u	0.053
k	k	0.682
k	k_u	0.161
k	ɣ_u	0.09
l	l	0.427
l	-	0.202
l	ɫ	0.171
l	ʎ	0.099
l	ɾ	0.055
m	m	0.896
m	-	0.097
n	-	0.431
n	n	0.257
n	ɲ	0.118
n	w̃	0.085
n	ɲ_u	0.056
o	u	0.366
o	ɔ	0.152
o	õ	0.141
o	ɾ	0.14
o	ˈu	0.066
p	p	0.848
p	v	0.075
r	ɾ	0.696
r	ʁ	0.133
s	ʃ	0.455
s	s	0.344
s	s_u	0.089
s	-	0.061
t	t	0.431
t	t_u	0.144
t	-	0.142
t	ð_u	0.092
t	ð_ɨ	0.081
t	ð	0.081
u	u	0.564
u	ɐ	0.151
u	ĩ	0.087
u	o	0.082
v	v	0.747
v	β	0.151
v	-	0.083
w	w	0.414
w	ˈo	0.22
w	ˈɔ	0.116
w	u	0.085
w	ˈɐ̃	0.085
w	-	0.08
z	z	0.378
z	s	0.263
z	-	0.184
z	ʒ	0.174
ŋ	-	0.33
ŋ	ĩ	0.205
ŋ	ɡ	0.205
ŋ	ˈĩ	0.205
ɟ	ɡ	1.0
ɡ	ɡ	0.492
ɡ	ɣ	0.385
ɡ	k	0.066
ɲ	ɲ	0.438
ɲ	ɲ_u	0.23
ɲ	n	0.167
ɲ	-	0.148
ʤ	ʒ	0.842
ʤ	t	0.087
ʧ	s	0.474
ʧ	j	0.292
ʧ	t	0.128
ʧ	z	0.066
ˈa	ˈa	0.281
ˈa	ˈɐ	0.228
ˈa	ˈɐ̃	0.22
ˈa	-	0.135
ˈa	ˈẽ	0.062
ˈaː	ˈa_ɾ	0.495
ˈaː	ˈa	0.394
ˈaː	ɐ	0.083
ˈe	ˈe	0.458
ˈe	ˈɐ	0.311
ˈe	-	0.135
ˈeː	l	0.268
ˈeː	ˈe_ɾ	0.222
ˈeː	ˈi	0.179
ˈeː	ˈɛ	0.179
ˈeː	ˈe	0.151
ˈi	ˈi	0.658
ˈi	ˈẽ	0.093
ˈi	ˈĩ	0.093
ˈi	ˈõ	0.051
ˈiː	ˈɛ	0.357
ˈiː	ˈi_ɾ	0.259
ˈiː	ˈi	0.25
ˈiː	ˈɐ	0.094
ˈo	ˈo	0.473
ˈo	ˈɐ̃	0.21
ˈo	ˈu	0.082
ˈoː	ˈɔ	0.352
ˈoː	ˈo	0.345
ˈoː	ˈɔ_ʃ	0.239
ˈoː	ˈu	0.064
ˈu	ˈu	0.608
ˈu	u	0.108
ˈu	-	0.1
ˈu	ˈũ	0.07
ˈu	ˈe	0.064
ˈu	ˈo	0.051
ˈuː	ˈu	0.565
ˈuː	ˈo	0.25
ˈuː	ˈɔ	0.185
ˈɔ	ˈo	0.756
ˈɔ	-	0.124
ˈɔ	j	0.062
ˈɔ	ˈu	0.057
ˈɔː	ˈo	1.0
ˈɛ	ˈɛ	0.62
ˈɛ	ˈɐ	0.131
ˈɛ	j	0.102
ˈɛ	ɐ	0.054
ˈɛː	-	1.0
