Middle High German	Icelandic	probability
ˈøː	ˈɛːi̯	1.0
ˈyə̯	ˈaːi̯	1.0
ˈoː	ˈœːy̯	1.0
ʃː	s_k	1.0
ʃ_t	s_t	1.0
ɛ	ˈɛ_ʰt	1.0
ə_r	ɪ_r̥	1.0
ə_n	a	1.0
ɑː	ˈɑːu̯	1.0
ɑ	a	1.0
ŋ_k	ʰk	1.0
x_t	ʰt	1.0
tː	ð_j	1.0
s̻	t	1.0
s_ˈɑ	s_ˈa	1.0
s_t	s_t	1.0
s	s	1.0
rː	r̥	1.0
r_n	r_t͡n̥	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	ʏ	1.0
ou̯	ˈœːy̯	1.0
nː	nː	1.0
n_d	nː	1.0
m	m	1.0
lː	t͡l̥	1.0
kʰ_n	n̥	1.0
k	-	1.0
i	-	1.0
h_ə	aːu̯	1.0
fː	p	1.0
v	f	0.943
ˈiː	ˈiː	0.867
s̻ː	t	0.866
ˈuː	ˈuː	0.865
ŋ	ŋ	0.85
ˈuə̯	ˈoːu̯	0.835
kː	-	0.821
ʦ	tʰ	0.786
b̥	v_ʏ	0.785
b	b̥	0.745
d	θ	0.73
f	p	0.725
ˈɑː	ˈɑːu̯	0.694
w	v	0.668
h	h	0.654
ˈe	-	0.648
l	l	0.641
x	k	0.625
xː	k	0.58
ˈou̯	ˈœːy̯	0.57
r	r	0.562
kʰ	cʰ	0.552
t	ð	0.547
ˈei̯	ˈɛːi̯	0.543
ˈyː	ˈiː	0.5
ˈyː	-	0.5
ˈeː	j_ˈoːu̯	0.5
ˈeː	-	0.5
ɡ̊	ɡ̊_ʏ	0.5
n	n	0.478
ʃ	s	0.464
kʰ	kʰ	0.448
ˈou̯	-	0.43
ʃ	s_c	0.428
xː	c	0.42
d̥	d̥_ʏ	0.39
ˈo	ˈɔ	0.385
r	r̥	0.372
ˈy	ˈʏ	0.366
ˈiə̯	j_ˈoːu̯	0.353
ˈe	ˈɛ	0.352
ˈɛ	ˈɛ	0.347
ˈy	ˈɪ	0.33
ɡ	ɡ̊	0.327
ˈɑ	ˈa	0.321
ˈei̯	ˈɛi̯	0.32
ə	ʏ	0.32
ˈɑː	-	0.306
ɡ	ɟ̊	0.305
ˈy	-	0.304
ˈi	ˈɪ	0.296
ˈiə̯	-	0.288
ə	-	0.287
f	-	0.275
ˈu	ˈʏ	0.272
d	-	0.27
ˈɑ	ˈaː	0.261
ɡ̊	ɡ̊	0.261
ˈu	ˈu	0.259
ˈu	ˈɔ	0.256
b	v	0.255
ə	a	0.241
ɡ̊	ɣ_ʏ	0.239
h	-	0.229
d̥	d̥	0.22
b̥	-	0.215
ʦ	t	0.214
x	x	0.21
ˈɛ	j	0.209
d̥	ð_ʏ	0.195
d̥	ð	0.195
ˈi	-	0.193
l	t͡l̥	0.191
ˈi	ˈi	0.185
ˈiə̯	j_ˈuː	0.18
ˈiə̯	j	0.18
kː	ʰc	0.179
ˈo	ˈʏ	0.175
n	-	0.175
ˈɛ	-	0.169
l	l̥	0.168
ˈuə̯	-	0.165
x	ˈɔu̯	0.165
w	-	0.165
ˈo	ˈʏː	0.151
ŋ	ɲ	0.15
n	t͡n̥	0.141
ˈɛ	ˈɛː	0.14
ɡ	-	0.139
ˈei̯	-	0.137
ˈɛ	j_ˈœ	0.135
ˈuː	ˈʏ	0.135
ˈɑ	ˈɑu̯	0.134
s̻ː	ʰt͡n̥	0.134
ˈiː	-	0.133
ˈo	-	0.131
t	s	0.129
ɡ	ˈuː	0.128
ˈo	ˈɪ	0.119
ˈɑ	-	0.118
h	ç	0.117
ˈu	ˈɔː	0.109
t	ʰt	0.109
t	d̥	0.109
ʃ	s_k	0.108
t	t	0.106
ˈu	ˈoːu̯	0.104
ˈi	j_ˈɛː	0.104
ɡ	ɣ	0.101
ə	ʏ_r̥	0.098
w	kʰ_v	0.096
ˈi	ˈɪː	0.094
ˈɑ	ˈœ	0.091
ˈi	ˈɛː	0.088
ˈɑ	ˈɛ	0.075
n	nː	0.075
w	v_ˈɪː	0.07
n	n̥	0.066
n	ˈiː	0.065
v	-	0.057
