Proto-Slavic	Proto-Slavic	probability
̌_d	̀_d	1.0
̌_#>	#>	1.0
̂_r	́	1.0
̂_l	aː_́	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	-	1.0
ʒ_ĭ_#>	ʒ̊_#>	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʃ	ʃ	1.0
ɲ	-	1.0
ɨː	iː	1.0
ɡ_ŭ_#>	ɡ̊_#>	1.0
z_ŭ	z̥	1.0
z	z	1.0
x	x	1.0
v_ŭ_#>	ʋ_#>	1.0
ŭ_̌	ə_́	1.0
ŭ_#>	#>	1.0
u	uː	1.0
tʲ	ʧ_iː	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ_#>	t_#>	1.0
t_a	t_a	1.0
s_ŭ_#>	s_#>	1.0
s_a	s_a	1.0
s	s	1.0
rʲ	r_j	1.0
r_v	ʋ	1.0
r_ŭ	ə_r	1.0
p	p	1.0
õː	oː	1.0
o_̌	oː_̀	1.0
o_̂	o	1.0
o_#>	ɔ_#>	1.0
m_ĭ	ə_m	1.0
m	m	1.0
l_ŭ_#>	w_#>	1.0
l_ĭ	ə_w	1.0
k_t	ʧ	1.0
k	k	1.0
j	j	1.0
ĭː	ə	1.0
ĭ_̌	ə_́	1.0
iː	iː	1.0
e_̂	e	1.0
e_#>	ɛ_#>	1.0
aː	aː	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
a	a	0.92
ɡ	ɡ	0.875
n	n	0.875
v	ʋ	0.846
r	r	0.84
b	b	0.812
t	t	0.8
̂	́	0.791
l	l	0.75
uː	uː	0.714
<#	<#_j	0.714
a_ˀ	aː_̀	0.625
i	i	0.611
̌_t	̀_t	0.6
ŭ	-	0.6
ẽː	eː	0.6
ẽ	eː	0.6
ɛː	eː	0.583
ɨ	iː	0.571
ˀ	́	0.562
ĭ	-	0.5
d	d	0.444
ˀ	̀	0.438
ɨ	i	0.429
oː	oː	0.429
̌	̀	0.417
̌_t	t	0.4
ẽː	-	0.4
ẽ	ɛː	0.4
̌	́	0.375
a_ˀ	a	0.375
e	ɛ	0.3
e	eː	0.3
uː	u	0.286
oː	r_aː	0.286
oː	l	0.286
<#	<#_r	0.286
i	iː	0.278
d	d̥	0.278
ĭ	ə	0.269
l	w	0.25
o	ɔː_̀	0.233
o	ɔ	0.233
̌	-	0.208
ŭ	ʋ	0.2
ŭ	x	0.2
t	̀_t	0.2
o	oː_́	0.2
o	oː	0.2
e	ɛː_̀	0.2
e	eː_́	0.2
b	b̥	0.188
ɛː	ɛ	0.167
ɛː	eː_̀	0.167
d	-	0.167
̂	-	0.163
r	-	0.16
v	-	0.154
ĭ	ɔː	0.154
ɡ	-	0.125
n	ə_n	0.125
i	-	0.111
d	̀_d	0.111
ɛː	-	0.083
a	-	0.08
ĭ	ə_́	0.077
o	r_aː	0.067
o	aː	0.067
