Proto-Slavic	Polish	probability
a	a	1.0
ǎ	a	1.0
ê	ˈɛ	1.0
êː	ˈɛ	1.0
ẽ	ɛ_ɲ	1.0
ẽ̂ː	ˈɛ	1.0
ě	ˈɛ	1.0
ĭ̂	ˈi	1.0
ĭ̌	ˈɛ	1.0
j	-	1.0
oˀ	-	1.0
ôː	ˈɔ	1.0
ǒ	ˈɔ	1.0
ûː	ˈu	1.0
x	x	1.0
ɛ	-	1.0
ɛˀ	j_ˈa	1.0
ɛ̂ː	ˈa	1.0
ɛ̌	ˈa	1.0
ɡ	ɡ	1.0
ʧ	ʈ͡ʂ	1.0
aˀ	ˈa	0.791
b	b	0.471
e	ˈɔ	0.21
p	p_j	0.341
ŭ̂	-	0.791
ĭ	ˈɛ	0.42
n	n	0.882
o	ɔ	0.702
s	s	0.62
t	-	0.132
t	ʨ	0.212
ŭ	i	0.182
ŭ	ɨ	0.502
z	ʑ	0.572
ɛː	ɛ	0.442
ʒ	ʐ	0.822
b	p	0.133
i	ˈɨ	0.593
ŭ	ˈu	0.153
ŭ	-	0.163
v	f	0.223
v	v_j	0.293
d	d	0.704
e	ɛ	0.4
ǐ	ˈi	0.364
ô	ˈɔ	0.934
r	r	0.684
m	m_j	0.275
m	m	0.655
b	b_j	0.396
d	ʥ	0.296
ǐ	-	0.636
l	l	0.456
l	w	0.496
ô	ˈu	0.066
r	-	0.316
t	t	0.656
i	ˈi	0.407
m	ɛ_m	0.07
e	ˈɛ	0.378
ĭ	-	0.58
n	ɲ	0.118
o	ˈɔ	0.298
s	ɕ	0.38
z	z	0.428
ɛː	j_ˈa	0.558
ʒ	-	0.178
aˀ	a	0.209
k	k	0.979
p	p	0.659
ŭ̂	ˈɛ	0.209
v	v	0.449
