Sicilian	Portuguese	probability
c	ʃ	1.0
cː	ʎ	1.0
d	d	1.0
f	f	1.0
kː	k	1.0
mː	m	1.0
o	ɔ	1.0
sː	s	1.0
u	u	1.0
ç	ʃ	1.0
ɖː	l	1.0
ɟː	ʎ	1.0
ɲː	ɲ	1.0
ʃ	i_ʃ	1.0
ʐ	ʁ	1.0
ʐː	ʁ	1.0
ʤ	ʒ	1.0
ʤː	-	1.0
ʦ	s	1.0
ʦː	s	1.0
a	ɐ	0.881
j	ʒ	0.321
m	m	0.971
n	-	0.51
tː	t	0.501
v	-	0.11
w	-	0.091
ˈu	ˈu	0.431
ˈɛ	ˈɛ	0.661
b	v	0.092
i	j	0.282
j	j	0.352
n	ɲ	0.192
p	β	0.252
r	ɾ	0.722
s	ʃ	0.182
tː	ð	0.052
w	ɫ	0.052
ɪ	j	0.082
ɾ	l	0.052
ˈi	ˈe	0.392
nː	d	0.163
t	t	0.503
ɕ	s	0.663
ɪ	ɨ	0.543
ɾ	-	0.423
ɾ	ɾ	0.503
ˈɛ	ˈe	0.073
ˈɛ	ˈẽ	0.13
a	-	0.084
i	ɨ	0.64
ɡ	ɣ	0.544
ɪ	-	0.124
ɽ	ɾ	0.434
ʊ	ɨ	0.054
ʊ	u	0.794
ˈa	ˈa	0.614
ˈi	ˈĩ	0.114
ˈɔ	ˈo	0.64
k	ɣ	0.365
k	k	0.635
ɪ	w̃	0.05
ʃː	s	0.445
ʃː	ɲ	0.555
ʈ	t	0.195
ʈ	-	0.805
ˈa	ˈɐ̃	0.105
ˈu	ˈɐ̃	0.075
ɡ	ɡ	0.456
ɽ	-	0.566
ˈɛ	ˈɐ	0.136
l	w	0.137
t	ð	0.497
w	w	0.857
ɕ	z	0.337
ˈi	ˈi	0.347
ˈu	ˈɔ	0.127
b	b	0.908
i	i	0.078
j	-	0.328
n	n	0.298
nː	n	0.608
p	p	0.748
r	ʁ	0.278
s	s	0.818
tː	j_t	0.448
ʊ	-	0.08
ˈi	ˈɐ	0.058
ˈu	ˈo	0.278
ˈɔ	ˈõ	0.08
ˈɔ	ˈɔ	0.28
l	l	0.779
nː	-	0.229
v	v	0.89
ɪ	u	0.099
ˈa	ˈɐ	0.239
ˈi	ˈɐ_j	0.059
ˈu	ˈõ	0.089
