Spanish	Spanish	probability
β_o_#>	p_#>	1.0
ˈe_β	w	1.0
ʧ	p_t	1.0
ʝ	-	1.0
ɾ_o	r_u	1.0
ɲ	n	1.0
ɣ_o_#>	k_#>	1.0
ɣ	k	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
ŋ	-	1.0
ð	t	1.0
w	ˈo	1.0
u	-	1.0
t	t	1.0
s_o_#>	s_#>	1.0
r	r	1.0
o_#>	#>	1.0
n_o_#>	n_#>	1.0
n_#>	j_n_i_#>	1.0
n	n	1.0
k	k	1.0
i	-	1.0
e_s	s	1.0
e_#>	#>	1.0
b_ɾ	i	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_j	<#_j	1.0
ɾ	r	0.846
p	p	0.833
m	m	0.833
ˈi	ˈi	0.8
ˈu	ˈu	0.778
#>	i_#>	0.769
s	s	0.714
d	d	0.714
o	u	0.692
<#	<#_f	0.667
ˈa	ˈa	0.652
e	i	0.65
β	p	0.6
θ	ʦ	0.583
w_ˈe	ˈo	0.583
b	v	0.5
β	b	0.4
ˈo	ˈu	0.4
x	ʎ	0.4
x	k_ʎ	0.4
l	r	0.385
j	i	0.375
j	-	0.375
ˈa	ˈɔ	0.348
j_ˈe	ˈi	0.333
j_ˈe	ˈe	0.333
j_ˈe	ˈa	0.333
b	b	0.333
<#	<#_j	0.333
ˈe	ˈe	0.32
l	l	0.308
d	z	0.286
ˈe	e̯ˈa	0.28
θ	ʃ	0.25
w_ˈe	ˈu	0.25
j	j	0.25
e	ə	0.25
#>	ə_#>	0.231
ˈu	-	0.222
ˈo	ˈo	0.2
ˈi	-	0.2
ˈe	ˈa	0.2
x	ʒ	0.2
θ	ʧ	0.167
w_ˈe	o̯ˈa	0.167
p	kʲ	0.167
m	-	0.167
b	-	0.167
o	ə	0.154
o	r	0.154
l	ʎ	0.154
l	r_i	0.154
ˈo	w_ˈo	0.15
ˈo	o̯ˈa	0.15
s	ʃ	0.143
s	j	0.143
ˈe	ˈi	0.12
ˈo	-	0.1
e	-	0.1
ˈe	w	0.08
ɾ	n	0.077
ɾ	-	0.077
