Icelandic	Icelandic	probability
θ	d	1.0
ˈʏː	-	1.0
ˈɛː_r	ˈɒː	1.0
ˈɛi̯	ˈeː	1.0
ˈɔu̯	-	1.0
ˈɔ	ˈuːə̯	1.0
ˈɑu̯	ˈa	1.0
ˈœːy̯	ˈaʊ̯	1.0
ˈœː	-	1.0
ˈu	ˈʊ	1.0
ˈou̯	ʋ	1.0
ˈeːi̯	ˈaɪ̯	1.0
ˈaːu̯	-	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	t_ɐ	1.0
ʰp	p	1.0
ʰc	k	1.0
ɲ	-	1.0
ɪ_r̥	ɐ	1.0
ɪ	-	1.0
ɣ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	ɐ	1.0
ɟ̊ː	ɡ	1.0
ɟ̊	x	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ŋ_ɡ̊	ŋ	1.0
ð_a	d_n	1.0
ç	h	1.0
x	k	1.0
v_ʏ	ʋ	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
t_ʏ	t	1.0
t	t	1.0
sː	ˈuː_s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r_m	m	1.0
r_a	ɐ	1.0
p	p	1.0
n̥	n	1.0
nː_a	n_n	1.0
nː	n	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
j_ˈœ	ˈɛː	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoːu̯	ˈaɪ̯	1.0
j_ʏ	n	1.0
j_a	n	1.0
i	ˈyː_k	1.0
h	h	1.0
f	f	1.0
d̥_ʏ	d̥	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
cʰ	-	1.0
c	k	1.0
b̥	b	1.0
aːu̯	aɪ̯	1.0
a_#>	#>	1.0
<#_ɡ̊	<#_x	1.0
<#_tʰ	<#_t	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
k	k	0.818
ʏ	-	0.816
ˈi	ˈɪ	0.8
v	v	0.75
ˈiː	ˈiː	0.733
<#_kʰ	<#_k	0.714
<#	<#_v	0.714
ˈɪ	ˈɪ	0.667
ˈuː	ˈuː	0.667
ð	d̥	0.652
a	n	0.645
ˈoːu̯	ˈoː	0.636
j	-	0.636
ˈɑːu̯	ˈɔː	0.625
r	r	0.625
ˈɪː	-	0.6
ˈœ	ˈa	0.6
ʰk	k	0.6
ŋ	-	0.6
ˈaːi̯	ˈøː	0.571
ˈa	ˈa	0.562
ˈʏ	ˈʊ	0.538
s	s	0.512
ˈɛːi̯	ˈeː	0.5
ˈɛːi̯	-	0.5
ˈɔː	ˈɔː	0.5
ˈɔː	ˈuə̯	0.5
ʰt	x_t	0.5
ʰt	t	0.5
ɡ̊	-	0.5
#>	n_#>	0.5
r̥	ɐ	0.45
ˈaː	ˈa	0.444
ˈaːi̯	-	0.429
ˈɪː	ˈɪ	0.4
ˈœ	-	0.4
ʰk	ŋ_k	0.4
ŋ	ŋ	0.4
s	ʃ	0.39
ˈɑːu̯	-	0.375
ˈoːu̯	-	0.364
ˈɛ	ˈɛ	0.357
ˈɪ	ˈʏ	0.333
ˈuː	ˈʊ	0.333
ˈaː	ˈaː	0.333
#>	d̥_#>	0.333
r̥	-	0.3
a	ə	0.29
ˈɛ	ˈɪ	0.286
<#_kʰ	<#	0.286
<#	<#_k	0.286
ɡ̊	ɡ	0.25
ɡ̊	x	0.25
ˈʏ	-	0.231
ˈaː	-	0.222
ˈɛ	ˈɪɛ̯	0.214
r	-	0.208
ˈɛː	ˈɪɛ̯	0.2
ˈɛː	ˈɪə̯	0.2
ˈɛː	ˈɪ	0.2
ˈɛː	ˈiɛ̯	0.2
ˈɛː	-	0.2
ˈi	ˈyːœ̯	0.2
ˈa	-	0.188
k	k_ə	0.182
j	ˈɛ	0.182
j	ˈaɪ̯	0.182
ð	d	0.174
ð	-	0.174
r	ɐ	0.167
#>	ç_#>	0.167
ˈʏ	ˈuː	0.154
r̥	ç	0.15
ˈɛ	ˈa	0.143
v	-	0.143
ˈiː	ˈaɪ̯	0.133
ˈiː	-	0.133
ˈa	ˈɔ	0.125
ˈa	ˈaː	0.125
v	ʋ	0.107
ʏ	ɐ	0.102
r̥	x	0.1
s	z	0.098
ʏ	ə	0.082
ˈʏ	ˈyə̯	0.077
a	ɐ	0.065
