Old English	Swiss German	probability
a	-	1.0
b	b̥	1.0
bː	-	1.0
d	t	0.77
d	d̥	0.147
dː	tː	1.0
e	ə	0.714
e	i	0.105
e	χ_ə	0.094
e	ˈau̯	0.082
eo̯	-	1.0
f	f	0.839
f	b̥	0.161
h	h	0.935
h	-	0.065
i	i	0.874
i	-	0.126
iː	i	1.0
iːy̯	æ	1.0
j	ɡ̊	0.728
j	-	0.218
j	j	0.054
k	χ	0.765
k	k	0.191
kː	k	1.0
l	l	0.973
lː	l	1.0
l̥	l	1.0
m	m	0.939
m	-	0.061
mː	mː	1.0
n	n	0.732
n	-	0.226
nː	n	0.595
nː	nː	0.233
nː	-	0.172
o	ə	0.83
o	-	0.146
p	f	0.655
p	p͡f	0.214
p	fː	0.076
p	p	0.055
pː	f	0.623
pː	p͡f	0.377
r	r	0.949
r	-	0.051
rː	r	1.0
r̥	r	1.0
s	s	0.69
s	ʃ	0.301
t	sː	0.35
t	ʦ	0.277
t	t	0.217
t	s	0.143
tː	ʦ	1.0
u	ə	0.671
u	-	0.329
v	b̥	0.646
v	-	0.131
v	f	0.119
v	χ	0.063
w	ʋ	0.777
w	-	0.201
x	χ	1.0
z	s	0.928
z	r	0.072
ç	χ	0.893
ç	-	0.107
ð	d̥	1.0
ŋ	ŋ	0.867
ŋ	-	0.133
ɑ	ə	0.798
ɑ	-	0.167
ɡ	ɡ̊	0.987
ɣ	ɡ̊	0.888
ɣ	-	0.112
ɫ	l	0.893
ɫ	n	0.083
ʃ	ʃ	1.0
ʃː	ʃː	0.836
ʃː	ʃ	0.164
ʍ	ʋ	1.0
ʤ	ɡ̊ː	1.0
ʤː	ɡ̊	1.0
ʧ	χ	0.945
ʧ	ɡ̊	0.055
ʧː	kː	1.0
ˈe	ˈæ	0.423
ˈe	-	0.255
ˈe	ˈe	0.16
ˈe	ˈæː	0.077
ˈe	ˈeː	0.052
ˈeo̯	ˈæ	0.406
ˈeo̯	ˈe	0.309
ˈeo̯	ˈæː	0.178
ˈeo̯	ˈi	0.061
ˈeː	ˈyə̯	0.309
ˈeː	ˈi	0.286
ˈeː	ˈe	0.115
ˈeː	ˈiə̯	0.102
ˈeː	ˈuə̯	0.077
ˈeː	ˈyː	0.056
ˈeː	ˈou̯	0.054
ˈeːo̯	ˈiə̯	0.331
ˈeːo̯	ˈyː	0.304
ˈeːo̯	ˈy	0.095
ˈeːo̯	ˈiː	0.088
ˈeːo̯	ˈeː	0.086
ˈi	ˈi	0.715
ˈi	ˈæ	0.087
ˈi	ˈy	0.076
ˈi	ˈyː	0.055
ˈiy̯	ˈæː	0.598
ˈiy̯	ˈɒ	0.402
ˈiː	ˈiː	0.826
ˈiː	ˈyː	0.174
ˈiːy̯	ˈæː	0.324
ˈiːy̯	ˈyː	0.273
ˈiːy̯	ˈøː	0.213
ˈiːy̯	ˈøi̯	0.19
ˈo	ˈo	0.658
ˈo	ˈu	0.117
ˈo	ˈy	0.107
ˈo	ˈoː	0.085
ˈoː	ˈuə̯	0.547
ˈoː	ˈɒ	0.144
ˈoː	ˈoː	0.138
ˈoː	ˈo	0.086
ˈoː	ˈyə̯	0.085
ˈu	ˈu	0.532
ˈu	ˈoː	0.205
ˈu	ˈo	0.161
ˈu	ˈø	0.087
ˈuː	ˈuː	0.8
ˈuː	ˈøi̯	0.077
ˈuː	ˈu	0.066
ˈuː	ˈuə̯	0.057
ˈy	ˈy	0.486
ˈy	ˈu	0.314
ˈy	ˈøː	0.156
ˈyː	ˈyː	0.363
ˈyː	ˈo	0.343
ˈyː	ˈuː	0.183
ˈyː	ˈy	0.112
ˈæ	ˈɒ	0.55
ˈæ	ˈɒː	0.369
ˈæ	ˈæ	0.054
ˈæɑ̯	ˈɒ	0.904
ˈæɑ̯	ˈɒː	0.096
ˈæː	ˈɒː	0.675
ˈæː	ˈei̯	0.217
ˈæː	ˈoː	0.063
ˈæːɑ̯	ˈoː	0.383
ˈæːɑ̯	ˈau̯	0.218
ˈæːɑ̯	ˈɒː	0.207
ˈæːɑ̯	ˈou̯	0.091
ˈæːɑ̯	ˈøː	0.061
ˈɑ	ˈɒ	0.515
ˈɑ	ˈɒː	0.355
ˈɑ	ˈæ	0.13
ˈɑː	ˈɒː	0.251
ˈɑː	ˈɛi̯	0.229
ˈɑː	ˈæi̯	0.161
ˈɑː	ˈei̯	0.157
ˈɑː	ˈeː	0.153
ˈɛ	ˈæ	1.0
θ	d̥	0.884
θ	t	0.064
