Valencian	Campidanese	probability
f	f	1.0
ʧ	z	1.0
e	-	0.101
e	e	0.251
j	j	0.061
k	ɣ	0.101
l	ɖː	0.081
p	k	0.081
u	u	0.141
w	w	0.181
ɜ	ĕ	0.051
ɜ	i	0.141
ɣ	k	0.301
ʎ	ʣ	0.101
ʤ	ʤ	0.111
ʤ	-	0.331
ˈɒ	ˈo	0.921
d	d	0.812
i	a	0.062
j	-	0.542
k	-	0.082
l	l	0.462
r	i	0.052
s	s	0.562
t	d	0.062
v	b	0.802
w	e	0.12
ɐ	a	0.932
ˈi	ˈe	0.122
ˈi	-	0.142
β	b	0.12
β	β	0.422
a	a	0.753
v	-	0.123
ŋ	v	0.293
ɜ	a	0.703
ɲ	n	0.113
ɲ	ʤ	0.283
ʎ	sː	0.063
ˈa	ˈa	0.943
ˈo	ˈu	0.763
ˈæ	-	0.083
ˈɒ	-	0.053
a	ˈa	0.054
b	b	0.764
m	m	0.934
r	r	0.644
ɡ	ɡ	0.784
ɣ	-	0.244
ʃ	ʃː	0.964
ʎ	-	0.074
β	k	0.14
l	r	0.175
r	rː	0.15
s	sː	0.075
t	ð	0.095
v	β	0.075
ð	-	0.075
ɜ	u	0.105
ɞ	i	0.135
ɲ	ɲː	0.185
ˈæ	ˈe	0.475
b	-	0.236
e	i	0.406
n	nː	0.066
n	n	0.906
t	t	0.796
u	ˈo	0.196
w	-	0.066
w	u	0.106
w	i	0.176
z	z	0.216
z	-	0.216
ð	t	0.246
ŋ	-	0.116
ɞ	u	0.156
ɣ	ɡ	0.226
ɲ	nː	0.36
ɾ	i_r	0.056
ɾ	-	0.096
ɾ	r	0.676
ʎ	j	0.076
ʤ	ʒ	0.066
ʤ	b	0.226
ˈe	-	0.056
ˈe	ˈi	0.186
ˈi	ˈi	0.676
e	a	0.087
j	e	0.397
p	b	0.057
u	-	0.087
z	ð	0.567
ɡ	ɣ	0.067
ʎ	l	0.497
ˈu	ˈo	0.157
i	e	0.278
k	k	0.798
r	j	0.08
ɐ	-	0.068
ɲ	-	0.058
ʤ	ɣ	0.128
ˈe	ˈe	0.68
β	p	0.318
a	-	0.149
d	-	0.159
e	u	0.119
i	j	0.19
i	i	0.469
l	-	0.259
p	p	0.849
s	ʧ	0.119
s	z	0.199
u	o	0.489
w	v	0.069
w	ʒ_i	0.199
ð	ð	0.679
ŋ	ŋ	0.59
ɞ	a	0.709
ɡ	b	0.119
ɣ	ɣ	0.229
ɾ	e_r	0.089
ʎ	ɖː	0.189
ʤ	f	0.099
ˈo	ˈo	0.189
ˈu	ˈu	0.809
ˈæ	ˈi	0.359
