Middle High German	Scots	probability
ˈɛ_ɡ	ˈɛː	1.0
ˈɛ_r	ˈɔɪ̯	1.0
ˈɑ_r	ˈeː_r	1.0
ˈɑ_n	ˈø	1.0
ˈɑ_l	ˈɑː	1.0
ˈøy̯	-	1.0
ˈæː	ʧ_ˈiː	1.0
ˈyə̯	ˈi	1.0
ˈy_n	ˈaːɪ̯	1.0
ˈou̯	ˈi	1.0
ˈo_l	ˈʌu̯	1.0
ˈiə̯_ɡ	ˈiː	1.0
ˈi_x	ˈaː	1.0
ˈi_r	ˈiː	1.0
ˈeː	ˈɑː	1.0
ʦː	t	1.0
ʦ_ə	t	1.0
ʃː	ʃ	1.0
ʃ_w	s	1.0
ʃ_l	s_l	1.0
ɡ̊	x	1.0
ɡ_ə	ə	1.0
ɛ	i	1.0
ə_ɡ̊	e	1.0
ɑː	ˈiː	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
xː	k	1.0
v	f	1.0
tː	d	1.0
s̻ː_ə	t	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ˈu	s_ˈɪ	1.0
s_ə	z	1.0
s	s	1.0
rː	r_ˈaɪ̯	1.0
r_n	r_n	1.0
oː	-	1.0
ou̯	ˈi	1.0
nː	n	1.0
mː	ˈu_m	1.0
m	m	1.0
lː	-	1.0
l_ə	l	1.0
l	l	1.0
kː_ə	ʤ	1.0
kː	k	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
fː	p	1.0
d_ə	d	1.0
r	r	0.914
ˈiː	ˈəi̯	0.839
f	p	0.825
h	h	0.799
ɡ	-	0.753
w	w	0.751
b	b	0.748
ˈi	ˈɪ	0.745
ˈe	ˈɛ	0.742
t_ə	ə	0.737
d	θ	0.717
ə	-	0.694
ˈei̯	ˈe	0.692
r_ə	ˈiː_r	0.689
ʦ	tʰ	0.68
d̥	d	0.6
ˈo	ˈo	0.594
ˈuː	ˈu	0.586
p͡f	p	0.569
ˈu	ˈʌ	0.544
n	n	0.54
ʃ	ʃ	0.531
x	k	0.525
ˈɑː	-	0.516
ˈyː	ˈəi̯	0.507
ˈy	-	0.501
ˈy	ˈɪ	0.499
ˈoː	-	0.496
ˈyː	-	0.493
t	d	0.47
ʃ	s	0.469
ˈuə̯	ˈø	0.466
n	-	0.46
t	t	0.45
p͡f	pʰ	0.431
d̥	θ	0.4
x	ç	0.39
ˈiə̯	ˈiː	0.381
ˈu	-	0.334
ʦ	t	0.32
ˈɛ	ˈɛ	0.315
r_ə	r	0.311
ˈuː	ˈuː	0.296
ə	ə	0.289
ˈiə̯	ˈi	0.284
d	ð	0.283
ˈɑ	ˈa	0.276
t_ə	t	0.263
ˈe	-	0.258
ˈi	-	0.255
b	-	0.253
ˈoː	ˈi	0.252
ˈoː	ˈe	0.252
ˈɑː	ˈi	0.251
ɡ	j	0.247
ˈɑ	ˈɑː	0.244
ˈuə̯	ˈɪ	0.24
ˈo	-	0.239
ˈuə̯	-	0.234
ˈɑː	ˈeː	0.233
ˈɛ	ˈʌ	0.217
ˈei̯	-	0.206
ˈɛ	ˈɪ	0.202
h	-	0.201
ˈiə̯	-	0.194
f	v	0.175
ˈɑ	ˈeː	0.173
ˈo	ˈɪ	0.168
ˈɑ	ˈe	0.161
ˈiː	-	0.161
ˈɛ	ˈa	0.154
ˈiə̯	ˈɪ	0.142
ˈu	ˈɪ	0.122
ˈuː	-	0.118
ˈɛ	-	0.112
w	-	0.108
ˈei̯	ˈɛ	0.102
x	x	0.085
w	ʍ	0.08
t	ð	0.08
ˈɑ	ˈɪ	0.073
ˈɑ	ˈɛ	0.073
w	w_ˈa	0.06
ˈuə̯	ˈøː	0.059
