Icelandic	West Frisian	probability
a	ə	0.8
a	-	0.198
b̥	b	0.962
b̥	-	0.048
c	k	1.0
cʰ	k	0.19
cʰ	ʦ	0.19
d̥	d	0.624
d̥	-	0.333
d̥	t	0.05
f	f	0.943
f	v	0.06
h	h	1.0
j	-	0.608
j	j	0.215
j	ˈɪə̯	0.118
j	z	0.044
j	ˈiə̯	0.036
k	k	0.862
k	-	0.12
k_ʏ	k	1.0
kʰ	k	0.698
kʰ	-	0.126
kʰ	ʋ	0.126
kʰ_v	v	1.0
l	l	0.97
l	-	0.041
l_ʏ	l	0.501
l̥	l	0.819
l̥	-	0.171
l̥_ʏ	l	1.0
m	m	0.954
m	-	0.053
m_ʏ	m	1.0
n	n	0.971
n	-	0.041
nː	n	0.856
nː	l	0.106
nː	-	0.041
n̥	n	0.812
n̥	-	0.116
n̥	m	0.069
p	p	0.57
p	-	0.422
p_ʏ	p	1.0
r	r	0.748
r	-	0.159
r	ˈoə̯	0.061
r	z	0.034
r_ð	t	0.501
r_ɪ	ə	0.251
rː̥	χ	0.501
r̥	-	0.76
r̥	r	0.187
r̥	χ	0.032
s	s	0.951
s	z	0.035
sː	s	1.0
t	t	0.586
t	-	0.413
tʰ	t	1.0
u	-	0.5
u	ə	0.5
v	v	0.419
v	ʋ	0.247
v	-	0.206
v	p	0.048
v	f	0.048
v_ʏ	f	1.0
x	-	0.5
x	k	0.5
ç	h	0.66
ç	f	0.322
ð	t	0.408
ð	d	0.324
ð	-	0.255
ð_ʏ	t	1.0
ŋ	ŋ	0.845
ŋ	ɪ	0.109
ŋ	-	0.051
ɑu̯	ɪ	0.436
ɑu̯	ə	0.109
ɛ	-	1.0
ɛː	ɪ	1.0
ɟ̊	ɡ	0.47
ɟ̊	-	0.263
ɟ̊	ɣ	0.189
ɡ̊	-	0.492
ɡ̊	ɡ	0.31
ɡ̊	χ	0.069
ɡ̊	ɣ	0.061
ɡ̊	ŋ	0.06
ɡ̊_l	l	1.0
ɡ̊_ʏ	ə	0.66
ɡ̊_ʏ	χ	0.322
ɣ	-	0.349
ɣ	χ	0.349
ɣ	k	0.265
ɪ	ə	0.6
ɪ	-	0.365
ɪ_r̥	r	1.0
ɲ	ŋ	0.501
ʏ	-	0.885
ʏ	ə	0.104
ʏ_ð	t	0.251
ʰk	k	1.0
ʰp	p_ə	1.0
ʰt	χ	0.675
ʰt	t	0.304
ʰt_ʏ	χ	1.0
ˈa	ˈa	0.197
ˈa	ˈɔː	0.186
ˈa	ˈɪ	0.145
ˈa	ˈɛː	0.127
ˈa	ˈɪə̯	0.127
ˈai̯	ˈiə̯	0.561
ˈai̯	ˈøə̯	0.141
ˈai̯	ʋ	0.081
ˈaː	ˈa	0.445
ˈaː	ˈɛː	0.196
ˈaː	ˈaː	0.171
ˈaː	ˈɪə̯	0.087
ˈaː	ˈɛi̯	0.065
ˈaːi̯	ˈuə̯	0.225
ˈaːi̯	ˈɪ	0.175
ˈaːi̯	ˈiə̯	0.13
ˈaːi̯	ˈɵ	0.081
ˈaːu̯	ˈaː	0.66
ˈaːu̯	ˈoə̯	0.165
ˈeːi̯	ˈɛi̯	0.251
ˈi	ˈɪ	0.496
ˈi	ˈɔ	0.154
ˈi	ˈyː	0.128
ˈi	ˈuə̯	0.128
ˈiː	ˈi	0.313
ˈiː	ˈiː	0.27
ˈiː	ˈuː	0.157
ˈiː	ˈɛ	0.093
ˈiː	ˈiə̯	0.073
ˈou̯	ˈeː	0.415
ˈou̯	ˈɔ	0.362
ˈoːu̯	ˈuə̯	0.319
ˈoːu̯	ˈiə̯	0.284
ˈoːu̯	-	0.089
ˈoːu̯	ˈoː	0.089
ˈoːu̯	ˈeː	0.089
ˈoːu̯_ð	ˈuə̯	1.0
ˈu	ˈɔ	0.627
ˈu	ˈɛi̯	0.209
ˈu	ˈu	0.138
ˈuː	ˈuː	0.521
ˈuː	ˈɪ	0.148
ˈuː	ˈoː	0.109
ˈuː	ˈyː	0.106
ˈuː	-	0.08
ˈœ	-	0.326
ˈœ	ˈɛi̯	0.284
ˈœ	ˈɔː	0.177
ˈœ	ˈiː	0.11
ˈœy̯	ˈɪə̯	1.0
ˈœː	ˈaː	0.561
ˈœː	ˈɔː	0.122
ˈœː	-	0.122
ˈœːy̯	ˈɪə̯	0.786
ˈœːy̯	ˈɛ	0.167
ˈœːy̯_ð	ˈɪə̯	1.0
ˈɑu̯	ˈa	0.78
ˈɑu̯	ˈɪə̯	0.219
ˈɑːu̯	ˈiə̯	0.542
ˈɑːu̯	ˈø	0.181
ˈɑːu̯	ˈoə̯	0.119
ˈɑːu̯	ˈeː	0.119
ˈɔ	ˈoə̯	0.432
ˈɔ	ˈuː	0.136
ˈɔ	ʋ	0.106
ˈɔ	ˈyː	0.101
ˈɔ	ˈaː	0.098
ˈɔu̯	ˈɔ	0.517
ˈɔu̯	ˈuə̯	0.213
ˈɔu̯	ˈa	0.122
ˈɔː	ˈoə̯	0.287
ˈɔː	ˈiə̯	0.287
ˈɛ	ˈɪ	0.186
ˈɛ	ˈa	0.172
ˈɛ	ˈɛ	0.146
ˈɛ	ˈɛi̯	0.127
ˈɛ	ˈaː	0.127
ˈɛi̯	ˈiə̯	1.0
ˈɛː	ˈɪ	0.235
ˈɛː	ˈiə̯	0.114
ˈɛː	ˈɛi̯	0.107
ˈɛː	ˈa	0.107
ˈɛː	ˈaː	0.107
ˈɛːi̯	ˈɪə̯	0.364
ˈɛːi̯	ˈiə̯	0.254
ˈɛːi̯	ˈiː	0.168
ˈɛːi̯	ˈɪ	0.086
ˈɛːi̯	ˈi	0.083
ˈɪ	ˈɔ	0.191
ˈɪ	ˈɪ	0.191
ˈɪ	ˈiː	0.166
ˈɪ	ˈi	0.11
ˈɪ	ˈø	0.11
ˈɪː	ˈɪ	0.583
ˈɪː	ˈi	0.229
ˈɪː	ˈeː	0.151
ˈʏ	ˈuː	0.439
ˈʏ	ˈɪ	0.183
ˈʏ	ˈu	0.159
ˈʏ	ˈɔu̯	0.105
ˈʏ	ˈɔ	0.091
ˈʏː	ˈy	0.45
ˈʏː	ˈɔ	0.225
ˈʏː	ˈiə̯	0.141
θ	t	0.385
θ	d	0.376
θ	ʦ	0.216
