Bellunese	Romanian	probability
b	b	1.0
f	f	1.0
i	-	1.0
m	m	1.0
n	n	1.0
p	p	1.0
w	-	1.0
z	ʧ	1.0
ð	ʤ	1.0
ʧ	k	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
j	j	0.581
k	k	0.881
o	e	0.171
o	w	0.221
ˈo	ˈu	0.521
ˈɛ	j_ˈe	0.671
θ	ʦ	0.411
l	r_e	0.132
r	-	0.102
v	-	0.482
ɡ	-	0.152
ˈe	ˈi	0.502
j	ɡ	0.063
r	r	0.53
ŋ	m	0.063
ŋ	n_e	0.163
ˈe	ˈe	0.313
ˈɔ	o̯ˈa	0.53
o	u	0.444
t	p_t	0.314
ˈa	ˈɨ	0.304
ˈɛ	ˈe	0.14
d	t	0.135
l	r	0.155
ˈo	ˈo	0.135
ˈo	o̯ˈa	0.315
e	e	0.546
j	l	0.356
l	-	0.226
s	ʃ	0.06
ŋ	n	0.546
ˈa	ˈa	0.696
d	z	0.357
e	i	0.137
k	p	0.087
l	l	0.487
s	-	0.097
t	t	0.637
ɡ	k	0.47
ˈɔ	ˈo	0.47
a	-	0.148
a	e	0.228
e	ə	0.208
o	-	0.118
r	r_e	0.368
v	v	0.518
ŋ	-	0.228
ɡ	ɡ	0.378
a	ə	0.589
d	d	0.509
e	-	0.109
s	s	0.779
ˈe	e̯ˈa	0.139
ˈɛ	-	0.19
θ	ʧ	0.589
