Provençal	Provençal	probability
ˈɛ_w	o	1.0
ˈɛ_s	ɛ	1.0
ˈỹ	-	1.0
ˈy	y	1.0
ˈũ_ŋ	ɔ̃	1.0
ˈu_ʀ	u_ʁ	1.0
ˈu_ɔ	ø	1.0
ˈu_s	w_a	1.0
ˈu_#>	œ_ʁ_#>	1.0
ˈĩ	ɛ̃	1.0
ˈi_#>	i_ʁ_#>	1.0
ˈẽ_ŋ	ɑ̃	1.0
ˈẽ	-	1.0
ˈe_ʧ	i	1.0
ˈe_w	f	1.0
ˈe_s	o	1.0
ˈe_k	ø	1.0
ˈã_ŋ	ɑ̃	1.0
ˈã	ɛ̃	1.0
ˈa_w	o	1.0
ˈa_j	ɛ	1.0
ˈa_#>	e_#>	1.0
ʧ	-	1.0
ʀ	ʁ	1.0
ɾ	ʁ	1.0
ɔ_#>	#>	1.0
ŋ_#>	#>	1.0
y	-	1.0
w_ˈẽ	ɔ̃	1.0
w_#>	#>	1.0
ũ	ɔ̃	1.0
t_ɔ_#>	t_#>	1.0
t	t	1.0
s_ɔ_#>	s_#>	1.0
s_e	s_ə	1.0
s_#>	#>	1.0
p	p	1.0
n_w	n	1.0
mː	m	1.0
m_#>	#>	1.0
lː	-	1.0
l_a	l_a	1.0
l	l	1.0
k_ɾ	k_ʁ	1.0
k_ɔ	ʃ	1.0
j_ˈe	i	1.0
j_ɔ_#>	j_#>	1.0
j_#>	#>	1.0
ĩ	ɛ̃	1.0
f	f	1.0
b_ɾ	v_ʁ	1.0
ã_ŋ	ɑ̃	1.0
<#_ʀ	<#_ʁ	1.0
<#_e_s	<#_e	1.0
<#_a	<#_a	1.0
s	s	0.946
n	n	0.929
v	v	0.926
b	b	0.905
m	m	0.9
ˈi	i	0.889
e_#>	#>	0.882
w_ˈe	ɔ	0.857
ˈu	u	0.846
ʤ	ʒ	0.773
ɥ	ɥ	0.75
ɡ	ɡ	0.706
ˈũ	ɔ̃	0.7
ˈe_#>	w_a_#>	0.667
z	z	0.667
k_#>	#>	0.667
d	d	0.667
ŋ	ɛ̃	0.625
#>	e_#>	0.6
ɲ	ɲ	0.571
e	-	0.562
a	a	0.562
ˈɔ	f	0.5
ˈɔ	-	0.5
u	ɔ	0.5
u	u	0.5
<#_ˈa	<#_a	0.5
<#_ˈa	<#	0.5
k	ʃ	0.474
k	k	0.474
ˈɛ	ɛ	0.429
ɲ	ɛ̃	0.429
ˈa	a	0.406
#>	ʁ_#>	0.4
ŋ	-	0.375
i	i	0.375
i	-	0.375
ˈe	ɛ	0.346
ˈa	ɛ	0.344
ˈe_#>	w_a_ʁ_#>	0.333
z	-	0.333
k_#>	k_#>	0.333
d	-	0.333
w	-	0.321
j	j	0.316
j	-	0.316
ˈũ	w	0.3
ɡ	-	0.294
w	l	0.286
j	a	0.263
ɥ	œ	0.25
i	w	0.25
ʤ	-	0.227
ˈe	w_a	0.192
ˈɛ	w	0.19
e	ə	0.188
a	ɛ	0.188
ˈa	e	0.156
ˈu	œ	0.154
ˈe	w	0.154
ˈe	i	0.154
ˈɛ	j_ɛ	0.143
ˈɛ	j	0.143
w_ˈe	œ	0.143
e	w_a	0.125
e	a	0.125
a	ə	0.125
a	-	0.125
e_#>	ʁ_#>	0.118
ˈi	e	0.111
w	ɔ	0.107
j	ɛ	0.105
m	-	0.1
ˈɛ	-	0.095
b	v	0.095
ˈa	-	0.094
ˈe	ø	0.077
ˈe	-	0.077
v	-	0.074
w	œ	0.071
w	u	0.071
w	o	0.071
w	j	0.071
n	-	0.071
s	t	0.054
k	ø	0.053
