Piedmontese	Aromanian	probability
a	ə	0.618
a	-	0.197
a	i	0.131
b	b	0.648
b	ɡ	0.269
b	ʃ	0.074
d	d	0.661
d	-	0.142
d	t	0.139
d	ʣ	0.057
d_e	i	1.0
e	i_r	0.331
e	i	0.295
e	r_i	0.197
e	ə	0.09
e	w	0.071
e_v	i	0.135
f	f	0.592
f	ç	0.284
f	w	0.077
f	-	0.053
i	-	0.545
i	j	0.207
i	i	0.172
j	l	0.218
j	-	0.113
j	ʎ	0.096
j	j	0.08
j	r	0.077
j	ʎ_u	0.076
j	p	0.067
j	r_i	0.058
k	k	0.88
k	ʦ	0.055
l	l	0.73
l	r	0.11
l	r_i	0.063
l	ʎ	0.05
m	m	0.579
m	i_m	0.113
m	m_i	0.101
m	ɲ	0.082
m	ɲ_ˈi	0.06
m	n	0.052
n	n	0.952
p	p	0.76
p	k	0.209
r	r	0.736
r	-	0.09
r	r_u	0.062
s	s	0.427
s	ʦ	0.248
s	ʃ_t	0.09
s	k	0.073
s	ʃ	0.056
t	t	0.751
t	t_u	0.113
t	ʦ	0.059
u	u	0.576
u	ˈo	0.155
u	a	0.117
u	i	0.093
u	ˈɨ	0.056
v	-	0.287
v	j	0.231
v	v	0.214
v	p	0.167
v	w	0.063
v_e	i	0.513
w	l	0.384
w	-	0.253
w	ˈu	0.22
w	ˈə	0.101
z	ʣ	0.381
z	ʦ	0.197
z	ʃ	0.126
ŋ	n	0.637
ŋ	n_i	0.075
ŋ	ŋ	0.075
ŋ	m	0.055
ə	ˈi	0.488
ə	-	0.148
ə	ˈu	0.148
ɡ	k	0.439
ɡ	ɡ	0.391
ɡ	ʤ	0.085
ɡ	b	0.06
ɲ	ɲ_i	0.525
ɲ	m	0.211
ɲ	ɲ	0.139
ɲ	n	0.105
ʤ	ʤ	0.436
ʤ	ɡ	0.209
ʤ	ʣ	0.158
ʤ	ɡ_ʎ	0.104
ʤ	k	0.083
ʧ	k_ʎ	0.422
ʧ	ʦ	0.27
ʧ	ɲ	0.164
ˈa	ˈa	0.435
ˈa	ˈɨ	0.316
ˈa	ˈa_t	0.053
ˈe	e̯ˈa	0.322
ˈe	ˈa_r	0.193
ˈe	ˈa	0.132
ˈe	ˈi	0.124
ˈe	i	0.08
ˈe	ˈe	0.052
ˈi	ˈi	0.552
ˈi	e̯ˈa	0.115
ˈi	-	0.087
ˈi	i	0.076
ˈi	ˈi_k	0.066
ˈi	ə	0.059
ˈi	ˈu	0.051
ˈu	ˈu	0.498
ˈu	ˈo	0.203
ˈu	o̯ˈa	0.156
ˈu	ˈu_l	0.081
ˈy	ˈu	0.85
ˈy	-	0.095
ˈy	u	0.057
ˈø	ˈo	0.377
ˈø	ˈo_k	0.226
ˈø	o̯ˈa	0.154
ˈø	w	0.07
ˈø	u_r	0.065
ˈø	u	0.06
ˈɔ	ˈo	0.321
ˈɔ	o̯ˈa	0.249
ˈɔ	ˈu	0.163
ˈɔ	ˈa	0.093
ˈɔ	ɨ	0.075
ˈɔ	e̯ˈa	0.058
ˈə	i	0.295
ˈə	ˈe	0.295
ˈɛ	ˈe	0.301
ˈɛ	ˈi	0.24
ˈɛ	e̯ˈa	0.209
ˈɛ	ˈa	0.111
ˈɛ	i	0.076
